C:/Users/vmc04/Desktop/Wing saga/Lab reared wings for landmarking/18/APR/APRMB/coord_Jul26_Format - {Aligned specimens} - 1 23 36 0	from C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/APR/APRMB/coord_Jul26.txt - TPS like internal (simplified) format - can be converted to other format by using TET	
-0.3737977442320885 -0.096334793740584651 -0.095620684074976897 -0.13415030831898994 0.27376025698776046 -0.070199032218354385 0.3031139637567356 -0.039045853722595544 0.3183793561084981 -0.0087353882333700474 0.3115854868325828 0.032294482700219278 0.26623189125917807 0.057999023845262336 0.18764927491871441 0.096274607385102101 0.056754925844848245 0.12680150598206005 -0.089799117945580514 0.15233206397660248 -0.36667533918800765 0.011601529368854021 -0.2036208307277666 0.012115706607221445 -0.19901684943686776 -0.013366572270238585 -0.1338518746043014 -0.00050944406450820028 -0.13227855125166832 -0.031492525516333365 -0.1349149068251341 -0.062307452977508761 -0.015752773246098417 -0.069878268663322848 0.027853515824173006 0.036600719860483161 
-0.36758589838934991 -0.095773020655567462 -0.10700091739526792 -0.12992038498305455 0.28051718763198841 -0.062038790373975077 0.30665818399711714 -0.029858197984990734 0.31535952919455701 -0.0025965327801727271 0.30852035239654602 0.031467348449846111 0.2738882165810802 0.05569865542193346 0.18473803046638018 0.090246309470975838 0.068063172295744698 0.1206851773308102 -0.099305077277640569 0.14945096209671307 -0.35704350523408751 0.021159564255784153 -0.20604703909271707 0.017456347898532652 -0.20793032793375149 -0.015523825264607249 -0.13516776558227064 -0.0037498809512254349 -0.13568849917410439 -0.036456487042444904 -0.13266870116217644 -0.065617281419501627 -0.024458581889870306 -0.075075966507885186 0.03515164056782371 0.030446003038829664 
-0.36508231636655392 -0.10117933923533076 -0.10633989184282235 -0.12913130754475255 0.28219983713076313 -0.05985749367135975 0.30231916756064758 -0.03545073130191459 0.31138099394032637 0.002584816056597846 0.30392718230270083 0.033324337822172555 0.26949532735676845 0.059496900978359045 0.19326644659505562 0.09184443748598739 0.087172669496798721 0.12338649384149529 -0.087643581377316093 0.15179527035630014 -0.35271581973499017 0.023669234801035863 -0.2037234600703248 0.014889880653371193 -0.20199075914094489 -0.013067978780424625 -0.14754476446158651 -0.0053511904016526439 -0.14668668896123693 -0.039957381320953667 -0.1468084295863763 -0.071729314560246685 -0.017323751663711535 -0.074560626678067884 0.026097838822802796 0.029293991499384137 
-0.35655865325438157 -0.10341282276951751 -0.093374170732861139 -0.12521958157179111 0.28755116161659705 -0.063236836474970429 0.31147451609032484 -0.034658537944385795 0.31920040536426197 -0.0057282112896467818 0.31072882943840868 0.023554143489246487 0.26064037817083985 0.059182113793810116 0.18253406395271496 0.095537296730668297 0.072500629379093018 0.12690866387050154 -0.093100721051557492 0.15404658422959017 -0.35154231634464178 0.02398994329628807 -0.20880823601525605 0.016866120005986706 -0.2082014876672558 -0.015084156733496279 -0.14348109602005121 -0.0033610668830389217 -0.14198504035185447 -0.037932952815139649 -0.13920133647133476 -0.067683117638117171 -0.036305516843271365 -0.073704543787983676 0.027928590740227317 0.029936962491995952 
-0.36892923668458227 -0.092818324859530621 -0.087186373226404226 -0.12738540461534265 0.28662285394368592 -0.054636235113677087 0.30549173730856588 -0.026150187614067236 0.31296175421918204 -0.00034099403967260408 0.29914532787222919 0.026483138392727229 0.26228299322027204 0.055412461249263301 0.18041909352443833 0.090311630001506812 0.088829361077600158 0.11540965329462018 -0.082875924653686733 0.14875557559592797 -0.36904650619268553 0.02291868609449213 -0.20621385840669884 0.014550999833974008 -0.21158980352922824 -0.013773303613334623 -0.14613275276138707 -0.0044154335111307548 -0.14556108926030811 -0.038860208270398544 -0.14523760115570561 -0.065846084755099551 -0.0062065065002023479 -0.075292903945699319 0.03322653120491624 0.025676935875441714 
-0.37440281648904494 -0.10585180879434021 -0.08786566727115544 -0.130323413537203 0.2802481297435887 -0.065722603338887978 0.30489015782478429 -0.036649310378509943 0.31076805093238696 -0.0087846937433575713 0.30239129462002085 0.027776964131633972 0.26035189417927623 0.060713415500915885 0.18319993150186267 0.098963765857359484 0.079794646466275737 0.12561641628741535 -0.095365546765316292 0.15347445316282637 -0.37134736139354979 0.026141818225593177 -0.19997292836638814 0.017853152227280285 -0.19433463210191476 -0.0093667822030870651 -0.13852553321723363 -0.0027610513964524699 -0.13916857048208328 -0.036504383609175024 -0.13683190591597577 -0.069764409785800854 -0.010716994473612724 -0.078054720724049162 0.026887851208078288 0.033243192117839618 
-0.37491109746710694 -0.098489669840394561 -0.10702924619668555 -0.13197468127287224 0.27223861816385331 -0.063789428436432177 0.303121340813503 -0.030998169805272008 0.31422522439242306 0.0014460756523845999 0.30537677143205127 0.032155319069851779 0.26547207099889858 0.062517540195625845 0.17664076529460765 0.096176194987699609 0.088156463645630262 0.12133341911109476 -0.079790198341580007 0.15360402120915512 -0.36710375697276243 0.020356871170736104 -0.19325816281806282 0.012723073735901839 -0.19360513951880767 -0.012607720801572462 -0.14224956056961083 -0.0077497187363177135 -0.14728099627610022 -0.036723987468164195 -0.14571948258628328 -0.069341721276193244 -0.017504014445473857 -0.081139521783844384 0.043220400451505499 0.03250210428861406 
-0.36032493354637124 -0.098465358528015065 -0.11366079846036098 -0.13101694362828187 0.27552275920834807 -0.061983509153929979 0.30574805486279921 -0.03302771803832346 0.31288322830713944 -0.0046583761908297302 0.30981183203758167 0.025300137755503226 0.26463431044808622 0.057423931143286422 0.18604280708095952 0.095168471803818447 0.070624398031277638 0.12735666919334807 -0.09535770017340317 0.14901862930898505 -0.37680192757850861 0.022648543721663209 -0.19956799290282864 0.012824869345138178 -0.19746711746312431 -0.015309892795110506 -0.13906451574204973 -0.0041224603258574986 -0.13781687127857642 -0.035051495102043959 -0.1337749541791653 -0.06683376085446141 -0.012074602661374159 -0.073446889032434959 0.040644024009573454 0.034175151377546134 
-0.38821007918135247 -0.089590563651467628 -0.092232863628067985 -0.13117008914913031 0.27430368717099268 -0.06501904377225487 0.30438598305074138 -0.030841310728455328 0.31352374448687181 0.0015146284567121807 0.30037526765796313 0.029224163188284493 0.25224392518189281 0.057625868161522015 0.18442503031235319 0.091224944877898992 0.070522511548768499 0.12109571210573938 -0.088121927287439977 0.15006278044000651 -0.38767295641074723 0.022320717710940061 -0.20009024138324213 0.014919476809622823 -0.19949718898433463 -0.014442408238036395 -0.12419288299475144 -0.0031301213392447682 -0.12910784883364931 -0.036799523755409194 -0.12566194524935448 -0.068901297626759214 -0.0051638697403605998 -0.079056271870705949 0.040171654283716697 0.030962338380736198 
-0.38703904684504759 -0.093800173946218243 -0.10723894463222827 -0.13163433243568323 0.28351612475982041 -0.057862265433040835 0.30452706199738777 -0.030355452721873531 0.31159070003785849 -0.0014774741624483188 0.30549188755239581 0.031980334529615149 0.25329914073141679 0.054948754792535165 0.18696056321927182 0.086818311532047998 0.070793062204749568 0.11795373458990072 -0.10338891971730652 0.15103736336799414 -0.37482781610506766 0.025635983647299476 -0.19004573846974934 0.019205049309483024 -0.19547040956816628 -0.016875106489866586 -0.12921037896086041 -0.0017966106229721783 -0.12854551487892701 -0.038006028316663963 -0.13351313069459117 -0.069437084383648179 -0.004649511742000758 -0.076472890508783101 0.037750871111047454 0.030137887252324264 
