,,Code
APR 068,771.95,APR 068
APR 069,712.08,APR 069
APR 072,719.56,APR 072
APR 074,762.67,APR 074
APR 080,666.92,APR 080
APR 081,714.91,APR 081
APR 082,722.45,APR 082
APR 087,769.97,APR 087
APR 097,764.42,APR 097
APR 100,800.4,APR 100
APR 102,782.94,APR 102
APR 105,724.27,APR 105
APR 106,699.48,APR 106
APR 112,751.29,APR 112
APR 116,683.24,APR 116
APR 122,766.6,APR 122
APR 128,740.75,APR 128
APR 130,741.67,APR 130
APR 132,754.85,APR 132
APR 142,715.54,APR 142
APR 143,773.93,APR 143
APR 144,824.07,APR 144
APR 146,769.16,APR 146
APR 153,787.71,APR 153
APR 157,767.54,APR 157
APR 159,714.9,APR 159
APR 163,684.55,APR 163
APR 172,803.5,APR 172
APR 175,692.64,APR 175
APR 178,678.33,APR 178
APR 186,680.13,APR 186
APR 189,722.36,APR 189
APR 192,746.95,APR 192
APR 197,747.65,APR 197
APR 203,807.33,APR 203
APR 208,803.49,APR 208
APR 209,715.07,APR 209
APR 231,687.56,APR 231
APR 235,680.89,APR 235
APR 239,812.81,APR 239
APR 243,771.84,APR 243
APR 244,753.75,APR 244
APR 248,777.42,APR 248
APR 253,766.78,APR 253
APR 254,676.93,APR 254
APR 256,735.44,APR 256
APR 259,689.97,APR 259
APR 261,625.45,APR 261
APR 262,741.76,APR 262
APR 263,695.19,APR 263
APR 265,709.78,APR 265
APR 266,688.26,APR 266
APR 280,771.85,APR 280
APR 285,729.38,APR 285
APR 291,689.58,APR 291
APR 293,757.5,APR 293
APR 295,733.63,APR 295
APR 297,809.45,APR 297
APR 308,770,APR 308
APR 312,734.41,APR 312
APR 315,637.7,APR 315
APR 331,765.71,APR 331
APR 332,759.04,APR 332
APR 333,773.7,APR 333
APR 353,810.12,APR 353
APR 359,729.36,APR 359
APR 363,710.52,APR 363
APR 370,730.93,APR 370
APR 378,812.72,APR 378
APR 382,770.7,APR 382
APR 388,823.72,APR 388
APR 392,714.14,APR 392
APR 399,713.71,APR 399
APR 400,675.36,APR 400
APR 402,698.61,APR 402
APR 407,663.51,APR 407
APR 415,775.16,APR 415
APR 418,781.49,APR 418
APR 419,768.15,APR 419
APR 421,722.56,APR 421
APR 426,714.35,APR 426
APR 433,774.1,APR 433
APR 439,700.1,APR 439
APR 447,700.69,APR 447
APR 450,716.28,APR 450
APR 452,725.59,APR 452
APR 457,713.22,APR 457
APR 464,759.46,APR 464
APR 472,788.57,APR 472
APR 474,735.38,APR 474
APR 475,690.89,APR 475
APR 477,703.75,APR 477
APR 478,673.6,APR 478
APR 480,705.81,APR 480
APR 483,776.95,APR 483
APR 492,734.51,APR 492
APR 496,660.73,APR 496
APR 500,659.34,APR 500
APR 501,687.53,APR 501
APR 504,805.24,APR 504
