ID,Biome,Latitude,Locality ,Ecoregion,Collection month,Season,Length.mm,CS,PW1,PW2,PW3,PW4,PW5,PW6,PW7,PW8,PW9,PW10,PW11,PW12,PW13,PW14,PW15,PW16,PW17,PW18,PW19,PW20,PW21,PW22,PW23,PW24,PW25,PW26,PW27,PW28,PW29,PW30,PW31,PW32
ARS 002,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,2.5121,2.405018276,0.000353688,-0.000934427,-0.001172148,-0.003843426,-0.001979627,0.001915022,0.001079992,3.72E-05,-0.002926012,-0.000515865,0.001078398,0.001806405,-0.002189263,0.001738725,0.000339016,0.004665862,-0.018891844,0.003533644,-0.009644957,0.00314339,-0.021436674,0.002372763,-0.004692365,0.001190815,-0.034201058,-0.001112208,0.016043029,-0.003756967,0.011089388,-0.00010315,0.009229883,0.013650324
ARS 003,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,3.0057,2.71436014,0.001869421,0.001870944,0.000413809,-0.002774573,0.001661689,-0.001983909,0.00059021,-0.001821787,0.000502208,0.001164974,-0.000559263,-0.001996507,0.014050153,-0.001145149,-0.00250526,-1.40E-05,-0.004274662,-0.003331322,-0.010871783,0.000512459,-0.002464175,-0.003252453,0.020554151,0.00421632,-0.006543601,0.001574469,0.005787155,-0.002473328,-0.018113223,0.003195277,0.001253641,0.02177231
ARS 004,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,3.0195,2.730232336,1.71E-05,0.000128911,-0.000495481,-0.00025357,0.001769525,0.000305974,0.000973176,0.001785631,0.003648019,0.002943975,-0.002684517,-0.004414675,-2.97E-05,-0.001410362,-0.003656217,-0.000897903,0.013787628,-0.006327408,-0.006075266,-0.002502236,0.005885894,-0.001090493,-0.010259824,-0.00070218,0.011027574,0.001217921,-0.013758892,0.004109862,-0.008449214,0.004606738,-0.001195794,0.014278158
ARS 005,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,2.9067,2.680489984,0.001188702,0.001027888,-0.001330269,0.000603615,0.001231538,-0.0034036,0.001603613,-0.001718377,-0.002604093,0.001545715,0.003340675,-0.00386394,-0.01275906,0.001032453,0.00413444,-0.001449171,0.01230462,-0.001735377,-0.008393897,0.009109658,0.010229877,-0.001199477,0.010102945,-0.003886657,0.017864754,0.000453025,-0.018569542,-0.000989424,-0.00872087,0.005512951,0.004515234,0.021822716
ARS 006,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,2.8672,2.64802088,0.001479863,0.000810009,-0.003127828,0.000536267,0.004361625,8.39E-05,-8.89E-05,0.000223486,0.004316813,-0.002703049,0.003820378,-0.00265161,-0.007647113,0.001399296,0.016642968,-0.005869833,0.010252818,0.002885581,-0.017866871,0.000778901,-0.005041664,-0.004417203,-0.003414694,0.002076451,-0.003898779,0.003125491,0.007957131,0.002916207,-0.000431522,-0.010354302,0.003646058,-0.001383396
ARS 007,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,2.9336,2.738081963,-0.000391271,0.000122519,-0.000835161,0.001379597,-0.000490479,0.000134066,0.000588071,0.00244273,-0.002263059,-0.002972882,0.003881088,-0.003100308,-0.005653997,-0.001182075,0.003064035,0.002602668,0.019047432,0.002447997,-0.009473222,-0.001104257,-0.013952724,0.000971521,-0.004541756,0.002779383,-0.003860609,0.003469476,-0.001895988,0.003934037,0.016934334,-0.003339972,-0.008915718,0.013190799
ARS 008,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,3.0717,2.860509047,-0.00335087,0.000508338,-0.001075469,-0.00214568,0.002065603,-0.000730185,0.003039393,0.004370116,-0.002509034,-0.001964589,-0.002502877,-0.003672384,0.001363079,0.000245491,-0.003173576,-0.001265521,0.011330418,0.000891386,0.00553848,-0.002175456,0.011600688,-0.000451388,-0.005217672,-0.000966595,0.008319597,-0.000298354,-0.001284426,-0.010872535,-0.006574102,-0.003889415,0.001091339,-0.012150903
ARS 009,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,3.1999,2.937878878,0.001327234,-1.60E-05,0.000177745,-0.002624719,-0.001119493,-0.000181152,-0.004135311,-0.000147568,0.003697772,0.003829437,-0.002659751,0.004121524,0.014755407,-0.00066022,-0.000125219,-0.005570525,0.001325611,-0.001502246,0.003265991,-0.002024208,0.001350683,-0.002276077,-0.01154016,-0.004855181,0.004840505,-0.004879316,-0.007386776,-0.000850076,-0.006708756,0.001103476,0.010256005,-0.00825924
ARS 010,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,3.2727,3.059314393,-0.001097139,-0.003095514,-0.002707098,0.002619944,0.000786868,-0.000276636,0.001439323,0.000885893,-0.001889431,0.003044525,0.000808027,-0.003922011,0.000671105,0.000934379,0.001798825,-0.001200468,0.016400832,-0.002675902,-0.00696263,0.002213906,0.003766619,0.003922676,0.002604318,-0.001868037,0.023435056,0.001946436,-0.021177521,0.004516696,-0.019207972,0.006867591,-0.002263468,0.007771399
ARS 011,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,3.0073,2.791228656,-0.001333759,-0.001217822,-0.003269819,-0.000313079,-0.00070159,0.000461166,-0.003648568,-0.003013082,0.006219803,0.000712404,0.002145488,-0.004229748,0.007347144,0.002072598,0.006316274,-0.002124129,0.02656655,0.002292518,-0.020296239,-0.000671694,-0.007847566,-0.003966396,0.003719001,-0.000128544,-0.006379561,0.001183293,0.001424984,0.00052349,0.021212587,-0.001307697,-0.000612511,0.003011888
ARS 012,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,2.887,2.681278204,-0.001506953,-0.001140033,-0.00109371,0.004557952,0.00403608,0.002446786,0.000734187,0.001257089,0.00293191,-0.000654013,0.004062879,-0.005255341,-0.003325578,0.002160163,0.012621464,-0.003323847,0.020799945,-0.000276758,-0.024432353,0.00233142,0.007535118,0.005317489,0.025392726,-0.002214494,0.007438787,0.000719811,-0.012388255,0.000390905,0.009713293,0.000636881,-0.024292692,0.014999325
ARS 013,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,2.8932,2.665212137,-0.001844381,0.00098753,-0.000236173,0.002088598,-0.000660154,-0.00253441,0.000546244,0.003346422,0.001079906,-0.002782396,0.000890893,-0.003994297,0.002175703,0.002037741,-0.007635,-0.000377895,0.005039591,-0.004088845,-0.002160167,-0.00372245,0.005807225,0.001670277,-5.84E-05,-0.003370099,-0.002350193,-0.002789195,0.004300662,0.000803527,0.002408791,0.000651604,0.012165578,0.002760176
ARS 014,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,2.9779,2.746438006,-0.001799747,-0.003232976,-0.001468779,0.000193584,0.000994642,0.002737126,0.00015355,-0.000970766,0.000377498,0.000302604,-0.004430752,-0.002820774,0.011325475,0.001934933,-0.00636347,-0.002204664,0.015845739,0.001394779,-0.001671478,0.004413611,0.004225183,-0.00425398,-0.002967479,0.005539742,0.005906887,-0.002002523,-0.013785061,-0.00403386,0.012811618,-0.000477939,-0.005536338,0.024628503
ARS 016,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,2.8353,2.584907348,-0.001477291,0.000629544,-0.005036765,-0.002046465,0.002558048,-0.003222864,-0.000933503,0.004054256,-0.00196699,0.001392821,0.007132413,-0.006040966,0.001849697,0.002869935,0.005981962,0.001632007,0.02288481,0.000973296,-0.025041766,-0.00182549,0.008379772,-0.000931002,0.016372451,-0.005149022,0.012506797,0.004361432,-0.01867168,-0.001975458,0.019173973,-0.001375609,-0.012681908,0.020640798
ARS 017,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,2.9487,2.720509629,0.0013618,-0.000435241,-0.002262873,-0.001788995,0.000733091,-0.004174323,0.004639988,0.000186708,0.000262084,-0.000806027,0.004248336,-0.001617527,-0.01335871,-0.000880155,0.009248547,-0.001176854,0.010197656,-0.002712436,-0.004948021,0.002312603,0.000830941,0.001186446,0.006255614,0.001742416,0.004035565,-0.002546871,-0.029460823,-0.001342079,-0.009560994,-0.003025871,0.000109891,0.00626085
ARS 019,Amazon,-2.864,ARS,Imeri_BB,16-Oct,Dry,2.4947,2.29204563,0.002184109,-0.003986858,-0.004574279,-0.002061025,0.003006947,-0.000955902,0.001241345,0.003230802,0.001060788,0.002195939,0.00879287,-0.004759952,-0.018314997,0.003034906,0.010401106,-0.001736704,0.027888307,-0.002018894,-0.017843698,0.004762858,0.002346791,-0.004665574,-0.005555212,-0.00111412,0.014564703,0.001433657,-0.024480944,-0.001614771,0.004977076,-0.00421474,-0.012958696,0.021080732
