ID	Biome	Locality	Collection.month	Season
APR 001	Amazon	APR	16-Oct	Dry
APR 002	Amazon	APR	16-Oct	Dry
APR 003	Amazon	APR	16-Oct	Dry
APR 004	Amazon	APR	16-Oct	Dry
APR 005	Amazon	APR	16-Oct	Dry
APR 006	Amazon	APR	16-Oct	Dry
APR 007	Amazon	APR	16-Oct	Dry
APR 008	Amazon	APR	16-Oct	Dry
APR 009	Amazon	APR	16-Oct	Dry
APR 011	Amazon	APR	16-Oct	Dry
APR 012	Amazon	APR	16-Oct	Dry
APR 013	Amazon	APR	16-Oct	Dry
APR 014	Amazon	APR	16-Oct	Dry
APR 015	Amazon	APR	16-Oct	Dry
APR 016	Amazon	APR	16-Oct	Dry
APR 017	Amazon	APR	16-Oct	Dry
APR 018	Amazon	APR	16-Oct	Dry
APR 019	Amazon	APR	16-Oct	Dry
APR 020	Amazon	APR	16-Oct	Dry
APR 021	Amazon	APR	16-Oct	Dry
APR 022	Amazon	APR	16-Oct	Dry
APR 023	Amazon	APR	16-Oct	Dry
APR 024	Amazon	APR	16-Oct	Dry
APR 025	Amazon	APR	16-Oct	Dry
APR 026	Amazon	APR	16-Oct	Dry
APR 027	Amazon	APR	16-Oct	Dry
APR 028	Amazon	APR	16-Oct	Dry
APR 029	Amazon	APR	16-Oct	Dry
APR 030	Amazon	APR	16-Oct	Dry
APR 031	Amazon	APR	16-Oct	Dry
APR 032	Amazon	APR	16-Oct	Dry
APR 033	Amazon	APR	16-Oct	Dry
APR 034	Amazon	APR	16-Oct	Dry
APR 035	Amazon	APR	16-Oct	Dry
APR 036	Amazon	APR	16-Oct	Dry
APR 037	Amazon	APR	16-Oct	Dry
APR 038	Amazon	APR	16-Oct	Dry
APR 039	Amazon	APR	16-Oct	Dry
APR 040	Amazon	APR	16-Oct	Dry
APR 041	Amazon	APR	16-Oct	Dry
APR 043	Amazon	APR	16-Oct	Dry
APR 044	Amazon	APR	16-Oct	Dry
APR 045	Amazon	APR	16-Oct	Dry
APR 046	Amazon	APR	16-Oct	Dry
APR 047	Amazon	APR	16-Oct	Dry
APR 048	Amazon	APR	16-Oct	Dry
APR 049	Amazon	APR	16-Oct	Dry
APR 050	Amazon	APR	16-Oct	Dry
APR 052	Amazon	APR	16-Oct	Dry
APR 053	Amazon	APR	16-Oct	Dry
