ID	Length.mm	CS
APR 001	2.75	2.509608927
APR 002	2.86	2.684842428
APR 003	3.17	2.931788744
APR 004	3.09	2.891502181
APR 005	3.05	2.869144412
APR 006	3.09	2.854144774
APR 007	3.23	2.956437416
APR 008	3.02	2.804083516
APR 009	2.83	2.633612038
APR 011	3.3015	3.045027685
APR 012	3.2671	3.07371361
APR 013	2.7664	2.568574716
APR 014	2.8524	2.556700518
APR 015	2.7277	2.457660424
APR 016	3.0582	2.828167677
APR 017	2.8027	2.572136406
APR 018	2.856	2.633932943
APR 019	3.0202	2.811553952
APR 020	2.7602	2.529688982
APR 021	2.7161	2.462126714
APR 022	2.811	2.610190466
APR 023	3.0402	2.814071716
APR 024	3.2703	2.955187736
APR 025	2.8941	2.650281929
APR 026	3.0713	2.807909747
APR 027	3.1689	2.961065259
APR 028	3.02	2.768347992
APR 029	3.0208	2.780696616
APR 030	2.8665	2.649504292
APR 031	3.0515	2.847380038
APR 032	3.028	2.793513663
APR 033	2.8336	2.687960693
APR 034	2.8192	2.602820693
APR 035	2.8672	2.595179721
APR 036	3.309	3.123941653
APR 037	2.8517	2.654387617
APR 038	2.9886	2.728889062
APR 039	3.0091	2.81441302
APR 040	2.791	2.609501539
APR 041	3.3794	3.226908653
APR 043	2.734	2.586010743
APR 044	3.0643	2.859450822
APR 045	2.7603	2.545001799
APR 046	2.8718	2.659844616
APR 047	2.9877	2.827055401
APR 048	2.9645	2.770671237
APR 049	3.2936	3.014168362
APR 050	2.7205	2.601696625
APR 052	2.7967	2.590783293
APR 053	3.102	2.865473198
