ID	Biome	Locality	Collection.month	Season
RMO 001	Amazon	RMO	16-Jul	Dry
RMO 002	Amazon	RMO	16-Jul	Dry
RMO 003	Amazon	RMO	16-Jul	Dry
RMO 004	Amazon	RMO	16-Jul	Dry
RMO 005	Amazon	RMO	16-Jul	Dry
RMO 006	Amazon	RMO	16-Jul	Dry
RMO 007	Amazon	RMO	16-Jul	Dry
RMO 008	Amazon	RMO	16-Jul	Dry
RMO 009	Amazon	RMO	16-Jul	Dry
RMO 010	Amazon	RMO	16-Jul	Dry
RMO 011	Amazon	RMO	16-Jul	Dry
RMO 012	Amazon	RMO	16-Jul	Dry
RMO 013	Amazon	RMO	16-Jul	Dry
RMO 014	Amazon	RMO	16-Jul	Dry
RMO 015	Amazon	RMO	16-Jul	Dry
RMO 016	Amazon	RMO	16-Jul	Dry
RMO 017	Amazon	RMO	16-Jul	Dry
RMO 018	Amazon	RMO	16-Jul	Dry
RMO 019	Amazon	RMO	16-Jul	Dry
RMO 020	Amazon	RMO	16-Jul	Dry
RMO 021	Amazon	RMO	16-Jul	Dry
RMO 022	Amazon	RMO	16-Jul	Dry
RMO 023	Amazon	RMO	16-Jul	Dry
RMO 024	Amazon	RMO	16-Jul	Dry
RMO 025	Amazon	RMO	16-Jul	Dry
RMO 026	Amazon	RMO	16-Jul	Dry
RMO 027	Amazon	RMO	16-Jul	Dry
RMO 028	Amazon	RMO	16-Jul	Dry
RMO 029	Amazon	RMO	16-Jul	Dry
RMO 030	Amazon	RMO	16-Jul	Dry
RMO 031	Amazon	RMO	16-Jul	Dry
RMO 032	Amazon	RMO	16-Jul	Dry
RMO 033	Amazon	RMO	16-Jul	Dry
RMO 034	Amazon	RMO	16-Jul	Dry
RMO 035	Amazon	RMO	16-Jul	Dry
RMO 036	Amazon	RMO	16-Jul	Dry
RMO 037	Amazon	RMO	16-Jul	Dry
RMO 038	Amazon	RMO	16-Jul	Dry
RMO 039	Amazon	RMO	16-Jul	Dry
RMO 040	Amazon	RMO	16-Jul	Dry
RMO 041	Amazon	RMO	16-Jul	Dry
RMO 042	Amazon	RMO	16-Jul	Dry
RMO 043	Amazon	RMO	16-Jul	Dry
RMO 044	Amazon	RMO	16-Jul	Dry
RMO 045	Amazon	RMO	16-Jul	Dry
