ID	Length.mm	CS
RMO 001	2.7333	2.569512761
RMO 002	2.8968	2.680809701
RMO 003	2.9909	2.813344833
RMO 004	2.9065	2.689424059
RMO 005	3.2766	2.974177149
RMO 006	3.2156	2.904637618
RMO 007	2.9575	2.719762863
RMO 008	3.2347	3.010125973
RMO 009	3.1294	2.90611225
RMO 010	2.9108	2.66963291
RMO 011	3.248	3.10481276
RMO 012	2.9569	2.752899119
RMO 013	3.214	3.006032586
RMO 014	2.8753	2.684873123
RMO 015	3.0817	2.818187884
RMO 016	2.5963	2.387880089
RMO 017	2.9852	2.780923795
RMO 018	3.1777	2.937594406
RMO 019	2.8765	2.690176602
RMO 020	3.1087	2.955580951
RMO 021	3.1119	2.988820699
RMO 022	2.5603	2.376432997
RMO 023	3.0481	2.946714585
RMO 024	3.1029	2.955247925
RMO 025	3.1657	2.904824693
RMO 026	2.9671	2.76490482
RMO 027	3.253	3.035091098
RMO 028	3.099	2.975206924
RMO 029	3.0714	2.908004034
RMO 030	3.169	3.018377417
RMO 031	2.8769	2.727551757
RMO 032	3.2487	3.047111771
RMO 033	2.7693	2.631460929
RMO 034	3.1764	2.993982832
RMO 035	3.0099	2.799843697
RMO 036	3.0141	2.870412859
RMO 037	3.156	2.934089371
RMO 038	2.8494	2.643490289
RMO 039	2.8314	2.696328802
RMO 040	2.9244	2.722429878
RMO 041	2.8579	2.724174552
RMO 042	3.2487	3.059967832
RMO 043	2.7731	2.601851132
RMO 044	3.1246	2.895612298
RMO 045	3.1466	2.93834231
