ID	Biome	Locality	Collection.month	Season
RPV 001	Amazon	RPV	16-Jul	Dry
RPV 002	Amazon	RPV	16-Jul	Dry
RPV 003	Amazon	RPV	16-Jul	Dry
RPV 004	Amazon	RPV	16-Jul	Dry
RPV 005	Amazon	RPV	16-Jul	Dry
RPV 006	Amazon	RPV	16-Jul	Dry
RPV 007	Amazon	RPV	16-Jul	Dry
RPV 008	Amazon	RPV	16-Jul	Dry
RPV 009	Amazon	RPV	16-Jul	Dry
RPV 010	Amazon	RPV	16-Jul	Dry
RPV 011	Amazon	RPV	16-Jul	Dry
RPV 012	Amazon	RPV	16-Jul	Dry
RPV 014	Amazon	RPV	16-Jul	Dry
RPV 015	Amazon	RPV	16-Jul	Dry
RPV 016	Amazon	RPV	16-Jul	Dry
RPV 017	Amazon	RPV	16-Jul	Dry
RPV 018	Amazon	RPV	16-Jul	Dry
RPV 019	Amazon	RPV	16-Jul	Dry
RPV 020	Amazon	RPV	16-Jul	Dry
RPV 021	Amazon	RPV	16-Jul	Dry
RPV 022	Amazon	RPV	16-Jul	Dry
RPV 023	Amazon	RPV	16-Jul	Dry
RPV 024	Amazon	RPV	16-Jul	Dry
RPV 025	Amazon	RPV	16-Jul	Dry
RPV 026	Amazon	RPV	16-Jul	Dry
RPV 027	Amazon	RPV	16-Jul	Dry
RPV 028	Amazon	RPV	16-Jul	Dry
RPV 030	Amazon	RPV	16-Jul	Dry
RPV 031	Amazon	RPV	16-Jul	Dry
RPV 032	Amazon	RPV	16-Jul	Dry
RPV 033	Amazon	RPV	16-Jul	Dry
RPV 034	Amazon	RPV	16-Jul	Dry
RPV 035	Amazon	RPV	16-Jul	Dry
RPV 036	Amazon	RPV	16-Jul	Dry
RPV 037	Amazon	RPV	16-Jul	Dry
RPV 038	Amazon	RPV	16-Jul	Dry
RPV 039	Amazon	RPV	16-Jul	Dry
RPV 040	Amazon	RPV	16-Jul	Dry
RPV 041	Amazon	RPV	16-Jul	Dry
RPV 042	Amazon	RPV	16-Jul	Dry
RPV 043	Amazon	RPV	16-Jul	Dry
RPV 044	Amazon	RPV	16-Jul	Dry
RPV 045	Amazon	RPV	16-Jul	Dry
RPV 046	Amazon	RPV	16-Jul	Dry
RPV 047	Amazon	RPV	16-Jul	Dry
RPV 048	Amazon	RPV	16-Jul	Dry
RPV 049	Amazon	RPV	16-Jul	Dry
