ID	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18
RPV 001	1.927445968	1.244672735	2.525280904	1.182602441	3.4726696	1.417816187	3.534739894	1.509288199	3.55434104	1.581159065	3.55434104	1.639962502	3.466135885	1.721633941	3.263590716	1.80330538	2.992441537	1.881709962	2.55794948	1.924179111	1.924179111	1.522355629	2.254131725	1.532156202	2.254131725	1.46681905	2.427275177	1.502754484	2.427275177	1.421083044	2.427275177	1.352479035	2.744160361	1.34594532	2.832365516	1.613827641
RPV 002	2.312935162	1.329611032	3.044711258	1.22507159	4.158709691	1.437417332	4.217513127	1.502754484	4.246914845	1.600760211	4.243647987	1.711833368	4.129307972	1.80330538	3.907161657	1.91111168	3.606610761	2.015651123	3.119848982	2.10058942	2.332536307	1.68243165	2.806230655	1.685698508	2.806230655	1.604027068	2.969573534	1.639962502	2.953239246	1.512555056	2.943438673	1.434150475	3.302793006	1.398215041	3.394265018	1.731434514
RPV 003	2.208395719	1.666097362	2.998975252	1.528889344	4.168510263	1.728167656	4.24038113	1.819639668	4.26651599	1.91111168	4.256715418	2.009117407	4.184844551	2.097322562	3.959431379	2.201862004	3.626211906	2.326002592	3.116582125	2.414207747	2.244331153	2.009117407	2.675556352	1.999316835	2.662488922	1.888243677	2.881368379	1.930712826	2.874834664	1.835973956	2.855233519	1.754302517	3.283191861	1.711833368	3.407332449	2.045052841
RPV 004	2.339070022	1.89804425	3.025110113	1.809839096	4.126041115	2.064653986	4.155442833	2.133257995	4.165243406	2.224730007	4.13257483	2.309668304	4.050903391	2.365204883	3.835290791	2.459943753	3.587009615	2.528547762	3.103514694	2.590618055	2.358671168	2.195328289	2.783362652	2.214929435	2.780095795	2.12672428	2.930371243	2.165926571	2.92057067	2.067920844	2.917303813	1.986249404	3.253790143	1.976448832	3.345262155	2.270466013
RPV 005	2.35540431	0.898385833	3.074112976	0.79384639	4.103173112	0.986590987	4.178310836	1.068262426	4.207712554	1.153200723	4.168510263	1.274074454	4.060703963	1.352479035	3.884293654	1.443951047	3.5804759	1.528889344	3.172118703	1.597493353	2.407674031	1.215271017	2.855233519	1.228338447	2.845432946	1.146667008	2.995708395	1.185869299	2.985907822	1.081329857	2.985907822	0.999658417	3.332194725	0.966989842	3.381197588	1.261007023
RPV 006	2.149592283	1.355745893	2.900969525	1.264273881	3.923495945	1.450484762	3.992099954	1.535423059	4.0117011	1.613827641	4.005167385	1.698765938	3.887560512	1.770636805	3.711150203	1.865375674	3.436734167	1.966648259	2.979374107	2.038519126	2.169193429	1.65629679	2.652688349	1.679164793	2.652688349	1.587692781	2.789896367	1.613827641	2.780095795	1.535423059	2.767028364	1.434150475	3.080646691	1.414549329	3.273391288	1.711833368
RPV 007	1.623628214	0.846116111	2.316202019	0.806913821	3.341995297	1.084596714	3.381197588	1.169535011	3.390998161	1.241405878	3.377930731	1.316543602	3.263590716	1.391681326	3.080646691	1.476619623	2.750694077	1.532156202	2.290067159	1.568091635	1.620361356	1.146667008	1.953580829	1.159734438	1.950313971	1.078062999	2.13979171	1.123799005	2.13979171	1.045394423	2.12672428	0.950655554	2.518747189	0.973523557	2.606952343	1.267540738
RPV 008	2.152859141	2.250864868	2.92057067	2.146325426	3.995366812	2.319468877	4.077038251	2.410940889	4.112973685	2.508946616	4.083571966	2.620019774	3.965965094	2.714758643	3.776487355	2.806230655	3.440001024	2.914036955	2.989174679	2.989174679	2.169193429	2.58408434	2.623286631	2.597151771	2.613486058	2.499146043	2.793163225	2.541615192	2.789896367	2.446876322	2.770295222	2.348870595	3.113315267	2.326002592	3.234188997	2.633087204
RPV 009	1.809839096	0.87551783	2.502412901	0.784045818	3.511871891	0.950655554	3.596810188	1.042127566	3.622945049	1.136866435	3.619678191	1.251206451	3.521672464	1.329611032	3.325661009	1.427616759	3.041444401	1.512555056	2.58408434	1.594226496	1.819639668	1.202203587	2.241064295	1.215271017	2.224730007	1.120532148	2.420741462	1.149933866	2.407674031	1.071529284	2.397873459	0.970256699	2.767028364	0.957189269	2.897702667	1.267540738
RPV 010	1.571358493	1.120532148	2.296600874	1.019259563	3.312593579	1.169535011	3.361596443	1.254473308	3.387731303	1.339411605	3.374663873	1.437417332	3.296259291	1.519088771	3.139450128	1.600760211	2.802963798	1.724900799	2.32926945	1.80330538	1.587692781	1.408015614	2.035252268	1.408015614	2.01891798	1.339411605	2.182260859	1.378613896	2.169193429	1.277341311	2.146325426	1.198936729	2.551415765	1.172801869	2.613486058	1.463552193
