ID	Length.mm	CS
RPV 001	2.6333	2.492028774
RPV 002	3.1247	2.868462283
RPV 003	3.2397	3.079876264
RPV 004	2.8935	2.725448796
RPV 005	2.9023	2.675229026
RPV 006	2.9291	2.721600638
RPV 007	2.8655	2.72899422
RPV 008	3.0936	2.887647502
RPV 009	2.978	2.709428332
RPV 010	2.8886	2.70184044
RPV 011	2.9577	2.675981351
RPV 012	2.9869	2.78284092
RPV 014	3.0855	2.79751681
RPV 015	3.0409	2.843082268
RPV 016	2.5153	2.364021002
RPV 017	2.8236	2.605582378
RPV 018	3.0539	2.895564385
RPV 019	2.9977	2.909519448
RPV 020	2.52	2.371789221
RPV 021	3.08	2.782852745
RPV 022	3.0086	2.811128569
RPV 023	3.1525	2.917957254
RPV 024	3.1929	3.0015844
RPV 025	3.1198	2.870124902
RPV 026	2.9795	2.763720424
RPV 027	3.0598	2.823916777
RPV 028	3.0264	2.814983559
RPV 030	3.0664	2.802396948
RPV 031	2.7333	2.56381147
RPV 032	2.7956	2.594332433
RPV 033	2.8132	2.641610854
RPV 034	2.8021	2.686754293
RPV 035	2.9361	2.702671904
RPV 036	2.8087	2.619732584
RPV 037	3.1236	2.827365465
RPV 038	2.9747	2.749863873
RPV 039	2.8917	2.684016043
RPV 040	2.9977	2.748902822
RPV 041	2.6988	2.465655448
RPV 042	2.6089	2.501125185
RPV 043	3.0003	2.773156525
RPV 044	3.0578	2.796149562
RPV 045	3.1467	3.016947833
RPV 046	2.7642	2.589968219
RPV 047	3.298	2.996076304
RPV 048	3.1064	2.926745126
RPV 049	2.9792	2.731870891
