ID	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18
SJU 001	1.754302517	1.398215041	2.724559216	1.270807596	3.979032524	1.473352765	4.073771394	1.577892208	4.1195074	1.688965365	4.099906254	1.796771665	3.982299382	1.881709962	3.747085636	1.996049977	3.355062728	2.11365685	2.783362652	2.198595147	1.780437377	1.744501944	2.290067159	1.734701371	2.280266586	1.643229359	2.616752916	1.69549908	2.606952343	1.587692781	2.590618055	1.479886481	3.025110113	1.46681905	3.126382697	1.819639668
SJU 002	2.172460286	1.394948184	3.116582125	1.306743029	4.354721145	1.630161929	4.426592012	1.744501944	4.439659442	1.839240814	4.400457151	1.927445968	4.286117136	2.009117407	4.077038251	2.094055704	3.665414197	2.192061432	3.090447264	2.24759801	2.178994001	1.754302517	2.662488922	1.760836232	2.659222065	1.672631077	3.00224211	1.757569374	2.998975252	1.636695644	2.979374107	1.522355629	3.35179587	1.525622487	3.469402743	1.888243677
SJU 003	1.832707099	1.143400151	2.718025501	1.019259563	3.943097091	1.251206451	4.001900527	1.33287789	4.014967957	1.443951047	3.982299382	1.515821914	3.89082737	1.597493353	3.717683918	1.708566511	3.397531876	1.813105953	2.832365516	1.920912253	1.842507671	1.502754484	2.309668304	1.489687053	2.303134589	1.401481899	2.600418628	1.430883617	2.590618055	1.329611032	2.587351198	1.231605305	3.021843255	1.215271017	3.155784416	1.54849049
SJU 004	2.084255132	1.708566511	2.966306676	1.646496217	4.109706827	1.878443105	4.188111409	1.973181974	4.207712554	2.074454559	4.175043978	2.169193429	4.083571966	2.254131725	3.845091364	2.375005456	3.518405606	2.47627804	2.949972389	2.541615192	2.11365685	2.058120271	2.551415765	2.077721416	2.551415765	1.986249404	2.842166089	2.038519126	2.829098658	1.937246541	2.819298086	1.835973956	3.198253564	1.822906526	3.319127294	2.172460286
SJU 005	1.901311108	0.421424627	2.767028364	0.421424627	3.897361085	0.813447536	3.933296518	0.898385833	3.946363948	0.989857845	3.9038948	1.078062999	3.763419924	1.156467581	3.59354333	1.221804732	3.227655282	1.300209314	2.646154634	1.306743029	1.865375674	0.78077896	2.299867731	0.823248108	2.316202019	0.741576669	2.597151771	0.816714393	2.600418628	0.708908093	2.606952343	0.601101793	2.998975252	0.633770369	3.038177543	0.989857845
SJU 006	1.764103089	2.303134589	2.587351198	2.12672428	3.822223361	2.263932298	3.887560512	2.332536307	3.936563376	2.430542034	3.91696223	2.528547762	3.822223361	2.613486058	3.632745621	2.737626646	3.276658146	2.884635237	2.724559216	3.025110113	1.800038523	2.662488922	2.237797438	2.610219201	2.224730007	2.535081477	2.515480331	2.561216337	2.495879186	2.446876322	2.482811756	2.345603737	2.851966661	2.290067159	3.012042682	2.610219201
SJU 009	2.087521989	1.463552193	3.047978116	1.296942457	4.315518854	1.532156202	4.364521718	1.623628214	4.393923436	1.728167656	4.36125486	1.809839096	4.24038113	1.901311108	4.028035388	2.00585055	3.698082773	2.133257995	3.087180407	2.22146315	2.107123135	1.796771665	2.613486058	1.770636805	2.603685486	1.679164793	2.956506104	1.718367083	2.940171816	1.626895071	2.927104386	1.522355629	3.224388425	1.483153338	3.456335312	1.852308244
SJU 010	1.672631077	0.427958342	2.535081477	0.320152042	3.707883345	0.5390315	3.769953639	0.637037227	3.786287927	0.731776096	3.776487355	0.829781824	3.665414197	0.924520693	3.4726696	1.035593851	3.093714122	1.159734438	2.554682622	1.231605305	1.679164793	0.810180678	2.090788847	0.777512102	2.094055704	0.699107521	2.371738598	0.744843527	2.361938025	0.633770369	2.358671168	0.529230927	2.77356208	0.516163497	2.936904958	0.87551783
SJU 011	2.094055704	1.590959638	3.021843255	1.584425923	4.24038113	2.00585055	4.269782848	2.103856277	4.259982275	2.175727144	4.224046842	2.260665441	4.122774257	2.335803165	3.926762803	2.424008319	3.538006752	2.482811756	2.972840392	2.515480331	2.074454559	1.960114544	2.535081477	1.986249404	2.535081477	1.907844823	2.868300949	1.99278312	2.874834664	1.88497682	2.871567807	1.783704235	3.24398957	1.809839096	3.3648633	2.185527716
SJU 012	1.937246541	1.630161929	2.79969694	1.486420196	3.972498809	1.685698508	4.057437106	1.79023795	4.063970821	1.888243677	4.047636533	1.999316835	3.949630806	2.071187701	3.753619352	2.159392856	3.410599306	2.276999728	2.871567807	2.348870595	1.947047114	1.960114544	2.388072886	1.924179111	2.378272313	1.849041386	2.724559216	1.89804425	2.708224928	1.79023795	2.69189064	1.698765938	3.106781552	1.68243165	3.204787279	2.002583692
SJU 013	2.041785983	1.084596714	2.923837528	0.950655554	4.155442833	1.110731575	4.250181703	1.205470444	4.273049706	1.303476172	4.256715418	1.398215041	4.148909118	1.486420196	3.965965094	1.590959638	3.583742758	1.721633941	2.992441537	1.832707099	2.061387129	1.434150475	2.499146043	1.401481899	2.489345471	1.316543602	2.842166089	1.35901275	2.819298086	1.244672735	2.789896367	1.143400151	3.211320994	1.127065863	3.33872844	1.450484762
