ID	Biome	Locality	Collection.month	Season
TLC 001	Cerrado	TLC	16-Jan	Wet
TLC 002	Cerrado	TLC	16-Jan	Wet
TLC 003	Cerrado	TLC	16-Jan	Wet
TLC 004	Cerrado	TLC	16-Jan	Wet
TLC 006	Cerrado	TLC	16-Jan	Wet
TLC 007	Cerrado	TLC	16-Jan	Wet
TLC 008	Cerrado	TLC	16-Jan	Wet
TLC 010	Cerrado	TLC	16-Jan	Wet
TLC 012	Cerrado	TLC	16-Jan	Wet
TLC 013	Cerrado	TLC	16-Jan	Wet
TLC 014	Cerrado	TLC	16-Jan	Wet
TLC 017	Cerrado	TLC	16-Jan	Wet
TLC 018	Cerrado	TLC	16-Jan	Wet
TLC 022	Cerrado	TLC	16-Jan	Wet
TLC 023	Cerrado	TLC	16-Jan	Wet
TLC 024	Cerrado	TLC	16-Jan	Wet
TLC 025	Cerrado	TLC	16-Jan	Wet
TLC 026	Cerrado	TLC	16-Jan	Wet
TLC 027	Cerrado	TLC	16-Jan	Wet
TLC 028	Cerrado	TLC	16-Jan	Wet
TLC 029	Cerrado	TLC	16-Jan	Wet
TLC 033	Cerrado	TLC	16-Jan	Wet
TLC 035	Cerrado	TLC	16-Jan	Wet
TLC 036	Cerrado	TLC	16-Jan	Wet
TLC 037	Cerrado	TLC	16-Jan	Wet
TLC 038	Cerrado	TLC	16-Jan	Wet
TLC 039	Cerrado	TLC	16-Jan	Wet
TLC 040	Cerrado	TLC	16-Jan	Wet
TLC 041	Cerrado	TLC	16-Jan	Wet
TLC 043	Cerrado	TLC	16-Jan	Wet
TLC 044	Cerrado	TLC	16-Jan	Wet
TLC 046	Cerrado	TLC	16-Jan	Wet
TLC 047	Cerrado	TLC	16-Jan	Wet
TLC 048	Cerrado	TLC	16-Jan	Wet
TLC 049	Cerrado	TLC	16-Jan	Wet
TLC 050	Cerrado	TLC	16-Jan	Wet
TLC 052	Cerrado	TLC	16-Jan	Wet
TLC 053	Cerrado	TLC	16-Jan	Wet
TLC 055	Cerrado	TLC	16-Jan	Wet
TLC 057	Cerrado	TLC	16-Jan	Wet
TLC 058	Cerrado	TLC	16-Jan	Wet
TLC 070	Cerrado	TLC	16-Mar	Wet
TLC 071	Cerrado	TLC	16-Mar	Wet
TLC 073	Cerrado	TLC	16-Mar	Wet
TLC 074	Cerrado	TLC	16-Mar	Wet
TLC 075	Cerrado	TLC	16-Mar	Wet
TLC 076	Cerrado	TLC	16-Mar	Wet
TLC 077	Cerrado	TLC	16-Mar	Wet
TLC 078	Cerrado	TLC	16-Mar	Wet
TLC 079	Cerrado	TLC	16-Mar	Wet
TLC 080	Cerrado	TLC	16-Mar	Wet
TLC 081	Cerrado	TLC	16-Mar	Wet
TLC 082	Cerrado	TLC	16-Mar	Wet
TLC 083	Cerrado	TLC	16-Mar	Wet
