ID	Length.mm	CS
TLC 001	2.7127	2.651336313
TLC 002	3.4295	3.191381925
TLC 003	3.1484	2.970899288
TLC 004	3.2974	3.0550811
TLC 006	3.0158	2.774180131
TLC 007	3.1718	2.955460986
TLC 008	3.0308	2.808720155
TLC 010	3.0458	2.864733486
TLC 012	3.2797	2.989942897
TLC 013	2.6502	2.458892658
TLC 014	2.809	2.659953506
TLC 017	2.8788	2.701861946
TLC 018	3.1109	2.908590867
TLC 022	3.3062	3.002808355
TLC 023	3.0711	2.872228349
TLC 024	2.9739	2.780501297
TLC 025	3.1437	2.869755411
TLC 026	3.251	3.046157496
TLC 027	3.1005	2.952380046
TLC 028	3.2312	3.026471977
TLC 029	3.1343	2.89960229
TLC 033	3.1554	2.962941267
TLC 035	3.3035	3.088362663
TLC 036	2.7652	2.675940361
TLC 037	3.0995	2.840031713
TLC 038	2.949	2.783564693
TLC 039	3.1266	2.915371085
TLC 040	3.2706	3.039488004
TLC 041	3.0708	2.878800418
TLC 043	3.1514	2.919727443
TLC 044	3.0644	2.806383514
TLC 046	3.1791	2.982192766
TLC 047	3.0887	2.860881184
TLC 048	2.9311	2.705496794
TLC 049	3.2156	2.992359112
TLC 050	3.2847	3.003350607
TLC 052	3.2666	3.080593475
TLC 053	2.92	2.704954125
TLC 055	3.2117	2.970246317
TLC 057	3.1243	2.902967294
TLC 058	3.3289	2.79660839
TLC 070	3.0691	2.829781372
TLC 071	2.6372	2.4339648
TLC 073	3.018	2.757232093
TLC 074	3.093	2.892873655
TLC 075	3.0479	2.799627794
TLC 076	3.0098	2.754664422
TLC 077	2.9512	2.802372828
TLC 078	3.0767	2.833221142
TLC 079	3.2936	3.08384472
TLC 080	3.0055	2.763939668
TLC 081	3.0772	2.888132543
TLC 082	3.1472	2.93184456
TLC 083	2.9745	2.840834626
