ID	Length.mm	CS
ARS 002	2.5121	2.405018276
ARS 003	3.0057	2.71436014
ARS 004	3.0195	2.730232336
ARS 005	2.9067	2.680489984
ARS 006	2.8672	2.64802088
ARS 007	2.9336	2.738081963
ARS 008	3.0717	2.860509047
ARS 009	3.1999	2.937878878
ARS 010	3.2727	3.059314393
ARS 011	3.0073	2.791228656
ARS 012	2.887	2.681278204
ARS 013	2.8932	2.665212137
ARS 014	2.9779	2.746438006
ARS 016	2.8353	2.584907348
ARS 017	2.9487	2.720509629
ARS 019	2.4947	2.29204563
ARS 020	2.8733	2.690010858
APR 001	2.75	2.509608927
APR 002	2.86	2.684842428
APR 003	3.17	2.931788744
APR 004	3.09	2.891502181
APR 005	3.05	2.869144412
APR 006	3.09	2.854144774
APR 007	3.23	2.956437416
APR 008	3.02	2.804083516
APR 009	2.83	2.633612038
APR 011	3.3015	3.045027685
APR 012	3.2671	3.07371361
APR 013	2.7664	2.568574716
APR 014	2.8524	2.556700518
APR 015	2.7277	2.457660424
APR 016	3.0582	2.828167677
APR 017	2.8027	2.572136406
APR 018	2.856	2.633932943
APR 019	3.0202	2.811553952
APR 020	2.7602	2.529688982
APR 021	2.7161	2.462126714
APR 022	2.811	2.610190466
APR 023	3.0402	2.814071716
APR 024	3.2703	2.955187736
APR 025	2.8941	2.650281929
APR 026	3.0713	2.807909747
APR 027	3.1689	2.961065259
APR 028	3.02	2.768347992
APR 029	3.0208	2.780696616
APR 030	2.8665	2.649504292
APR 031	3.0515	2.847380038
APR 032	3.028	2.793513663
APR 033	2.8336	2.687960693
APR 034	2.8192	2.602820693
APR 035	2.8672	2.595179721
APR 036	3.309	3.123941653
APR 037	2.8517	2.654387617
APR 038	2.9886	2.728889062
APR 039	3.0091	2.81441302
APR 040	2.791	2.609501539
APR 041	3.3794	3.226908653
APR 043	2.734	2.586010743
APR 044	3.0643	2.859450822
APR 045	2.7603	2.545001799
APR 046	2.8718	2.659844616
APR 047	2.9877	2.827055401
APR 048	2.9645	2.770671237
APR 049	3.2936	3.014168362
APR 050	2.7205	2.601696625
APR 052	2.7967	2.590783293
APR 053	3.102	2.865473198
RPV 001	2.6333	2.492028774
RPV 002	3.1247	2.868462283
RPV 003	3.2397	3.079876264
RPV 004	2.8935	2.725448796
RPV 005	2.9023	2.675229026
RPV 006	2.9291	2.721600638
RPV 007	2.8655	2.72899422
RPV 008	3.0936	2.887647502
RPV 009	2.978	2.709428332
RPV 010	2.8886	2.70184044
RPV 011	2.9577	2.675981351
RPV 012	2.9869	2.78284092
RPV 014	3.0855	2.79751681
RPV 015	3.0409	2.843082268
RPV 016	2.5153	2.364021002
RPV 017	2.8236	2.605582378
RPV 018	3.0539	2.895564385
RPV 019	2.9977	2.909519448
RPV 020	2.52	2.371789221
RPV 021	3.08	2.782852745
RPV 022	3.0086	2.811128569
RPV 023	3.1525	2.917957254
RPV 024	3.1929	3.0015844
RPV 025	3.1198	2.870124902
RPV 026	2.9795	2.763720424
RPV 027	3.0598	2.823916777
RPV 028	3.0264	2.814983559
RPV 030	3.0664	2.802396948
RPV 031	2.7333	2.56381147
RPV 032	2.7956	2.594332433
RPV 033	2.8132	2.641610854
RPV 034	2.8021	2.686754293
RPV 035	2.9361	2.702671904
RPV 036	2.8087	2.619732584
RPV 037	3.1236	2.827365465
RPV 038	2.9747	2.749863873
RPV 039	2.8917	2.684016043
RPV 040	2.9977	2.748902822
RPV 041	2.6988	2.465655448
RPV 042	2.6089	2.501125185
RPV 043	3.0003	2.773156525
RPV 044	3.0578	2.796149562
RPV 045	3.1467	3.016947833
RPV 046	2.7642	2.589968219
RPV 047	3.298	2.996076304
RPV 048	3.1064	2.926745126
RPV 049	2.9792	2.731870891
RMO 001	2.7333	2.569512761
RMO 002	2.8968	2.680809701
RMO 003	2.9909	2.813344833
RMO 004	2.9065	2.689424059
RMO 005	3.2766	2.974177149
RMO 006	3.2156	2.904637618
RMO 007	2.9575	2.719762863
RMO 008	3.2347	3.010125973
RMO 009	3.1294	2.90611225
RMO 010	2.9108	2.66963291
RMO 011	3.248	3.10481276
RMO 012	2.9569	2.752899119
RMO 013	3.214	3.006032586
RMO 014	2.8753	2.684873123
RMO 015	3.0817	2.818187884
RMO 016	2.5963	2.387880089
RMO 017	2.9852	2.780923795
RMO 018	3.1777	2.937594406
RMO 019	2.8765	2.690176602
RMO 020	3.1087	2.955580951
RMO 021	3.1119	2.988820699
RMO 022	2.5603	2.376432997
RMO 023	3.0481	2.946714585
RMO 024	3.1029	2.955247925
RMO 025	3.1657	2.904824693
RMO 026	2.9671	2.76490482
RMO 027	3.253	3.035091098
RMO 028	3.099	2.975206924
RMO 029	3.0714	2.908004034
RMO 030	3.169	3.018377417
RMO 031	2.8769	2.727551757
RMO 032	3.2487	3.047111771
RMO 033	2.7693	2.631460929
RMO 034	3.1764	2.993982832
RMO 035	3.0099	2.799843697
RMO 036	3.0141	2.870412859
RMO 037	3.156	2.934089371
RMO 038	2.8494	2.643490289
RMO 039	2.8314	2.696328802
RMO 040	2.9244	2.722429878
RMO 041	2.8579	2.724174552
RMO 042	3.2487	3.059967832
RMO 043	2.7731	2.601851132
RMO 044	3.1246	2.895612298
RMO 045	3.1466	2.93834231
TLC 001	2.7127	2.651336313
TLC 002	3.4295	3.191381925
TLC 003	3.1484	2.970899288
TLC 004	3.2974	3.0550811
TLC 006	3.0158	2.774180131
TLC 007	3.1718	2.955460986
TLC 008	3.0308	2.808720155
TLC 010	3.0458	2.864733486
TLC 012	3.2797	2.989942897
TLC 013	2.6502	2.458892658
TLC 014	2.809	2.659953506
TLC 017	2.8788	2.701861946
TLC 018	3.1109	2.908590867
TLC 022	3.3062	3.002808355
TLC 023	3.0711	2.872228349
TLC 024	2.9739	2.780501297
TLC 025	3.1437	2.869755411
TLC 026	3.251	3.046157496
TLC 027	3.1005	2.952380046
TLC 028	3.2312	3.026471977
TLC 029	3.1343	2.89960229
TLC 033	3.1554	2.962941267
TLC 035	3.3035	3.088362663
TLC 036	2.7652	2.675940361
TLC 037	3.0995	2.840031713
TLC 038	2.949	2.783564693
TLC 039	3.1266	2.915371085
TLC 040	3.2706	3.039488004
TLC 041	3.0708	2.878800418
TLC 043	3.1514	2.919727443
TLC 044	3.0644	2.806383514
TLC 046	3.1791	2.982192766
TLC 047	3.0887	2.860881184
TLC 048	2.9311	2.705496794
TLC 049	3.2156	2.992359112
TLC 050	3.2847	3.003350607
TLC 052	3.2666	3.080593475
TLC 053	2.92	2.704954125
TLC 055	3.2117	2.970246317
TLC 057	3.1243	2.902967294
TLC 058	3.3289	2.79660839
TLC 070	3.0691	2.829781372
TLC 071	2.6372	2.4339648
TLC 073	3.018	2.757232093
TLC 074	3.093	2.892873655
TLC 075	3.0479	2.799627794
TLC 076	3.0098	2.754664422
TLC 077	2.9512	2.802372828
TLC 078	3.0767	2.833221142
TLC 079	3.2936	3.08384472
TLC 080	3.0055	2.763939668
TLC 081	3.0772	2.888132543
TLC 082	3.1472	2.93184456
TLC 083	2.9745	2.840834626
TPN 001	3.1544	3.015813959
TPN 002	3.0363	2.885517692
TPN 003	3.16	2.957538724
TPN 004	3.127	2.985691969
TPN 006	3.0177	2.856658935
TPN 007	2.486	2.460633711
TPN 008	3.089	2.920992193
TPN 009	2.987	2.830437631
TPN 010	3.151	2.969553768
TPN 011	3.1688	3.023648121
TPN 012	3.1923	3.105678568
TPN 013	3.099	2.925842682
TPN 014	3.005	2.894369951
TPN 016	3.1378	2.937767171
TPN 017	3.0181	2.856567714
TPN 018	2.9385	2.778459005
TPN 020	2.894	2.701955318
SJU 001	3.6804	3.44559111
SJU 002	3.6146	3.356489797
SJU 003	3.4619	3.24498004
SJU 004	3.3735	3.142380772
SJU 005	3.4466	3.119058584
SJU 006	3.4335	3.214632672
SJU 009	3.5691	3.367001849
SJU 010	3.4576	3.197825944
SJU 011	3.5032	3.303897841
SJU 012	3.3777	3.152886069
SJU 013	3.5775	3.309914235
