ID	Biome	State	Locality	Family	Temp_let	Sex
APR 068	Amazon	Amazonas	APR	2	A	F
APR 069	Amazon	Amazonas	APR	2	B	M
APR 072	Amazon	Amazonas	APR	2	B	M
APR 074	Amazon	Amazonas	APR	2	B	F
APR 080	Amazon	Amazonas	APR	2	B	M
APR 081	Amazon	Amazonas	APR	2	B	F
APR 082	Amazon	Amazonas	APR	2	B	M
APR 087	Amazon	Amazonas	APR	2	C	F
APR 097	Amazon	Amazonas	APR	2	C	M
APR 100	Amazon	Amazonas	APR	3	A	F
APR 102	Amazon	Amazonas	APR	3	A	F
APR 105	Amazon	Amazonas	APR	3	A	M
APR 106	Amazon	Amazonas	APR	3	A	M
APR 112	Amazon	Amazonas	APR	3	A	M
APR 116	Amazon	Amazonas	APR	3	B	M
APR 122	Amazon	Amazonas	APR	3	B	F
APR 128	Amazon	Amazonas	APR	3	B	M
APR 130	Amazon	Amazonas	APR	3	C	F
APR 132	Amazon	Amazonas	APR	3	C	F
APR 142	Amazon	Amazonas	APR	3	C	M
APR 143	Amazon	Amazonas	APR	3	C	M
APR 144	Amazon	Amazonas	APR	4	A	F
APR 146	Amazon	Amazonas	APR	4	A	F
APR 153	Amazon	Amazonas	APR	4	A	M
APR 157	Amazon	Amazonas	APR	4	A	M
APR 159	Amazon	Amazonas	APR	4	B	M
APR 163	Amazon	Amazonas	APR	4	B	M
APR 172	Amazon	Amazonas	APR	4	B	F
APR 175	Amazon	Amazonas	APR	4	C	F
APR 178	Amazon	Amazonas	APR	4	C	M
APR 186	Amazon	Amazonas	APR	4	C	M
APR 189	Amazon	Amazonas	APR	7	A	M
APR 192	Amazon	Amazonas	APR	7	A	M
APR 197	Amazon	Amazonas	APR	7	A	M
APR 203	Amazon	Amazonas	APR	7	A	F
APR 208	Amazon	Amazonas	APR	7	B	F
APR 209	Amazon	Amazonas	APR	7	B	M
APR 231	Amazon	Amazonas	APR	7	C	M
APR 235	Amazon	Amazonas	APR	8	A	M
APR 239	Amazon	Amazonas	APR	8	A	F
APR 243	Amazon	Amazonas	APR	8	A	M
APR 244	Amazon	Amazonas	APR	8	A	M
APR 248	Amazon	Amazonas	APR	8	A	M
APR 253	Amazon	Amazonas	APR	8	B	F
APR 254	Amazon	Amazonas	APR	8	B	M
APR 256	Amazon	Amazonas	APR	8	B	F
APR 259	Amazon	Amazonas	APR	8	B	F
APR 261	Amazon	Amazonas	APR	8	B	M
APR 262	Amazon	Amazonas	APR	8	B	F
APR 263	Amazon	Amazonas	APR	8	B	M
APR 265	Amazon	Amazonas	APR	8	C	F
APR 266	Amazon	Amazonas	APR	8	C	M
APR 280	Amazon	Amazonas	APR	10	A	F
APR 285	Amazon	Amazonas	APR	10	A	M
APR 291	Amazon	Amazonas	APR	10	A	M
APR 293	Amazon	Amazonas	APR	10	A	M
APR 295	Amazon	Amazonas	APR	10	B	F
APR 297	Amazon	Amazonas	APR	10	B	F
APR 308	Amazon	Amazonas	APR	10	B	M
APR 312	Amazon	Amazonas	APR	10	C	M
APR 315	Amazon	Amazonas	APR	10	C	F
APR 331	Amazon	Amazonas	APR	14	A	F
