ID	Latitude	Wing.length..mm.
APR 068	-3.028	2.667
APR 069	-3.028	2.666
APR 072	-3.028	2.693
APR 074	-3.028	2.61
APR 080	-3.028	2.468
APR 081	-3.028	2.455
APR 082	-3.028	2.641
APR 087	-3.028	2.631
APR 097	-3.028	2.78
APR 100	-3.028	2.764
APR 102	-3.028	2.705
APR 105	-3.028	2.731
APR 106	-3.028	2.712
APR 112	-3.028	2.763
APR 116	-3.028	2.55
APR 122	-3.028	2.66
APR 128	-3.028	2.78
APR 130	-3.028	2.526
APR 132	-3.028	2.619
APR 142	-3.028	2.632
APR 143	-3.028	2.858
APR 144	-3.028	2.821
APR 146	-3.028	2.646
APR 153	-3.028	2.836
APR 157	-3.028	2.852
APR 159	-3.028	2.646
APR 163	-3.028	2.546
APR 172	-3.028	2.806
APR 175	-3.028	2.402
APR 178	-3.028	2.483
APR 186	-3.028	2.491
APR 189	-3.028	2.692
APR 192	-3.028	2.828
APR 197	-3.028	2.863
APR 203	-3.028	2.814
APR 208	-3.028	2.755
APR 209	-3.028	2.672
APR 231	-3.028	2.52
APR 235	-3.028	2.565
APR 239	-3.028	2.789
APR 243	-3.028	2.861
APR 244	-3.028	2.764
APR 248	-3.028	2.828
APR 253	-3.028	2.607
APR 254	-3.028	2.487
APR 256	-3.028	2.576
APR 259	-3.028	2.388
APR 261	-3.028	2.3
APR 262	-3.028	2.534
APR 263	-3.028	2.568
APR 265	-3.028	2.444
APR 266	-3.028	2.519
APR 280	-3.028	2.691
APR 285	-3.028	2.753
APR 291	-3.028	2.583
APR 293	-3.028	2.808
APR 295	-3.028	2.511
APR 297	-3.028	2.775
APR 308	-3.028	2.86
APR 312	-3.028	2.694
APR 315	-3.028	2.256
APR 331	-3.028	2.668
APR 332	-3.028	2.625
APR 333	-3.028	2.935
APR 353	-3.028	2.811
APR 359	-3.028	2.516
APR 363	-3.028	2.47
APR 370	-3.028	2.701
APR 378	-3.028	2.758
APR 382	-3.028	2.813
APR 388	-3.028	2.759
APR 392	-3.028	2.488
APR 399	-3.028	2.45
APR 400	-3.028	2.447
APR 402	-3.028	2.461
APR 407	-3.028	2.418
APR 415	-3.028	2.682
APR 418	-3.028	2.892
APR 419	-3.028	2.65
APR 421	-3.028	2.706
APR 426	-3.028	2.586
APR 433	-3.028	2.659
APR 439	-3.028	2.602
APR 447	-3.028	2.415
APR 450	-3.028	2.4563
APR 452	-3.028	2.648
APR 457	-3.028	2.433
APR 464	-3.028	2.803
APR 472	-3.028	2.72
APR 474	-3.028	2.566
APR 475	-3.028	2.535
APR 477	-3.028	2.604
APR 478	-3.028	2.477
APR 480	-3.028	2.601
APR 483	-3.028	2.68
APR 492	-3.028	2.55
APR 496	-3.028	2.458
APR 500	-3.028	2.384
APR 501	-3.028	2.402
APR 504	-3.028	2.792
APR 506	-3.028	2.719
APR 509	-3.028	2.926
APR 515	-3.028	2.845
APR 523	-3.028	2.526
APR 527	-3.028	2.771
APR 531	-3.028	2.51
APR 534	-3.028	2.592
APR 542	-3.028	2.801
APR 544	-3.028	2.646
APR 546	-3.028	2.46
APR 562	-3.028	2.705
APR 567	-3.028	2.459
APR 569	-3.028	2.397
APR 571	-3.028	2.572
APR 573	-3.028	2.723
APR 575	-3.028	2.529
APR 585	-3.028	2.626
APR 589	-3.028	2.514
APR 591	-3.028	2.426
APR 593	-3.028	2.554
APR 605	-3.028	2.685
APR 606	-3.028	2.827
APR 624	-3.028	2.327
APR 627	-3.028	2.673
APR 631	-3.028	2.506
APR 639	-3.028	2.766
APR 641	-3.028	2.646
APR 643	-3.028	2.979
APR 657	-3.028	2.66
APR 664	-3.028	2.643
APR 670	-3.028	2.547
APR 675	-3.028	2.759
APR 677	-3.028	2.82
APR 677	-3.028	2.82
APR 678	-3.028	2.898
APR 702	-3.028	2.831
APR 709	-3.028	2.319
APR 712	-3.028	2.766
APR 714	-3.028	2.443
ARS 023	-2.864	2.758
ARS 024	-2.864	2.671
