ID,Biome,State,Latitude,Lat_group,Locality,Lat_grouple,Family,Fam_new,Temp_let,Temp_num,Sex,Sex1,Wing.length..mm.,sLL,Emtime,AdRate,LarvRate,Puplen,Puprate,AL,growth,log_sLL,log_Emtime,log_AL,log_growth,GrpB,GrpL,Temp_fac,abs_Lat,Pop
RPV 095,Amazon,Rondonia,-8.742,2,RPV,Mid latitude,11,R16,A,20,M,1,2.892,17,20,0.05,0.058823529,3,0.333333333,6,0.062467547,2.833213344,2.995732274,1.791759469,2.7731081,20 Amazon,20 Mid latitude,20,8.742,Amazon Mid latitude
RPV 096,Amazon,Rondonia,-8.742,2,RPV,Mid latitude,11,R16,A,20,F,0,2.904,19,22,0.045454545,0.052631579,3,0.333333333,5,0.056109952,2.944438979,3.091042453,1.609437912,2.880442076,20 Amazon,20 Mid latitude,20,8.742,Amazon Mid latitude
RPV 097,Amazon,Rondonia,-8.742,2,RPV,Mid latitude,11,R16,A,20,F,0,NA,20,24,0.041666667,0.05,4,0.25,0,NA,2.995732274,3.17805383,0,NA,20 Amazon,20 Mid latitude,20,8.742,Amazon Mid latitude
RPV 100,Amazon,Rondonia,-8.742,2,RPV,Mid latitude,11,R16,A,20,M,1,2.922,17,20,0.05,0.058823529,3,0.333333333,5,0.063074607,2.833213344,2.995732274,1.609437912,2.76343702,20 Amazon,20 Mid latitude,20,8.742,Amazon Mid latitude
RPV 101,Amazon,Rondonia,-8.742,2,RPV,Mid latitude,11,R16,A,20,M,1,2.919,18,22,0.045454545,0.055555556,4,0.25,5,0.059513394,2.890371758,3.091042453,1.609437912,2.821553883,20 Amazon,20 Mid latitude,20,8.742,Amazon Mid latitude
RPV 102,Amazon,Rondonia,-8.742,2,RPV,Mid latitude,11,R16,A,20,F,0,2.967,19,22,0.045454545,0.052631579,3,0.333333333,5,0.057239544,2.944438979,3.091042453,1.609437912,2.860510286,20 Amazon,20 Mid latitude,20,8.742,Amazon Mid latitude
RPV 103,Amazon,Rondonia,-8.742,2,RPV,Mid latitude,11,R16,A,20,F,0,2.865,21,24,0.041666667,0.047619048,3,0.333333333,4,0.050122302,3.044522438,3.17805383,1.386294361,2.993289212,20 Amazon,20 Mid latitude,20,8.742,Amazon Mid latitude
RPV 105,Amazon,Rondonia,-8.742,2,RPV,Mid latitude,11,R16,A,20,M,1,2.854,17,20,0.05,0.058823529,3,0.333333333,5,0.061689501,2.833213344,2.995732274,1.609437912,2.785641523,20 Amazon,20 Mid latitude,20,8.742,Amazon Mid latitude
RPV 106,Amazon,Rondonia,-8.742,2,RPV,Mid latitude,11,R16,A,20,M,1,2.88,19,22,0.045454545,0.052631579,3,0.333333333,5,0.055673173,2.944438979,3.091042453,1.609437912,2.888256875,20 Amazon,20 Mid latitude,20,8.742,Amazon Mid latitude
RPV 108,Amazon,Rondonia,-8.742,2,RPV,Mid latitude,11,R16,A,20,M,1,2.944,21,24,0.041666667,0.047619048,3,0.333333333,4,0.051417581,3.044522438,3.17805383,1.386294361,2.967775122,20 Amazon,20 Mid latitude,20,8.742,Amazon Mid latitude
