State,Locality,Weather_station,Month_2016,Temp,Lat,Long,Lat_weather,Long_weather
AM,APR,Manaus:WMO82331,1,29.274783,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82332,4,27.744138,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82333,5,28,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82334,6,28,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82335,7,28.710667,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82336,8,29.409032,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82337,9,28.491333,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82338,10,30,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82339,11,29.19,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82340,12,27,-3.028,-59.89878,-3.1,-60.01
AM,ARS,Itacoatiara:WMO82336,1,28.965714,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82337,2,27.879286,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82338,3,27.522667,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82339,4,27.806897,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82340,5,27.940645,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82341,6,28,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82342,7,28.361379,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82343,8,28.748667,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82344,9,28.702069,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82345,10,28.723226,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82346,11,28.642143,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82346,12,27.242857,-2.864,-59.42608,-3.13,-58.43
RJ,SJU,Cordeiro:WMO83718,1,23.969677,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83719,2,25,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83720,3,23.953548,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83721,4,23.134286,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83722,5,19.462581,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83723,6,17.06,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83724,7,18.021429,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83725,8,18,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83726,9,21,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83727,11,21.711538,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83728,12,23,-22.611,-42.3234,-22.02,-42.36
TO,TLC,Palmas:OMM83033,1,26.318667,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83034,2,28.8,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83035,3,27.504667,-10.5894,-49.6854883,-10.19,-48.3
