State,Locality,Weather_station,Month_2016,Temp,Lat,Long,Lat_weather,Long_weather
AM,APR,Manaus:WMO82337,9,28.491333,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82338,10,30,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82339,11,29.19,-3.028,-59.89878,-3.1,-60.01
AM,ARS,Itacoatiara:WMO82344,9,28.702069,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82345,10,28.723226,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82346,11,28.642143,-2.864,-59.42608,-3.13,-58.43
RJ,SJU,Cordeiro:WMO83721,4,23.134286,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83722,5,19.462581,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83723,6,17.06,-22.611,-42.3234,-22.02,-42.36
TO,TLC,Palmas:OMM83034,2,28.8,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83035,3,27.504667,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83036,4,28.466667,-10.5894,-49.6854883,-10.19,-48.3
TO,TPN,Portonacional:OMM83065,2,29.252593,-11.001,-48.549,-10.71,-48.41
TO,TPN,Portonacional:OMM83066,3,27.802143,-11.001,-48.549,-10.71,-48.41
TO,TPN,Portonacional:OMM83067,4,29.117333,-11.001,-48.549,-10.71,-48.41
RO,RPV,UsinaSantoAntonio,6,25.38666667,-8.742,-63.93629,-8.79896,-63.9513
RO,RPV,UsinaSantoAntonio,7,26.44516129,-8.742,-63.93629,-8.79896,-63.9513
RO,RPV,UsinaSantoAntonio,8,26.71290323,-8.742,-63.93629,-8.79896,-63.9513
RO,RMO,Calama,6,25.1,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,7,25.44666667,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,8,26.37666667,-9.223,-62.2536,-8.0244,-62.86664
