State,Locality,Weather_station,Year,Annual_mean_temp,X._mon,Lat,Long,Lat_weather,Long_weather
AM,APR,Manaus:WMO82331,2006,27.28049817,12,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82332,2007,27.09283425,12,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82333,2008,26.67506692,12,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82334,2009,27.69913242,12,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82335,2010,27.860077,12,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82336,2011,27.76537067,12,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82337,2012,27.81638291,12,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82338,2013,27.65481127,12,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82339,2014,27.83810636,12,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82340,2015,27.93804827,12,-3.028,-59.89878,-3.1,-60.01
AM,APR,Manaus:WMO82341,2016,29.22011064,12,-3.028,-59.89878,-3.1,-60.01
AM,ARS,Itacoatiara:WMO82336,2006,27.003682,12,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82337,2007,27.28273708,12,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82338,2008,26.8598855,12,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82339,2009,27.89963292,12,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82340,2010,28.03676917,12,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82341,2011,27.46309167,12,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82342,2012,27.63387645,12,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82343,2013,27.48749209,12,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82344,2014,27.67740545,12,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82345,2015,27.784664,12,-2.864,-59.42608,-3.13,-58.43
AM,ARS,Itacoatiara:WMO82346,2016,28.603857,12,-2.864,-59.42608,-3.13,-58.43
RO,RPV,UsinaSantoAntonio,2010,23.22139784,7,-8.742,-63.93629,-8.79896,-63.9513
RO,RPV,UsinaSantoAntonio,2011,25.7768399,12,-8.742,-63.93629,-8.79896,-63.9513
RO,RPV,UsinaSantoAntonio,2012,26.04319831,12,-8.742,-63.93629,-8.79896,-63.9513
RO,RPV,UsinaSantoAntonio,2013,25.87829856,12,-8.742,-63.93629,-8.79896,-63.9513
RO,RPV,UsinaSantoAntonio,2014,25.9419229,12,-8.742,-63.93629,-8.79896,-63.9513
RO,RPV,UsinaSantoAntonio,2015,26.59115956,12,-8.742,-63.93629,-8.79896,-63.9513
RO,RPV,UsinaSantoAntonio,2016,26.44871174,12,-8.742,-63.93629,-8.79896,-63.9513
RO,RMO,Calama,2010,22.81754525,7,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,2011,25.94622398,12,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,2012,25.85448728,12,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,2013,25.91116357,12,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,2014,25.94215524,12,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,2015,26.52910685,12,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,2016,26.22538054,12,-9.223,-62.2536,-8.0244,-62.86664
TO,TPN,Portonacional:OMM83064,2006,27.00907733,12,-11.001,-48.549,-10.71,-48.41
TO,TPN,Portonacional:OMM83065,2007,27.47664133,12,-11.001,-48.549,-10.71,-48.41
TO,TPN,Portonacional:OMM83066,2008,27.60813129,7,-11.001,-48.549,-10.71,-48.41
TO,TPN,Portonacional:OMM83067,2009,27.64775583,6,-11.001,-48.549,-10.71,-48.41
TO,TPN,Portonacional:OMM83068,2010,27.94445408,12,-11.001,-48.549,-10.71,-48.41
TO,TPN,Portonacional:OMM83069,2011,26.53905329,7,-11.001,-48.549,-10.71,-48.41
TO,TPN,Portonacional:OMM83071,2013,27.95555771,7,-11.001,-48.549,-10.71,-48.41
TO,TPN,Portonacional:OMM83072,2014,26.21216825,4,-11.001,-48.549,-10.71,-48.41
TO,TPN,Portonacional:OMM83073,2015,28.574286,1,-11.001,-48.549,-10.71,-48.41
TO,TPN,Portonacional:OMM83074,2016,28.43872875,12,-11.001,-48.549,-10.71,-48.41
TO,TLC,Palmas:OMM83033,2006,26.78401442,12,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83034,2007,27.42842375,12,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83035,2008,27.06508592,12,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83036,2009,26.92197017,12,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83037,2010,27.92182975,12,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83038,2011,26.98491692,12,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83039,2012,27.25199736,12,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83040,2013,27.683551,12,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83041,2014,27.04958045,12,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83042,2015,27.31511436,12,-10.5894,-49.6854883,-10.19,-48.3
TO,TLC,Palmas:OMM83043,2016,28.40549382,12,-10.5894,-49.6854883,-10.19,-48.3
RJ,SJU,Cordeiro:WMO83718,2006,20.95847992,12,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83719,2007,21.13240708,12,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83720,2008,20.54471917,12,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83721,2009,21.45397442,12,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83722,2010,21.1490635,12,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83723,2011,20.61905317,12,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83724,2012,21.25763018,12,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83725,2013,20.98863645,12,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83726,2014,21.44949218,12,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83727,2015,22.27435782,12,-22.611,-42.3234,-22.02,-42.36
RJ,SJU,Cordeiro:WMO83728,2016,21.35249409,12,-22.611,-42.3234,-22.02,-42.36
