"Fam_new","Biome","State","Locality","Latitude","mean.Emtime","sd.Emtime","N.Emtime","se.Emtime","estimate.(Intercept)","std.error.(Intercept)","statistic.(Intercept)","p.value.(Intercept)","estimate.Temp_num","std.error.Temp_num","statistic.Temp_num","p.value.Temp_num","K","tb","T","tc","NG"
"A1","Amazon","Amazonas","APR",-3.028,18.6216216216216,2.95664366161053,37,0.486069223791575,0.00563911341531645,0.00653523389397189,0.862878591157691,0.394078579984109,0.00207539689018893,0.000272301412248829,7.62168977769544,6.13423617874789e-09,481.835549011046,-2.71712530840456,365,27.71,23.0491518534949
"A10","Amazon","Amazonas","APR",-3.028,19.1818181818182,3.3209048602616,33,0.578095333726223,-0.00782504539850755,0.00520547316283493,-1.50323422169868,0.142898714715076,0.00260494637110097,0.000218091257740934,11.9442952371586,3.91883584487149e-13,383.885062316025,3.0039180404318,365,27.71,23.4906767688156
"A11","Amazon","Amazonas","APR",-3.028,17.3076923076923,2.94827198411335,39,0.472101349731333,-0.00114035961583793,0.00554614271458335,-0.205613103470887,0.838220257921854,0.0025295924725581,0.000230026794699171,10.9969470116136,3.23232106804821e-13,395.320594462684,0.450807641234289,365,27.71,25.1684464465427
"A12","Amazon","Amazonas","APR",-3.028,17.625,2.46709109307672,40,0.390081352461844,0.0145353398380201,0.00772652331016207,1.8812264267556,0.0676193148349874,0.00179868524732309,0.000317880491499922,5.65836940428769,1.67502504494042e-06,555.961640030271,-8.08109137474297,365,27.71,23.4975714350902
"A13","Amazon","Amazonas","APR",-3.028,18.475,4.03819901466623,40,0.638495326569648,-0.01364498270463,0.00881470502986248,-1.5479795022526,0.129916191416729,0.00292858725165007,0.000364007894901028,8.04539487377419,9.93327905680395e-10,341.461569716445,4.65923721307669,365,27.71,24.6397520640866
"A14","Amazon","Amazonas","APR",-3.028,18.7567567567568,2.46537584925262,37,0.405305292944216,0.0186531354608727,0.00623445729498073,2.99194213358235,0.00505365038381745,0.00145336697786085,0.000253020652424408,5.74406462055527,1.67896410817742e-06,688.057466030951,-12.8344291187401,365,27.71,21.5079660623499
"A15","Amazon","Amazonas","APR",-3.028,19.09375,3.1862545004967,32,0.563255540971843,0.00147971522611947,0.00598673868468354,0.247165494279075,0.806463847780678,0.0022617324577384,0.000256326155940838,8.82365067051691,7.7544562404428e-10,442.138943789993,-0.654239727186433,365,27.71,23.4155973949684
"A16","Amazon","Amazonas","ARS",-2.864,16.1315789473684,2.83959506659797,38,0.460643147139425,0.00465729135323653,0.0103460945178011,0.450149700954631,0.655301682066045,0.00242468377508268,0.00042017189807068,5.77069477091686,1.40747259736185e-06,412.424915065842,-1.92078299079545,365,27.61,26.1350257898933
"A17","Amazon","Amazonas","ARS",-2.864,18.3846153846154,3.56603409830632,39,0.57102245656778,-0.00266986316448114,0.00847209776932928,-0.315136019103391,0.754428891436039,0.00247860175840268,0.000353004073722054,7.0214536967476,2.65420462645696e-08,403.453276271556,1.07716504090666,365,27.61,24.0039809555311
"A18","Amazon","Amazonas","ARS",-2.864,17.5675675675676,3.12285962736916,37,0.513394960236275,-0.00647610184227719,0.0068516316187267,-0.945191189873209,0.35104113724688,0.0027688188300103,0.000287871869195487,9.61823340970513,2.32426106114881e-11,361.16483648599,2.33894026293266,365,27.61,25.5394099098221
"A19","Amazon","Amazonas","ARS",-2.864,17.7073170731707,3.22679331875334,41,0.50394045142673,-0.00875450808265206,0.00760607306259786,-1.15098921751114,0.256744737853355,0.00281131093564786,0.000315321517643969,8.91569645057374,5.94625782333765e-11,355.705940356808,3.11403052990103,365,27.61,25.1360122004637
"A2","Amazon","Amazonas","APR",-3.028,19.8,2.98027704786842,40,0.471223176479343,0.00375437836798958,0.00553254953659879,0.67859823814567,0.501504536341717,0.00200560618998741,0.000229331556580215,8.74544358349521,1.23412736384018e-10,498.602370192265,-1.87194195287817,365,27.71,21.6553499507773
"A20","Amazon","Amazonas","ARS",-2.864,16.975,3.29325262020891,40,0.52070895950888,-0.00334935932981581,0.00835737906668604,-0.400766712038579,0.69083641974599,0.0026938742420801,0.000346424507835907,7.77622304757987,2.24714341400412e-09,371.212577179491,1.2433243087211,365,27.61,25.9254056003157
"A21","Amazon","Amazonas","ARS",-2.864,16.8461538461538,2.8427049899557,39,0.455197101854115,0.00771101902611618,0.00849847569573295,0.907341422413886,0.370098053125259,0.00220959124254692,0.000349527506297009,6.32165195224817,2.30629512254155e-07,452.57239472371,-3.48979434640949,365,27.61,25.0820091299854
