ID,Biome,Latitude,Locality ,Length.mm,13 CS,18 CS
APR 001,Amazon,-3.028,APR,2.75,,
APR 002,Amazon,-3.028,APR,2.86,,
APR 003,Amazon,-3.028,APR,3.17,,
APR 004,Amazon,-3.028,APR,3.09,,
APR 005,Amazon,-3.028,APR,3.05,,
APR 006,Amazon,-3.028,APR,3.09,,
APR 007,Amazon,-3.028,APR,3.23,,
APR 008,Amazon,-3.028,APR,3.02,,
APR 009,Amazon,-3.028,APR,2.83,,
APR 011,Amazon,-3.028,APR,3.3015,,
APR 012,Amazon,-3.028,APR,3.2671,,
APR 013,Amazon,-3.028,APR,2.7664,,
APR 014,Amazon,-3.028,APR,2.8524,,
APR 015,Amazon,-3.028,APR,2.7277,,
APR 016,Amazon,-3.028,APR,3.0582,,
APR 017,Amazon,-3.028,APR,2.8027,,
APR 018,Amazon,-3.028,APR,2.856,,
APR 019,Amazon,-3.028,APR,3.0202,,
APR 020,Amazon,-3.028,APR,2.7602,,
APR 021,Amazon,-3.028,APR,2.7161,,
APR 022,Amazon,-3.028,APR,2.811,,
APR 023,Amazon,-3.028,APR,3.0402,,
APR 024,Amazon,-3.028,APR,3.2703,,
APR 025,Amazon,-3.028,APR,2.8941,,
APR 026,Amazon,-3.028,APR,3.0713,,
APR 027,Amazon,-3.028,APR,3.1689,,
APR 028,Amazon,-3.028,APR,3.02,,
APR 029,Amazon,-3.028,APR,3.0208,,
APR 030,Amazon,-3.028,APR,2.8665,,
APR 031,Amazon,-3.028,APR,3.0515,,
APR 032,Amazon,-3.028,APR,3.028,,
APR 033,Amazon,-3.028,APR,2.8336,,
APR 034,Amazon,-3.028,APR,2.8192,,
APR 035,Amazon,-3.028,APR,2.8672,,
APR 036,Amazon,-3.028,APR,3.309,,
APR 037,Amazon,-3.028,APR,2.8517,,
APR 038,Amazon,-3.028,APR,2.9886,,
APR 039,Amazon,-3.028,APR,3.0091,,
APR 040,Amazon,-3.028,APR,2.791,,
APR 041,Amazon,-3.028,APR,3.3794,,
APR 043,Amazon,-3.028,APR,2.734,,
APR 044,Amazon,-3.028,APR,3.0643,,
APR 045,Amazon,-3.028,APR,2.7603,,
APR 046,Amazon,-3.028,APR,2.8718,,
APR 047,Amazon,-3.028,APR,2.9877,,
APR 048,Amazon,-3.028,APR,2.9645,,
APR 049,Amazon,-3.028,APR,3.2936,,
APR 050,Amazon,-3.028,APR,2.7205,,
APR 052,Amazon,-3.028,APR,2.7967,,
APR 053,Amazon,-3.028,APR,3.102,,
ARS 002,Amazon,-2.864,ARS,2.5121,,
ARS 003,Amazon,-2.864,ARS,3.0057,,
ARS 004,Amazon,-2.864,ARS,3.0195,,
ARS 005,Amazon,-2.864,ARS,2.9067,,
ARS 006,Amazon,-2.864,ARS,2.8672,,
ARS 007,Amazon,-2.864,ARS,2.9336,,
ARS 008,Amazon,-2.864,ARS,3.0717,,
ARS 009,Amazon,-2.864,ARS,3.1999,,
ARS 010,Amazon,-2.864,ARS,3.2727,,
ARS 011,Amazon,-2.864,ARS,3.0073,,
ARS 012,Amazon,-2.864,ARS,2.887,,
ARS 013,Amazon,-2.864,ARS,2.8932,,
ARS 014,Amazon,-2.864,ARS,2.9779,,
ARS 016,Amazon,-2.864,ARS,2.8353,,
ARS 017,Amazon,-2.864,ARS,2.9487,,
ARS 019,Amazon,-2.864,ARS,2.4947,,
ARS 020,Amazon,-2.864,ARS,2.8733,,
RMO 001,Amazon,-9.223,RMO,2.7333,,
RMO 002,Amazon,-9.223,RMO,2.8968,,
RMO 003,Amazon,-9.223,RMO,2.9909,,
RMO 004,Amazon,-9.223,RMO,2.9065,,
RMO 005,Amazon,-9.223,RMO,3.2766,,
RMO 006,Amazon,-9.223,RMO,3.2156,,
RMO 007,Amazon,-9.223,RMO,2.9575,,
RMO 008,Amazon,-9.223,RMO,3.2347,,
RMO 009,Amazon,-9.223,RMO,3.1294,,
RMO 010,Amazon,-9.223,RMO,2.9108,,
RMO 011,Amazon,-9.223,RMO,3.248,,
RMO 012,Amazon,-9.223,RMO,2.9569,,
RMO 013,Amazon,-9.223,RMO,3.214,,
RMO 014,Amazon,-9.223,RMO,2.8753,,
RMO 015,Amazon,-9.223,RMO,3.0817,,
RMO 016,Amazon,-9.223,RMO,2.5963,,
RMO 017,Amazon,-9.223,RMO,2.9852,,
RMO 018,Amazon,-9.223,RMO,3.1777,,
RMO 019,Amazon,-9.223,RMO,2.8765,,
RMO 020,Amazon,-9.223,RMO,3.1087,,
RMO 021,Amazon,-9.223,RMO,3.1119,,
RMO 022,Amazon,-9.223,RMO,2.5603,,
RMO 023,Amazon,-9.223,RMO,3.0481,,
RMO 024,Amazon,-9.223,RMO,3.1029,,
RMO 025,Amazon,-9.223,RMO,3.1657,,
RMO 026,Amazon,-9.223,RMO,2.9671,,
RMO 027,Amazon,-9.223,RMO,3.253,,
RMO 028,Amazon,-9.223,RMO,3.099,,
RMO 029,Amazon,-9.223,RMO,3.0714,,
RMO 030,Amazon,-9.223,RMO,3.169,,
RMO 031,Amazon,-9.223,RMO,2.8769,,
RMO 032,Amazon,-9.223,RMO,3.2487,,
RMO 033,Amazon,-9.223,RMO,2.7693,,
RMO 034,Amazon,-9.223,RMO,3.1764,,
RMO 035,Amazon,-9.223,RMO,3.0099,,
RMO 036,Amazon,-9.223,RMO,3.0141,,
RMO 037,Amazon,-9.223,RMO,3.156,,
RMO 038,Amazon,-9.223,RMO,2.8494,,
RMO 039,Amazon,-9.223,RMO,2.8314,,
RMO 040,Amazon,-9.223,RMO,2.9244,,
RMO 041,Amazon,-9.223,RMO,2.8579,,
RMO 042,Amazon,-9.223,RMO,3.2487,,
RMO 043,Amazon,-9.223,RMO,2.7731,,
RMO 044,Amazon,-9.223,RMO,3.1246,,
RMO 045,Amazon,-9.223,RMO,3.1466,,
RPV 001,Amazon,-8.742,RPV,2.6333,,
RPV 002,Amazon,-8.742,RPV,3.1247,,
RPV 003,Amazon,-8.742,RPV,3.2397,,
RPV 004,Amazon,-8.742,RPV,2.8935,,
RPV 005,Amazon,-8.742,RPV,2.9023,,
RPV 006,Amazon,-8.742,RPV,2.9291,,
RPV 007,Amazon,-8.742,RPV,2.8655,,
RPV 008,Amazon,-8.742,RPV,3.0936,,
RPV 009,Amazon,-8.742,RPV,2.978,,
RPV 010,Amazon,-8.742,RPV,2.8886,,
RPV 011,Amazon,-8.742,RPV,2.9577,,
RPV 012,Amazon,-8.742,RPV,2.9869,,
RPV 014,Amazon,-8.742,RPV,3.0855,,
RPV 015,Amazon,-8.742,RPV,3.0409,,
RPV 016,Amazon,-8.742,RPV,2.5153,,
RPV 017,Amazon,-8.742,RPV,2.8236,,
RPV 018,Amazon,-8.742,RPV,3.0539,,
RPV 019,Amazon,-8.742,RPV,2.9977,,
RPV 020,Amazon,-8.742,RPV,2.52,,
RPV 021,Amazon,-8.742,RPV,3.08,,
RPV 022,Amazon,-8.742,RPV,3.0086,,
RPV 023,Amazon,-8.742,RPV,3.1525,,
RPV 024,Amazon,-8.742,RPV,3.1929,,
RPV 025,Amazon,-8.742,RPV,3.1198,,
RPV 026,Amazon,-8.742,RPV,2.9795,,
RPV 027,Amazon,-8.742,RPV,3.0598,,
RPV 028,Amazon,-8.742,RPV,3.0264,,
RPV 030,Amazon,-8.742,RPV,3.0664,,
RPV 031,Amazon,-8.742,RPV,2.7333,,
RPV 032,Amazon,-8.742,RPV,2.7956,,
RPV 033,Amazon,-8.742,RPV,2.8132,,
RPV 034,Amazon,-8.742,RPV,2.8021,,
RPV 035,Amazon,-8.742,RPV,2.9361,,
RPV 036,Amazon,-8.742,RPV,2.8087,,
RPV 037,Amazon,-8.742,RPV,3.1236,,
RPV 038,Amazon,-8.742,RPV,2.9747,,
RPV 039,Amazon,-8.742,RPV,2.8917,,
RPV 040,Amazon,-8.742,RPV,2.9977,,
RPV 041,Amazon,-8.742,RPV,2.6988,,
RPV 042,Amazon,-8.742,RPV,2.6089,,
RPV 043,Amazon,-8.742,RPV,3.0003,,
RPV 044,Amazon,-8.742,RPV,3.0578,,
RPV 045,Amazon,-8.742,RPV,3.1467,,
RPV 046,Amazon,-8.742,RPV,2.7642,,
RPV 047,Amazon,-8.742,RPV,3.298,,
RPV 048,Amazon,-8.742,RPV,3.1064,,
RPV 049,Amazon,-8.742,RPV,2.9792,,
SJU 001,Mata Atlantica,-22.611,SJU,3.6804,,
SJU 002,Mata Atlantica,-22.611,SJU,3.6146,,
SJU 003,Mata Atlantica,-22.611,SJU,3.4619,,
SJU 004,Mata Atlantica,-22.611,SJU,3.3735,,
SJU 005,Mata Atlantica,-22.611,SJU,3.4466,,
SJU 006,Mata Atlantica,-22.611,SJU,3.4335,,
SJU 009,Mata Atlantica,-22.611,SJU,3.5691,,
SJU 010,Mata Atlantica,-22.611,SJU,3.4576,,
SJU 011,Mata Atlantica,-22.611,SJU,3.5032,,
SJU 012,Mata Atlantica,-22.611,SJU,3.3777,,
SJU 013,Mata Atlantica,-22.611,SJU,3.5775,,
TLC 001,Cerrado,-10.7,TLC,2.7127,,
TLC 002,Cerrado,-10.7,TLC,3.4295,,
TLC 003,Cerrado,-10.7,TLC,3.1484,,
TLC 004,Cerrado,-10.7,TLC,3.2974,,
TLC 006,Cerrado,-10.7,TLC,3.0158,,
TLC 007,Cerrado,-10.7,TLC,3.1718,,
TLC 008,Cerrado,-10.7,TLC,3.0308,,
TLC 010,Cerrado,-10.7,TLC,3.0458,,
TLC 012,Cerrado,-10.7,TLC,3.2797,,
TLC 013,Cerrado,-10.7,TLC,2.6502,,
TLC 014,Cerrado,-10.7,TLC,2.809,,
TLC 017,Cerrado,-10.7,TLC,2.8788,,
TLC 018,Cerrado,-10.7,TLC,3.1109,,
TLC 022,Cerrado,-10.7,TLC,3.3062,,
TLC 023,Cerrado,-10.7,TLC,3.0711,,
TLC 024,Cerrado,-10.7,TLC,2.9739,,
TLC 025,Cerrado,-10.7,TLC,3.1437,,
TLC 026,Cerrado,-10.7,TLC,3.251,,
TLC 027,Cerrado,-10.7,TLC,3.1005,,
TLC 028,Cerrado,-10.7,TLC,3.2312,,
TLC 029,Cerrado,-10.7,TLC,3.1343,,
TLC 033,Cerrado,-10.7,TLC,3.1554,,
TLC 035,Cerrado,-10.7,TLC,3.3035,,
TLC 036,Cerrado,-10.7,TLC,2.7652,,
TLC 037,Cerrado,-10.7,TLC,3.0995,,
TLC 038,Cerrado,-10.7,TLC,2.949,,
TLC 039,Cerrado,-10.7,TLC,3.1266,,
TLC 040,Cerrado,-10.7,TLC,3.2706,,
TLC 041,Cerrado,-10.7,TLC,3.0708,,
TLC 043,Cerrado,-10.7,TLC,3.1514,,
TLC 044,Cerrado,-10.7,TLC,3.0644,,
TLC 046,Cerrado,-10.7,TLC,3.1791,,
TLC 047,Cerrado,-10.7,TLC,3.0887,,
TLC 048,Cerrado,-10.7,TLC,2.9311,,
TLC 049,Cerrado,-10.7,TLC,3.2156,,
TLC 050,Cerrado,-10.7,TLC,3.2847,,
TLC 052,Cerrado,-10.7,TLC,3.2666,,
TLC 053,Cerrado,-10.7,TLC,2.92,,
TLC 055,Cerrado,-10.7,TLC,3.2117,,
TLC 057,Cerrado,-10.7,TLC,3.1243,,
TLC 058,Cerrado,-10.7,TLC,3.3289,,
TLC 070,Cerrado,-10.7,TLC,3.0691,,
TLC 071,Cerrado,-10.7,TLC,2.6372,,
TLC 073,Cerrado,-10.7,TLC,3.018,,
TLC 074,Cerrado,-10.7,TLC,3.093,,
TLC 075,Cerrado,-10.7,TLC,3.0479,,
TLC 076,Cerrado,-10.7,TLC,3.0098,,
TLC 077,Cerrado,-10.7,TLC,2.9512,,
TLC 078,Cerrado,-10.7,TLC,3.0767,,
TLC 079,Cerrado,-10.7,TLC,3.2936,,
TLC 080,Cerrado,-10.7,TLC,3.0055,,
TLC 081,Cerrado,-10.7,TLC,3.0772,,
TLC 082,Cerrado,-10.7,TLC,3.1472,,
TLC 083,Cerrado,-10.7,TLC,2.9745,,
TPN 001,Cerrado,-10.796,TPN,3.1544,,
TPN 002,Cerrado,-10.796,TPN,3.0363,,
TPN 003,Cerrado,-10.796,TPN,3.16,,
TPN 004,Cerrado,-10.796,TPN,3.127,,
TPN 006,Cerrado,-10.796,TPN,3.0177,,
TPN 007,Cerrado,-10.796,TPN,2.486,,
TPN 008,Cerrado,-10.796,TPN,3.089,,
TPN 009,Cerrado,-10.796,TPN,2.987,,
