Code,Latitude,Family,Temp Num,Well,Sex num f0,Wing.length..mm.,CS 13 from MOG unscaled,CS scaled 13,CS 18 from MOG,CS 18 scaled,,
APR 068,-3.028,2,20,3,0,2.667,862.69,2.81828536,771.95,2.521850704,,306.10456
APR 069,-3.028,2,24,1,1,2.666,861.74,2.815181845,712.08,2.326263941,,
APR 072,-3.028,2,24,1,1,2.693,873.11,2.852326016,719.56,2.350700035,,
APR 074,-3.028,2,24,2,0,2.61,884.93,2.890940272,762.67,2.491534265,,
APR 080,-3.028,2,24,3,1,2.468,798.89,2.609859847,666.92,2.178732653,,
APR 081,-3.028,2,24,3,0,2.455,810.22,2.646873343,714.91,2.335509148,,
APR 082,-3.028,2,24,3,1,2.641,857.52,2.801395706,722.45,2.360141254,,
APR 087,-3.028,2,28,1,0,2.631,868.45,2.837102459,769.97,2.515382326,,
APR 097,-3.028,2,28,3,1,2.78,900.77,2.942687296,764.42,2.497251266,,
APR 100,-3.028,3,20,1,0,2.764,912.25,2.980190821,800.4,2.614792802,,
APR 102,-3.028,3,20,1,0,2.705,902.28,2.947620251,782.94,2.557753468,,
APR 105,-3.028,3,20,2,1,2.731,883.35,2.885778637,724.27,2.366086934,,
APR 106,-3.028,3,20,2,1,2.712,874.27,2.85611557,699.48,2.285101535,,
APR 112,-3.028,3,20,3,1,2.763,899.46,2.938407713,751.29,2.454357426,,
APR 116,-3.028,3,24,1,1,2.55,827.16,2.70221391,683.24,2.232047768,,
APR 122,-3.028,3,24,2,0,2.66,881.5,2.879734951,766.6,2.504373016,,
APR 128,-3.028,3,24,3,1,2.78,900.98,2.943373336,740.75,2.419924747,,
APR 130,-3.028,3,28,1,0,2.526,837.26,2.735209172,741.67,2.422930256,,
APR 132,-3.028,3,28,1,0,2.619,869.41,2.840238643,754.85,2.465987439,,
APR 142,-3.028,3,28,3,1,2.632,850.9,2.779769109,715.54,2.337567268,,
APR 143,-3.028,3,28,3,1,2.858,930.2,3.038830915,773.93,2.528319082,,
APR 144,-3.028,4,20,1,0,2.821,946.49,3.092048024,824.07,2.69211932,,
APR 146,-3.028,4,20,1,0,2.646,880.1,2.87516135,769.16,2.512736171,,
APR 153,-3.028,4,20,2,1,2.836,960.49,3.13778403,787.71,2.573336379,,
APR 157,-3.028,4,20,3,1,2.852,927.67,3.030565765,767.54,2.507443862,,
APR 159,-3.028,4,24,1,1,2.646,858.24,2.803747844,714.9,2.335476479,,
APR 163,-3.028,4,24,1,1,2.546,829.03,2.708322934,684.55,2.236327352,,
APR 172,-3.028,4,24,3,0,2.806,919.94,3.005312956,803.5,2.62492006,,
APR 175,-3.028,4,28,1,0,2.402,792.85,2.590128027,692.64,2.262756229,,
APR 178,-3.028,4,28,1,1,2.483,807.64,2.63844485,678.33,2.216007498,,
APR 186,-3.028,4,28,3,1,2.491,811.32,2.650466886,680.13,2.221887841,,
APR 189,-3.028,7,20,1,1,2.692,877.07,2.865262772,722.36,2.359847237,,
APR 192,-3.028,7,20,1,1,2.828,919.81,3.004888264,746.95,2.440179264,,
APR 197,-3.028,7,20,2,1,2.863,920.8,3.008122453,747.65,2.442466065,,
APR 203,-3.028,7,20,3,0,2.814,929.53,3.03664212,807.33,2.637432125,,
APR 208,-3.028,7,24,1,0,2.755,912.64,2.981464896,803.49,2.624887391,,
APR 209,-3.028,7,24,2,1,2.672,866.09,2.829392675,715.07,2.336031845,,
APR 231,-3.028,7,28,3,1,2.52,825.51,2.696823595,687.56,2.246160593,,
APR 235,-3.028,8,20,1,1,2.565,835.61,2.729818857,680.89,2.224370653,,
APR 239,-3.028,8,20,2,0,2.789,919.23,3.002993487,812.81,2.655334504,,
APR 243,-3.028,8,20,2,1,2.861,935.24,3.055295877,771.84,2.521491349,,
APR 244,-3.028,8,20,3,1,2.764,903.82,2.952651212,753.75,2.462393896,,
APR 248,-3.028,8,20,3,1,2.828,928.42,3.033015908,777.42,2.539720414,,
APR 253,-3.028,8,24,1,0,2.607,870.43,2.843570837,766.78,2.50496105,,
APR 254,-3.028,8,24,2,1,2.487,816.33,2.666833843,676.93,2.211433897,,
APR 256,-3.028,8,24,2,0,2.576,849.29,2.774509468,735.44,2.402577734,,
APR 259,-3.028,8,24,3,0,2.388,795.31,2.598164496,689.97,2.25403372,,
APR 261,-3.028,8,24,3,1,2.3,757.08,2.473272531,625.45,2.043256069,,
APR 262,-3.028,8,24,3,0,2.534,842.27,2.751576128,741.76,2.423224273,,
APR 263,-3.028,8,24,3,1,2.568,839.26,2.741742887,695.19,2.271086716,,
APR 265,-3.028,8,28,1,0,2.444,812.69,2.654942481,709.78,2.318750168,,
APR 266,-3.028,8,28,1,1,2.519,823.09,2.6889178,688.26,2.248447393,,
APR 280,-3.028,10,20,1,0,2.691,889.15,2.904726411,771.85,2.521524018,,
APR 285,-3.028,10,20,2,1,2.753,900.52,2.941870582,729.38,2.382780577,,
APR 291,-3.028,10,20,3,1,2.583,846.4,2.76506825,689.58,2.252759645,,
APR 293,-3.028,10,20,3,1,2.808,910.9,2.975780563,,0,,
APR 295,-3.028,10,24,1,0,2.511,836.73,2.733477737,733.63,2.396664721,,
APR 297,-3.028,10,24,1,0,2.775,922.89,3.014950186,809.45,2.644357863,,
APR 308,-3.028,10,24,3,1,2.86,928.95,3.034747343,770,2.515480331,,
APR 312,-3.028,10,28,1,1,2.694,878.16,2.868823646,734.41,2.39921287,,
APR 315,-3.028,10,28,2,0,2.256,745.36,2.434984961,637.7,2.083275074,,
APR 331,-3.028,14,20,2,0,2.668,886.21,2.89512185,765.71,2.501465512,,
APR 332,-3.028,14,20,2,0,2.625,877.07,2.865262772,759.04,2.479675572,,
APR 333,-3.028,14,20,2,1,2.935,946.75,3.092897407,773.7,2.527567704,,
APR 353,-3.028,14,24,3,0,2.811,930.02,3.03824288,810.12,2.646546657,,
APR 359,-3.028,14,28,2,0,2.516,836.71,2.7334124,729.36,2.38271524,,
APR 363,-3.028,14,28,2,0,2.47,817.6,2.670982752,710.52,2.321167643,,
APR 370,-3.028,19,20,1,1,2.701,870.4,2.843472832,730.93,2.387844206,,
APR 378,-3.028,19,20,2,0,2.758,921.36,3.009951894,812.72,2.655040487,,
APR 382,-3.028,19,20,3,1,2.813,915.14,2.989632039,770.7,2.517767132,,
APR 388,-3.028,19,24,1,0,2.759,915.75,2.991624823,823.72,2.69097592,,
APR 392,-3.028,19,24,2,0,2.488,823.43,2.690028531,714.14,2.332993667,,
APR 399,-3.028,19,28,1,0,2.45,815.1,2.662815608,713.71,2.331588919,,
APR 400,-3.028,19,28,1,1,2.447,803.85,2.62606346,675.36,2.206304931,,
APR 402,-3.028,19,28,1,1,2.461,805.6,2.631780461,698.61,2.282259369,,
APR 407,-3.028,19,28,2,1,2.418,794.75,2.596335056,663.51,2.167592668,,
APR 415,-3.028,18,20,1,0,2.682,886.89,2.897343313,775.16,2.532337316,,
APR 418,-3.028,18,20,1,1,2.892,938.62,3.066337855,781.49,2.553016525,,
