Code,Latitude,Locality,Family,Temp Num,Well,Sex,Sex num f0,Wing.length..mm.,CS 13 from MOG unscaled,CS scaled 13
APR 068,-3.028,APR,2,20,3,F,0,2.667,862.69,2.81828536
APR 069,-3.028,APR,2,24,1,M,1,2.666,861.74,2.815181845
APR 072,-3.028,APR,2,24,1,M,1,2.693,873.11,2.852326016
APR 074,-3.028,APR,2,24,2,F,0,2.61,884.93,2.890940272
APR 080,-3.028,APR,2,24,3,M,1,2.468,798.89,2.609859847
APR 081,-3.028,APR,2,24,3,F,0,2.455,810.22,2.646873343
APR 082,-3.028,APR,2,24,3,M,1,2.641,857.52,2.801395706
APR 087,-3.028,APR,2,28,1,F,0,2.631,868.45,2.837102459
APR 097,-3.028,APR,2,28,3,M,1,2.78,900.77,2.942687296
APR 100,-3.028,APR,3,20,1,F,0,2.764,912.25,2.980190821
APR 102,-3.028,APR,3,20,1,F,0,2.705,902.28,2.947620251
APR 105,-3.028,APR,3,20,2,M,1,2.731,883.35,2.885778637
APR 106,-3.028,APR,3,20,2,M,1,2.712,874.27,2.85611557
APR 112,-3.028,APR,3,20,3,M,1,2.763,899.46,2.938407713
APR 116,-3.028,APR,3,24,1,M,1,2.55,827.16,2.70221391
APR 122,-3.028,APR,3,24,2,F,0,2.66,881.5,2.879734951
APR 128,-3.028,APR,3,24,3,M,1,2.78,900.98,2.943373336
APR 130,-3.028,APR,3,28,1,F,0,2.526,837.26,2.735209172
APR 132,-3.028,APR,3,28,1,F,0,2.619,869.41,2.840238643
APR 142,-3.028,APR,3,28,3,M,1,2.632,850.9,2.779769109
APR 143,-3.028,APR,3,28,3,M,1,2.858,930.2,3.038830915
APR 144,-3.028,APR,4,20,1,F,0,2.821,946.49,3.092048024
APR 146,-3.028,APR,4,20,1,F,0,2.646,880.1,2.87516135
APR 153,-3.028,APR,4,20,2,M,1,2.836,960.49,3.13778403
APR 157,-3.028,APR,4,20,3,M,1,2.852,927.67,3.030565765
APR 159,-3.028,APR,4,24,1,M,1,2.646,858.24,2.803747844
APR 163,-3.028,APR,4,24,1,M,1,2.546,829.03,2.708322934
APR 172,-3.028,APR,4,24,3,F,0,2.806,919.94,3.005312956
APR 175,-3.028,APR,4,28,1,F,0,2.402,792.85,2.590128027
APR 178,-3.028,APR,4,28,1,M,1,2.483,807.64,2.63844485
APR 186,-3.028,APR,4,28,3,M,1,2.491,811.32,2.650466886
APR 189,-3.028,APR,7,20,1,M,1,2.692,877.07,2.865262772
APR 192,-3.028,APR,7,20,1,M,1,2.828,919.81,3.004888264
APR 197,-3.028,APR,7,20,2,M,1,2.863,920.8,3.008122453
APR 203,-3.028,APR,7,20,3,F,0,2.814,929.53,3.03664212
APR 208,-3.028,APR,7,24,1,F,0,2.755,912.64,2.981464896
APR 209,-3.028,APR,7,24,2,M,1,2.672,866.09,2.829392675
APR 231,-3.028,APR,7,28,3,M,1,2.52,825.51,2.696823595
APR 235,-3.028,APR,8,20,1,M,1,2.565,835.61,2.729818857
APR 239,-3.028,APR,8,20,2,F,0,2.789,919.23,3.002993487
APR 243,-3.028,APR,8,20,2,M,1,2.861,935.24,3.055295877
APR 244,-3.028,APR,8,20,3,M,1,2.764,903.82,2.952651212
APR 248,-3.028,APR,8,20,3,M,1,2.828,928.42,3.033015908
APR 253,-3.028,APR,8,24,1,F,0,2.607,870.43,2.843570837
APR 254,-3.028,APR,8,24,2,M,1,2.487,816.33,2.666833843
APR 256,-3.028,APR,8,24,2,F,0,2.576,849.29,2.774509468
APR 259,-3.028,APR,8,24,3,F,0,2.388,795.31,2.598164496
APR 261,-3.028,APR,8,24,3,M,1,2.3,757.08,2.473272531
APR 262,-3.028,APR,8,24,3,F,0,2.534,842.27,2.751576128
APR 263,-3.028,APR,8,24,3,M,1,2.568,839.26,2.741742887
APR 265,-3.028,APR,8,28,1,F,0,2.444,812.69,2.654942481
APR 266,-3.028,APR,8,28,1,M,1,2.519,823.09,2.6889178
APR 280,-3.028,APR,10,20,1,F,0,2.691,889.15,2.904726411
APR 285,-3.028,APR,10,20,2,M,1,2.753,900.52,2.941870582
APR 291,-3.028,APR,10,20,3,M,1,2.583,846.4,2.76506825
APR 293,-3.028,APR,10,20,3,M,1,2.808,910.9,2.975780563
APR 295,-3.028,APR,10,24,1,F,0,2.511,836.73,2.733477737
APR 297,-3.028,APR,10,24,1,F,0,2.775,922.89,3.014950186
APR 308,-3.028,APR,10,24,3,M,1,2.86,928.95,3.034747343
APR 312,-3.028,APR,10,28,1,M,1,2.694,878.16,2.868823646
APR 315,-3.028,APR,10,28,2,F,0,2.256,745.36,2.434984961
APR 331,-3.028,APR,14,20,2,F,0,2.668,886.21,2.89512185
APR 332,-3.028,APR,14,20,2,F,0,2.625,877.07,2.865262772
APR 333,-3.028,APR,14,20,2,M,1,2.935,946.75,3.092897407
APR 353,-3.028,APR,14,24,3,F,0,2.811,930.02,3.03824288
APR 359,-3.028,APR,14,28,2,F,0,2.516,836.71,2.7334124
APR 363,-3.028,APR,14,28,2,F,0,2.47,817.6,2.670982752
APR 370,-3.028,APR,19,20,1,M,1,2.701,870.4,2.843472832
APR 378,-3.028,APR,19,20,2,F,0,2.758,921.36,3.009951894
APR 382,-3.028,APR,19,20,3,M,1,2.813,915.14,2.989632039
APR 388,-3.028,APR,19,24,1,F,0,2.759,915.75,2.991624823
APR 392,-3.028,APR,19,24,2,F,0,2.488,823.43,2.690028531
APR 399,-3.028,APR,19,28,1,F,0,2.45,815.1,2.662815608
APR 400,-3.028,APR,19,28,1,M,1,2.447,803.85,2.62606346
APR 402,-3.028,APR,19,28,1,M,1,2.461,805.6,2.631780461
APR 407,-3.028,APR,19,28,2,M,1,2.418,794.75,2.596335056
APR 415,-3.028,APR,18,20,1,F,0,2.682,886.89,2.897343313
APR 418,-3.028,APR,18,20,1,M,1,2.892,938.62,3.066337855
APR 419,-3.028,APR,18,20,2,F,0,2.65,889.52,2.905935148
APR 421,-3.028,APR,18,20,2,M,1,2.706,880.46,2.876337419
APR 426,-3.028,APR,18,20,3,M,1,2.586,856.16,2.79695278
APR 433,-3.028,APR,18,24,1,F,0,2.659,875.84,2.861244537
APR 439,-3.028,APR,18,24,3,M,1,2.602,846.25,2.764578221
APR 447,-3.028,APR,18,28,1,F,0,2.415,800.64,2.615576847
APR 450,-3.028,APR,18,28,2,F,0,2.4563,817.52,2.670721403
APR 452,-3.028,APR,18,28,2,M,1,2.648,866.82,2.831777482
APR 457,-3.028,APR,18,28,3,F,0,2.433,811.25,2.650238206
APR 464,-3.028,APR,33,20,2,M,1,2.803,905.02,2.956571441
APR 472,-3.028,APR,33,20,3,F,0,2.72,901.9,2.946378845
APR 474,-3.028,APR,33,24,1,F,0,2.566,844.17,2.757783157
APR 475,-3.028,APR,33,24,1,M,1,2.535,824.51,2.693556738
APR 477,-3.028,APR,33,24,1,M,1,2.604,844.43,2.75863254
APR 478,-3.028,APR,33,24,1,M,1,2.477,814.91,2.662194905
APR 480,-3.028,APR,33,24,2,M,1,2.601,848.77,2.772810702
APR 483,-3.028,APR,33,24,2,F,0,2.68,880.65,2.876958122
APR 492,-3.028,APR,33,28,1,F,0,2.55,842.22,2.751412785
APR 496,-3.028,APR,33,28,2,M,1,2.458,797.75,2.606135629
APR 500,-3.028,APR,33,28,3,M,1,2.384,785.21,2.565169235
APR 501,-3.028,APR,33,28,3,F,0,2.402,793.16,2.591140753
APR 504,-3.028,APR,36,20,1,F,0,2.792,924.76,3.021059209
APR 506,-3.028,APR,36,20,1,M,1,2.719,885.71,2.893488421
APR 509,-3.028,APR,36,20,2,F,0,2.926,967.78,3.161599422
APR 515,-3.028,APR,36,20,3,M,1,2.845,927.61,3.030369753
APR 523,-3.028,APR,36,24,1,M,1,2.526,851.98,2.783297315
APR 527,-3.028,APR,36,24,2,M,1,2.771,907.6,2.964999933
APR 531,-3.028,APR,36,24,3,F,0,2.51,834.82,2.727238039
APR 534,-3.028,APR,36,28,1,M,1,2.592,846.07,2.763990187
APR 542,-3.028,APR,36,28,2,M,1,2.801,911.85,2.978884078
APR 544,-3.028,APR,36,28,3,M,1,2.646,868.81,2.838278528
APR 546,-3.028,APR,36,28,3,M,1,2.46,795.82,2.599830594
APR 562,-3.028,APR,38,20,3,F,0,2.705,898.65,2.935761558
APR 567,-3.028,APR,38,24,1,F,0,2.459,815.34,2.663599654
APR 569,-3.028,APR,38,24,2,F,0,2.397,791.33,2.585162403
APR 571,-3.028,APR,38,24,2,M,1,2.572,837.29,2.735307177
APR 573,-3.028,APR,38,24,2,F,0,2.723,898.42,2.935010181
APR 575,-3.028,APR,38,24,3,M,1,2.529,821.61,2.684082851
APR 585,-3.028,APR,38,28,2,F,0,2.626,867.88,2.835240351
APR 589,-3.028,APR,38,28,3,M,1,2.514,821.45,2.683560153
APR 591,-3.028,APR,38,28,3,F,0,2.426,806.29,2.634034593
APR 593,-3.028,APR,38,28,3,F,0,2.554,847.88,2.769903199
APR 605,-3.028,APR,40,20,3,F,0,2.685,884.16,2.888424792
APR 606,-3.028,APR,40,20,3,M,1,2.827,923.1,3.015636226
