"","ID","Biome","Latitude","Locality","Length.mm","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10","x11","y11","x12","y12","x13","y13"
"1","APR 011","Amazon",-3.028,"APR",3.3015,0.67297266,1.470085908,3.769953639,1.163001296,3.867959367,1.257740166,2.825831801,1.195669872,3.9038948,1.336144747,3.874493082,1.430883617,3.734018206,1.545223632,3.01530954,1.499487626,3.551074182,1.662830505,3.221121567,1.77717052,1.849041386,1.528889344,2.747427219,1.894777392,2.211662577,1.943780256
"2","APR 019","Amazon",-3.028,"APR",3.0202,1.136866435,1.506021341,4.001900527,1.45375162,4.070504536,1.541956775,3.116582125,1.430883617,4.109706827,1.639962502,4.073771394,1.728167656,3.975765666,1.80330538,3.23092214,1.721633941,3.773220497,1.89804425,3.45960217,1.986249404,2.201862004,1.643229359,3.00224211,2.045052841,2.482811756,2.038519126
"3","APR 029","Amazon",-3.028,"APR",3.0208,1.068262426,1.715100226,3.926762803,1.666097362,3.992099954,1.751035659,3.11004841,1.626895071,4.018234815,1.852308244,4.008434242,1.937246541,3.900627942,2.015651123,3.204787279,1.927445968,3.67521477,2.116923707,3.358329585,2.198595147,2.156125998,1.852308244,2.92057067,2.267199156,2.414207747,2.254131725
"4","APR 040","Amazon",-3.028,"APR",2.791,1.427616759,1.486420196,4.109706827,1.502754484,4.148909118,1.56155792,3.312593579,1.430883617,4.168510263,1.649763074,4.139108545,1.741235086,4.067237679,1.796771665,3.430200452,1.718367083,3.894094227,1.891510535,3.636012479,1.963381401,2.43707575,1.623628214,3.103514694,2.015651123,2.682090068,1.999316835
"5","APR 050","Amazon",-3.028,"APR",2.7205,0.908186405,1.189136157,3.475936458,1.081329857,3.544540467,1.163001296,2.652688349,1.064995569,3.577209043,1.257740166,3.55434104,1.33287789,3.469402743,1.404748756,2.78662951,1.342678463,3.279925003,1.496220768,2.979374107,1.600760211,1.816372811,1.277341311,2.535081477,1.662830505,2.038519126,1.666097362
"6","ARS 003","Amazon",-2.864,"ARS",3.0057,0.836315539,1.489687053,3.678481627,1.404748756,3.740551921,1.489687053,2.848699804,1.368813323,3.763419924,1.604027068,3.737285064,1.692232223,3.645813052,1.764103089,3.038177543,1.702032796,3.456335312,1.862108817,3.139450128,1.953580829,1.973181974,1.613827641,2.672289495,2.03198541,2.172460286,2.00585055
"7","ARS 008","Amazon",-2.864,"ARS",3.0717,1.283875026,2.041785983,4.181577694,1.950313971,4.24038113,2.038519126,3.260323858,1.920912253,4.273049706,2.12672428,4.263249133,2.218196292,4.155442833,2.293334016,3.420399879,2.201862004,3.959431379,2.371738598,3.662147339,2.46321061,2.35540431,2.159392856,3.139450128,2.538348334,2.639620919,2.55794948
"8","ARS 010","Amazon",-2.864,"ARS",3.2727,1.038860708,1.66936422,4.148909118,1.68243165,4.207712554,1.783704235,3.162318131,1.626895071,4.243647987,1.891510535,4.230580557,1.982982547,4.13257483,2.071187701,3.289725576,1.966648259,3.881026797,2.175727144,3.524939321,2.276999728,2.188794574,1.852308244,2.963039819,2.319468877,2.499146043,2.309668304
"9","ARS 016","Amazon",-2.864,"ARS",2.8353,0.803646963,1.633428787,3.498804461,1.489687053,3.551074182,1.568091635,2.731092931,1.470085908,3.577209043,1.65629679,3.551074182,1.754302517,3.449801597,1.829440241,2.861767234,1.770636805,3.266857573,1.924179111,2.979374107,2.01891798,1.822906526,1.718367083,2.538348334,2.10058942,2.022184838,2.11365685
"10","ARS 020","Amazon",-2.864,"ARS",2.8733,1.23813902,1.143400151,3.975765666,1.179335584,4.028035388,1.254473308,3.12311584,1.094397287,4.057437106,1.349212178,4.028035388,1.424349902,3.943097091,1.492953911,3.250523285,1.394948184,3.743818779,1.57462535,3.456335312,1.646496217,2.263932298,1.274074454,2.976107249,1.692232223,2.541615192,1.692232223
"11","RMO 012","Amazon",-9.223,"RMO",2.9569,1.087863572,1.202203587,3.91696223,1.169535011,3.962698236,1.23813902,3.11004841,1.123799005,3.988833097,1.31981046,3.962698236,1.408015614,3.9038948,1.470085908,3.24398957,1.427616759,3.720950776,1.581159065,3.413866164,1.679164793,2.146325426,1.349212178,2.966306676,1.747768802,2.479544898,1.757569374
"12","RMO 020","Amazon",-9.223,"RMO",3.1087,0.849382969,1.65629679,3.818956503,1.401481899,3.881026797,1.476619623,2.917303813,1.391681326,3.900627942,1.555024205,3.9038948,1.646496217,3.802622215,1.724900799,3.044711258,1.688965365,3.613144476,1.832707099,3.299526149,1.953580829,1.963381401,1.708566511,2.802963798,2.061387129,2.322735734,2.11365685
"13","RMO 024","Amazon",-9.223,"RMO",3.1029,0.774245245,2.433808892,3.734018206,2.198595147,3.7960885,2.267199156,2.81276437,2.211662577,3.835290791,2.361938025,3.818956503,2.453410037,3.698082773,2.551415765,3.054511831,2.518747189,3.518405606,2.659222065,3.208054137,2.783362652,1.868642532,2.508946616,2.704958071,2.881368379,2.205128862,2.917303813
"14","RMO 029","Amazon",-9.223,"RMO",3.0714,1.055194996,1.620361356,3.972498809,1.509288199,4.034569103,1.594226496,3.090447264,1.473352765,4.057437106,1.68243165,4.047636533,1.773903662,3.969231951,1.852308244,3.24398957,1.780437377,3.789554785,1.950313971,3.456335312,2.067920844,2.143058568,1.728167656,2.949972389,2.152859141,2.479544898,2.159392856
"15","RMO 037","Amazon",-9.223,"RMO",3.156,1.058461854,1.956847686,4.044369676,1.721633941,4.109706827,1.80330538,3.165584988,1.741235086,4.135841688,1.894777392,4.129307972,1.989516262,4.028035388,2.080988274,3.276658146,2.022184838,3.848358221,2.201862004,3.518405606,2.319468877,2.162659713,2.012384265,3.047978116,2.410940889,2.508946616,2.43707575
"16","RPV 009","Amazon",-8.742,"RPV",2.978,0.712174951,1.084596714,3.557607897,0.980057272,3.616411333,1.055194996,2.760494649,0.953922411,3.632745621,1.156467581,3.606610761,1.251206451,3.508605034,1.323077317,2.887902095,1.264273881,3.319127294,1.417816187,3.021843255,1.509288199,1.826173383,1.185869299,2.58408434,1.597493353,2.107123135,1.604027068
"17","RPV 018","Amazon",-8.742,"RPV",3.0539,1.270807596,1.587692781,4.171777121,1.486420196,4.246914845,1.587692781,3.302793006,1.463552193,4.279583421,1.672631077,4.259982275,1.760836232,4.139108545,1.839240814,3.423666737,1.754302517,3.926762803,1.930712826,3.596810188,2.025451695,2.322735734,1.685698508,3.129649555,2.097322562,2.642887777,2.097322562
"18","RPV 025","Amazon",-8.742,"RPV",3.1198,1.228338447,1.894777392,4.194645124,1.773903662,4.263249133,1.862108817,3.328927867,1.744501944,4.279583421,1.940513398,4.259982275,2.025451695,4.168510263,2.10058942,3.469402743,2.045052841,3.982299382,2.211662577,3.668681055,2.319468877,2.348870595,1.996049977,3.159051273,2.388072886,2.626553489,2.394606601
"19","RPV 037","Amazon",-8.742,"RPV",3.1236,1.257740166,1.541956775,4.191378266,1.512555056,4.25344856,1.607293926,3.312593579,1.46681905,4.299184566,1.702032796,4.282850278,1.783704235,4.184844551,1.865375674,3.469402743,1.783704235,3.982299382,1.960114544,3.652346767,2.061387129,2.371738598,1.685698508,3.194986707,2.129991138,2.69189064,2.11365685
