Code	Biome	State	Latitude	Locality	Family	Temp	Well	Sex
APR 068	Amazon	Amazonas	-3.028	APR	2	A	3	F
APR 069	Amazon	Amazonas	-3.028	APR	2	B	1	M
APR 072	Amazon	Amazonas	-3.028	APR	2	B	1	M
APR 074	Amazon	Amazonas	-3.028	APR	2	B	2	F
APR 080	Amazon	Amazonas	-3.028	APR	2	B	3	M
APR 081	Amazon	Amazonas	-3.028	APR	2	B	3	F
APR 082	Amazon	Amazonas	-3.028	APR	2	B	3	M
APR 087	Amazon	Amazonas	-3.028	APR	2	C	1	F
APR 097	Amazon	Amazonas	-3.028	APR	2	C	3	M
APR 100	Amazon	Amazonas	-3.028	APR	3	A	1	F
APR 102	Amazon	Amazonas	-3.028	APR	3	A	1	F
APR 105	Amazon	Amazonas	-3.028	APR	3	A	2	M
APR 106	Amazon	Amazonas	-3.028	APR	3	A	2	M
APR 112	Amazon	Amazonas	-3.028	APR	3	A	3	M
APR 116	Amazon	Amazonas	-3.028	APR	3	B	1	M
APR 122	Amazon	Amazonas	-3.028	APR	3	B	2	F
APR 128	Amazon	Amazonas	-3.028	APR	3	B	3	M
APR 130	Amazon	Amazonas	-3.028	APR	3	C	1	F
APR 132	Amazon	Amazonas	-3.028	APR	3	C	1	F
APR 142	Amazon	Amazonas	-3.028	APR	3	C	3	M
APR 143	Amazon	Amazonas	-3.028	APR	3	C	3	M
APR 144	Amazon	Amazonas	-3.028	APR	4	A	1	F
APR 146	Amazon	Amazonas	-3.028	APR	4	A	1	F
APR 153	Amazon	Amazonas	-3.028	APR	4	A	2	M
APR 157	Amazon	Amazonas	-3.028	APR	4	A	3	M
APR 159	Amazon	Amazonas	-3.028	APR	4	B	1	M
APR 163	Amazon	Amazonas	-3.028	APR	4	B	1	M
APR 172	Amazon	Amazonas	-3.028	APR	4	B	3	F
APR 175	Amazon	Amazonas	-3.028	APR	4	C	1	F
APR 178	Amazon	Amazonas	-3.028	APR	4	C	1	M
APR 186	Amazon	Amazonas	-3.028	APR	4	C	3	M
APR 189	Amazon	Amazonas	-3.028	APR	7	A	1	M
APR 192	Amazon	Amazonas	-3.028	APR	7	A	1	M
APR 197	Amazon	Amazonas	-3.028	APR	7	A	2	M
APR 203	Amazon	Amazonas	-3.028	APR	7	A	3	F
APR 208	Amazon	Amazonas	-3.028	APR	7	B	1	F
APR 209	Amazon	Amazonas	-3.028	APR	7	B	2	M
APR 231	Amazon	Amazonas	-3.028	APR	7	C	3	M
APR 235	Amazon	Amazonas	-3.028	APR	8	A	1	M
APR 239	Amazon	Amazonas	-3.028	APR	8	A	2	F
APR 243	Amazon	Amazonas	-3.028	APR	8	A	2	M
APR 244	Amazon	Amazonas	-3.028	APR	8	A	3	M
APR 248	Amazon	Amazonas	-3.028	APR	8	A	3	M
APR 253	Amazon	Amazonas	-3.028	APR	8	B	1	F
APR 254	Amazon	Amazonas	-3.028	APR	8	B	2	M
APR 256	Amazon	Amazonas	-3.028	APR	8	B	2	F
APR 259	Amazon	Amazonas	-3.028	APR	8	B	3	F
APR 261	Amazon	Amazonas	-3.028	APR	8	B	3	M
APR 262	Amazon	Amazonas	-3.028	APR	8	B	3	F
APR 263	Amazon	Amazonas	-3.028	APR	8	B	3	M
APR 265	Amazon	Amazonas	-3.028	APR	8	C	1	F
APR 266	Amazon	Amazonas	-3.028	APR	8	C	1	M
APR 280	Amazon	Amazonas	-3.028	APR	10	A	1	F
APR 285	Amazon	Amazonas	-3.028	APR	10	A	2	M
APR 291	Amazon	Amazonas	-3.028	APR	10	A	3	M
APR 293	Amazon	Amazonas	-3.028	APR	10	A	3	M
APR 295	Amazon	Amazonas	-3.028	APR	10	B	1	F
APR 297	Amazon	Amazonas	-3.028	APR	10	B	1	F
