Code	Family	Wing.length..mm.	Sex binary 0=F
APR 068	2	2.667	0
APR 069	2	2.666	1
APR 072	2	2.693	1
APR 074	2	2.61	0
APR 080	2	2.468	1
APR 081	2	2.455	0
APR 082	2	2.641	1
APR 087	2	2.631	0
APR 097	2	2.78	1
APR 100	3	2.764	0
APR 102	3	2.705	0
APR 105	3	2.731	1
APR 106	3	2.712	1
APR 112	3	2.763	1
APR 116	3	2.55	1
APR 122	3	2.66	0
APR 128	3	2.78	1
APR 130	3	2.526	0
APR 132	3	2.619	0
APR 142	3	2.632	1
APR 143	3	2.858	1
APR 144	4	2.821	0
APR 146	4	2.646	0
APR 153	4	2.836	1
APR 157	4	2.852	1
APR 159	4	2.646	1
APR 163	4	2.546	1
APR 172	4	2.806	0
APR 175	4	2.402	0
APR 178	4	2.483	1
APR 186	4	2.491	1
APR 189	7	2.692	1
APR 192	7	2.828	1
APR 197	7	2.863	1
APR 203	7	2.814	0
APR 208	7	2.755	0
APR 209	7	2.672	1
APR 231	7	2.52	1
APR 235	8	2.565	1
APR 239	8	2.789	0
APR 243	8	2.861	1
APR 244	8	2.764	1
APR 248	8	2.828	1
APR 253	8	2.607	0
APR 254	8	2.487	1
APR 256	8	2.576	0
APR 259	8	2.388	0
APR 261	8	2.3	1
APR 262	8	2.534	0
APR 263	8	2.568	1
APR 265	8	2.444	0
APR 266	8	2.519	1
APR 280	10	2.691	0
APR 285	10	2.753	1
APR 291	10	2.583	1
APR 293	10	2.808	1
APR 295	10	2.511	0
APR 297	10	2.775	0
APR 308	10	2.86	1
APR 312	10	2.694	1
APR 315	10	2.256	0
APR 331	14	2.668	0
APR 332	14	2.625	0
APR 333	14	2.935	1
APR 353	14	2.811	0
APR 359	14	2.516	0
APR 363	14	2.47	0
APR 370	19	2.701	1
APR 378	19	2.758	0
APR 382	19	2.813	1
APR 388	19	2.759	0
APR 392	19	2.488	0
APR 399	19	2.45	0
APR 400	19	2.447	1
APR 402	19	2.461	1
APR 407	19	2.418	1
APR 415	18	2.682	0
APR 418	18	2.892	1
APR 419	18	2.65	0
APR 421	18	2.706	1
APR 426	18	2.586	1
