"","Code","Biome","State","Latitude","Locality","Family","Temp","Well","Sex","Wing.length..mm."
"1","APR 068","Amazon","Amazonas",-3.028,"APR",2,"A","3","F",2.667
"2","APR 069","Amazon","Amazonas",-3.028,"APR",2,"B","1","M",2.666
"3","APR 072","Amazon","Amazonas",-3.028,"APR",2,"B","1","M",2.693
"4","APR 074","Amazon","Amazonas",-3.028,"APR",2,"B","2","F",2.61
"5","APR 080","Amazon","Amazonas",-3.028,"APR",2,"B","3","M",2.468
"6","APR 081","Amazon","Amazonas",-3.028,"APR",2,"B","3","F",2.455
"7","APR 082","Amazon","Amazonas",-3.028,"APR",2,"B","3","M",2.641
"8","APR 087","Amazon","Amazonas",-3.028,"APR",2,"C","1","F",2.631
"9","APR 097","Amazon","Amazonas",-3.028,"APR",2,"C","3","M",2.78
"10","APR 100","Amazon","Amazonas",-3.028,"APR",3,"A","1","F",2.764
"11","APR 102","Amazon","Amazonas",-3.028,"APR",3,"A","1","F",2.705
"12","APR 105","Amazon","Amazonas",-3.028,"APR",3,"A","2","M",2.731
"13","APR 106","Amazon","Amazonas",-3.028,"APR",3,"A","2","M",2.712
"14","APR 112","Amazon","Amazonas",-3.028,"APR",3,"A","3","M",2.763
"15","APR 116","Amazon","Amazonas",-3.028,"APR",3,"B","1","M",2.55
"16","APR 122","Amazon","Amazonas",-3.028,"APR",3,"B","2","F",2.66
"17","APR 128","Amazon","Amazonas",-3.028,"APR",3,"B","3","M",2.78
"18","APR 130","Amazon","Amazonas",-3.028,"APR",3,"C","1","F",2.526
"19","APR 132","Amazon","Amazonas",-3.028,"APR",3,"C","1","F",2.619
"20","APR 142","Amazon","Amazonas",-3.028,"APR",3,"C","3","M",2.632
"21","APR 143","Amazon","Amazonas",-3.028,"APR",3,"C","3","M",2.858
"22","APR 144","Amazon","Amazonas",-3.028,"APR",4,"A","1","F",2.821
"23","APR 146","Amazon","Amazonas",-3.028,"APR",4,"A","1","F",2.646
"24","APR 153","Amazon","Amazonas",-3.028,"APR",4,"A","2","M",2.836
"25","APR 157","Amazon","Amazonas",-3.028,"APR",4,"A","3","M",2.852
"26","APR 159","Amazon","Amazonas",-3.028,"APR",4,"B","1","M",2.646
"27","APR 163","Amazon","Amazonas",-3.028,"APR",4,"B","1","M",2.546
"28","APR 172","Amazon","Amazonas",-3.028,"APR",4,"B","3","F",2.806
"29","APR 175","Amazon","Amazonas",-3.028,"APR",4,"C","1","F",2.402
"30","APR 178","Amazon","Amazonas",-3.028,"APR",4,"C","1","M",2.483
"31","APR 186","Amazon","Amazonas",-3.028,"APR",4,"C","3","M",2.491
"32","APR 189","Amazon","Amazonas",-3.028,"APR",7,"A","1","M",2.692
"33","APR 192","Amazon","Amazonas",-3.028,"APR",7,"A","1","M",2.828
"34","APR 197","Amazon","Amazonas",-3.028,"APR",7,"A","2","M",2.863
"35","APR 203","Amazon","Amazonas",-3.028,"APR",7,"A","3","F",2.814
"36","APR 208","Amazon","Amazonas",-3.028,"APR",7,"B","1","F",2.755
"37","APR 209","Amazon","Amazonas",-3.028,"APR",7,"B","2","M",2.672
"38","APR 231","Amazon","Amazonas",-3.028,"APR",7,"C","3","M",2.52
"39","APR 235","Amazon","Amazonas",-3.028,"APR",8,"A","1","M",2.565
"40","APR 239","Amazon","Amazonas",-3.028,"APR",8,"A","2","F",2.789
"41","APR 243","Amazon","Amazonas",-3.028,"APR",8,"A","2","M",2.861
"42","APR 244","Amazon","Amazonas",-3.028,"APR",8,"A","3","M",2.764
"43","APR 248","Amazon","Amazonas",-3.028,"APR",8,"A","3","M",2.828
"44","APR 253","Amazon","Amazonas",-3.028,"APR",8,"B","1","F",2.607
"45","APR 254","Amazon","Amazonas",-3.028,"APR",8,"B","2","M",2.487
"46","APR 256","Amazon","Amazonas",-3.028,"APR",8,"B","2","F",2.576
"47","APR 259","Amazon","Amazonas",-3.028,"APR",8,"B","3","F",2.388
"48","APR 261","Amazon","Amazonas",-3.028,"APR",8,"B","3","M",2.3
"49","APR 262","Amazon","Amazonas",-3.028,"APR",8,"B","3","F",2.534
"50","APR 263","Amazon","Amazonas",-3.028,"APR",8,"B","3","M",2.568
"51","APR 265","Amazon","Amazonas",-3.028,"APR",8,"C","1","F",2.444
"52","APR 266","Amazon","Amazonas",-3.028,"APR",8,"C","1","M",2.519
"53","APR 280","Amazon","Amazonas",-3.028,"APR",10,"A","1","F",2.691
"54","APR 285","Amazon","Amazonas",-3.028,"APR",10,"A","2","M",2.753
"55","APR 291","Amazon","Amazonas",-3.028,"APR",10,"A","3","M",2.583
"56","APR 293","Amazon","Amazonas",-3.028,"APR",10,"A","3","M",2.808
"57","APR 295","Amazon","Amazonas",-3.028,"APR",10,"B","1","F",2.511
"58","APR 297","Amazon","Amazonas",-3.028,"APR",10,"B","1","F",2.775
"59","APR 308","Amazon","Amazonas",-3.028,"APR",10,"B","3","M",2.86
"60","APR 312","Amazon","Amazonas",-3.028,"APR",10,"C","1","M",2.694
"61","APR 315","Amazon","Amazonas",-3.028,"APR",10,"C","2","F",2.256
"62","APR 331","Amazon","Amazonas",-3.028,"APR",14,"A","2","F",2.668
"63","APR 332","Amazon","Amazonas",-3.028,"APR",14,"A","2","F",2.625
"64","APR 333","Amazon","Amazonas",-3.028,"APR",14,"A","2","M",2.935
"65","APR 353","Amazon","Amazonas",-3.028,"APR",14,"B","3","F",2.811
"66","APR 359","Amazon","Amazonas",-3.028,"APR",14,"C","2","F",2.516
"67","APR 363","Amazon","Amazonas",-3.028,"APR",14,"C","2","F",2.47
"68","APR 370","Amazon","Amazonas",-3.028,"APR",19,"A","1","M",2.701
"69","APR 378","Amazon","Amazonas",-3.028,"APR",19,"A","2","F",2.758
"70","APR 382","Amazon","Amazonas",-3.028,"APR",19,"A","3","M",2.813
"71","APR 388","Amazon","Amazonas",-3.028,"APR",19,"B","1","F",2.759
"72","APR 392","Amazon","Amazonas",-3.028,"APR",19,"B","2","F",2.488
