Code,Biome,State,Latitude,Locality,Family,Temp,Well,Sex,Wing.length..mm.,Sex binary 0=F
APR 068,Amazon,Amazonas,-3.028,APR,2,A,3,F,2.667,0
APR 069,Amazon,Amazonas,-3.028,APR,2,B,1,M,2.666,1
APR 072,Amazon,Amazonas,-3.028,APR,2,B,1,M,2.693,1
APR 074,Amazon,Amazonas,-3.028,APR,2,B,2,F,2.61,0
APR 080,Amazon,Amazonas,-3.028,APR,2,B,3,M,2.468,1
APR 081,Amazon,Amazonas,-3.028,APR,2,B,3,F,2.455,0
APR 082,Amazon,Amazonas,-3.028,APR,2,B,3,M,2.641,1
APR 087,Amazon,Amazonas,-3.028,APR,2,C,1,F,2.631,0
APR 097,Amazon,Amazonas,-3.028,APR,2,C,3,M,2.78,1
APR 100,Amazon,Amazonas,-3.028,APR,3,A,1,F,2.764,0
APR 102,Amazon,Amazonas,-3.028,APR,3,A,1,F,2.705,0
APR 105,Amazon,Amazonas,-3.028,APR,3,A,2,M,2.731,1
APR 106,Amazon,Amazonas,-3.028,APR,3,A,2,M,2.712,1
APR 112,Amazon,Amazonas,-3.028,APR,3,A,3,M,2.763,1
APR 116,Amazon,Amazonas,-3.028,APR,3,B,1,M,2.55,1
APR 122,Amazon,Amazonas,-3.028,APR,3,B,2,F,2.66,0
APR 128,Amazon,Amazonas,-3.028,APR,3,B,3,M,2.78,1
APR 130,Amazon,Amazonas,-3.028,APR,3,C,1,F,2.526,0
APR 132,Amazon,Amazonas,-3.028,APR,3,C,1,F,2.619,0
APR 142,Amazon,Amazonas,-3.028,APR,3,C,3,M,2.632,1
APR 143,Amazon,Amazonas,-3.028,APR,3,C,3,M,2.858,1
APR 144,Amazon,Amazonas,-3.028,APR,4,A,1,F,2.821,0
APR 146,Amazon,Amazonas,-3.028,APR,4,A,1,F,2.646,0
APR 153,Amazon,Amazonas,-3.028,APR,4,A,2,M,2.836,1
APR 157,Amazon,Amazonas,-3.028,APR,4,A,3,M,2.852,1
APR 159,Amazon,Amazonas,-3.028,APR,4,B,1,M,2.646,1
APR 163,Amazon,Amazonas,-3.028,APR,4,B,1,M,2.546,1
APR 172,Amazon,Amazonas,-3.028,APR,4,B,3,F,2.806,0
APR 175,Amazon,Amazonas,-3.028,APR,4,C,1,F,2.402,0
APR 178,Amazon,Amazonas,-3.028,APR,4,C,1,M,2.483,1
APR 186,Amazon,Amazonas,-3.028,APR,4,C,3,M,2.491,1
APR 189,Amazon,Amazonas,-3.028,APR,7,A,1,M,2.692,1
APR 192,Amazon,Amazonas,-3.028,APR,7,A,1,M,2.828,1
APR 197,Amazon,Amazonas,-3.028,APR,7,A,2,M,2.863,1
APR 203,Amazon,Amazonas,-3.028,APR,7,A,3,F,2.814,0
APR 208,Amazon,Amazonas,-3.028,APR,7,B,1,F,2.755,0
APR 209,Amazon,Amazonas,-3.028,APR,7,B,2,M,2.672,1
APR 231,Amazon,Amazonas,-3.028,APR,7,C,3,M,2.52,1
APR 235,Amazon,Amazonas,-3.028,APR,8,A,1,M,2.565,1
APR 239,Amazon,Amazonas,-3.028,APR,8,A,2,F,2.789,0
APR 243,Amazon,Amazonas,-3.028,APR,8,A,2,M,2.861,1
APR 244,Amazon,Amazonas,-3.028,APR,8,A,3,M,2.764,1
APR 248,Amazon,Amazonas,-3.028,APR,8,A,3,M,2.828,1
APR 253,Amazon,Amazonas,-3.028,APR,8,B,1,F,2.607,0
APR 254,Amazon,Amazonas,-3.028,APR,8,B,2,M,2.487,1
APR 256,Amazon,Amazonas,-3.028,APR,8,B,2,F,2.576,0
APR 259,Amazon,Amazonas,-3.028,APR,8,B,3,F,2.388,0
APR 261,Amazon,Amazonas,-3.028,APR,8,B,3,M,2.3,1
APR 262,Amazon,Amazonas,-3.028,APR,8,B,3,F,2.534,0
APR 263,Amazon,Amazonas,-3.028,APR,8,B,3,M,2.568,1
APR 265,Amazon,Amazonas,-3.028,APR,8,C,1,F,2.444,0
APR 266,Amazon,Amazonas,-3.028,APR,8,C,1,M,2.519,1
APR 280,Amazon,Amazonas,-3.028,APR,10,A,1,F,2.691,0
APR 285,Amazon,Amazonas,-3.028,APR,10,A,2,M,2.753,1
APR 291,Amazon,Amazonas,-3.028,APR,10,A,3,M,2.583,1
APR 293,Amazon,Amazonas,-3.028,APR,10,A,3,M,2.808,1
APR 295,Amazon,Amazonas,-3.028,APR,10,B,1,F,2.511,0
APR 297,Amazon,Amazonas,-3.028,APR,10,B,1,F,2.775,0
APR 308,Amazon,Amazonas,-3.028,APR,10,B,3,M,2.86,1
APR 312,Amazon,Amazonas,-3.028,APR,10,C,1,M,2.694,1
APR 315,Amazon,Amazonas,-3.028,APR,10,C,2,F,2.256,0
APR 331,Amazon,Amazonas,-3.028,APR,14,A,2,F,2.668,0
APR 332,Amazon,Amazonas,-3.028,APR,14,A,2,F,2.625,0
APR 333,Amazon,Amazonas,-3.028,APR,14,A,2,M,2.935,1
APR 353,Amazon,Amazonas,-3.028,APR,14,B,3,F,2.811,0
APR 359,Amazon,Amazonas,-3.028,APR,14,C,2,F,2.516,0
APR 363,Amazon,Amazonas,-3.028,APR,14,C,2,F,2.47,0
APR 370,Amazon,Amazonas,-3.028,APR,19,A,1,M,2.701,1
APR 378,Amazon,Amazonas,-3.028,APR,19,A,2,F,2.758,0
APR 382,Amazon,Amazonas,-3.028,APR,19,A,3,M,2.813,1
APR 388,Amazon,Amazonas,-3.028,APR,19,B,1,F,2.759,0
APR 392,Amazon,Amazonas,-3.028,APR,19,B,2,F,2.488,0
APR 399,Amazon,Amazonas,-3.028,APR,19,C,1,F,2.45,0
APR 400,Amazon,Amazonas,-3.028,APR,19,C,1,M,2.447,1
APR 402,Amazon,Amazonas,-3.028,APR,19,C,1,M,2.461,1
APR 407,Amazon,Amazonas,-3.028,APR,19,C,2,M,2.418,1
APR 415,Amazon,Amazonas,-3.028,APR,18,A,1,F,2.682,0
APR 418,Amazon,Amazonas,-3.028,APR,18,A,1,M,2.892,1
APR 419,Amazon,Amazonas,-3.028,APR,18,A,2,F,2.65,0
APR 421,Amazon,Amazonas,-3.028,APR,18,A,2,M,2.706,1
APR 426,Amazon,Amazonas,-3.028,APR,18,A,3,M,2.586,1
APR 433,Amazon,Amazonas,-3.028,APR,18,B,1,F,2.659,0
APR 439,Amazon,Amazonas,-3.028,APR,18,B,3,M,2.602,1
APR 447,Amazon,Amazonas,-3.028,APR,18,C,1,F,2.415,0
APR 450,Amazon,Amazonas,-3.028,APR,18,C,2,F,2.4563,0
APR 452,Amazon,Amazonas,-3.028,APR,18,C,2,M,2.648,1
APR 457,Amazon,Amazonas,-3.028,APR,18,C,3,F,2.433,0
APR 464,Amazon,Amazonas,-3.028,APR,33,A,2,M,2.803,1
