Code	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18
ARS 024	461	457	667	351	958	313	973	328	989	349	992	372	977	402	920	460	863	498	742	562	502	538	615	494	607	476	669	462	660	436	650	412	713	383	791	448
ARS 029	713	546	940	539	1208	624	1220	652	1225	684	1214	706	1180	728	1104	744	1031	749	918	773	711	641	824	646	829	624	883	636	885	611	886	584	958	588	999	683
ARS 076	574	580	774	521	1021	537	1048	561	1058	584	1056	612	1028	635	978	667	907	697	792	728	586	641	685	631	682	611	739	617	737	593	735	566	811	555	851	632
ARS 116	755	491	963	502	1228	595	1238	618	1244	644	1236	670	1207	689	1142	709	1057	722	923	722	738	586	842	594	846	575	899	593	904	564	906	542	990	552	1036	644
ARS 119	677	421	915	412	1223	484	1242	514	1244	536	1233	559	1203	584	1148	615	1050	639	914	655	675	521	807	527	805	503	865	511	866	486	867	460	957	457	993	551
ARS 124	685	426	889	506	1104	671	1111	703	1105	730	1092	748	1054	757	994	754	907	738	777	693	622	497	735	552	746	532	793	563	802	543	815	521	896	557	896	652
ARS 156	422	593	624	533	926	529	946	552	955	576	949	602	927	627	880	662	794	700	687	743	453	682	562	657	555	635	618	634	612	611	601	585	683	562	730	640
ARS 163	639	489	842	513	1139	645	1147	672	1149	705	1135	726	1103	739	1033	753	946	756	810	749	625	581	746	613	749	590	808	616	814	586	813	558	900	572	914	667
ARS 166	539	460	759	468	1031	550	1047	579	1054	608	1042	633	1012	653	954	670	864	682	731	687	531	543	651	565	651	542	708	562	713	531	715	507	813	514	823	606
ARS 246	637	403	834	417	1113	512	1124	533	1124	555	1115	577	1080	593	1012	613	923	620	802	616	622	487	745	505	746	486	792	503	798	477	803	454	897	463	920	549
ARS 254	493	518	685	424	987	377	1004	389	1017	414	1016	439	995	469	953	518	880	575	762	640	530	607	639	563	631	543	683	533	674	509	659	484	752	444	806	521
ARS 255	734	469	943	453	1227	517	1244	542	1242	566	1233	588	1201	615	1151	645	1065	666	946	680	737	568	849	562	849	540	901	553	905	526	904	499	980	491	1028	586
ARS 303	431	607	648	622	928	731	942	764	941	789	926	814	898	833	833	854	753	861	618	856	416	697	537	719	543	699	599	716	602	695	608	664	687	674	710	770
ARS 343	659	565	881	478	1180	469	1199	486	1210	511	1206	536	1183	568	1133	608	1057	653	944	705	689	658	817	622	811	597	865	592	856	566	845	542	914	518	982	589
ARS 391	704	467	927	440	1230	492	1248	516	1255	532	1247	564	1223	589	1167	621	1072	647	939	670	717	564	831	558	829	532	886	543	886	514	885	489	989	487	1043	577
ARS 393	635	583	822	538	1127	564	1142	582	1151	610	1145	631	1121	656	1070	685	983	719	861	752	649	678	753	659	752	635	816	641	811	616	807	592	896	578	944	653
ARS 438	688	319	896	305	1176	377	1191	403	1193	427	1193	453	1163	472	1102	500	1031	520	902	535	687	411	789	415	790	390	850	402	846	379	846	356	941	352	983	446
ARS 523	681	414	876	337	1177	311	1200	331	1215	355	1218	380	1199	411	1154	450	1071	498	938	552	714	505	823	472	815	447	877	442	869	415	860	391	957	357	1015	436
ARS 524	607	512	825	487	1099	554	1113	574	1121	600	1117	626	1087	647	1040	669	955	689	815	705	614	604	725	600	723	580	774	588	774	563	773	542	872	537	919	622
ARS 525	705	414	947	387	1257	456	1273	479	1280	507	1275	538	1246	560	1179	585	1090	609	946	628	707	509	843	510	844	487	901	497	902	466	904	442	1001	440	1051	531
ARS 023	647	416	846	345	1123	327	1134	336	1152	357	1159	383	1131	419	1085	457	1007	496	902	545	684	500	785	470	778	447	827	447	822	420	816	398	914	371	972	443
ARS 032	726	573	934	506	1226	513	1242	535	1251	553	1249	575	1227	601	1171	643	1105	674	982	719	757	662	875	633	870	610	923	603	919	585	913	561	1003	538	1049	612
ARS 074	663	438	837	471	1090	596	1097	619	1094	642	1056	659	1014	663	969	667	899	672	784	658	634	515	743	547	751	527	793	550	803	528	812	507	905	534	905	616
ARS 078	490	752	709	754	974	820	995	846	1000	867	990	896	946	918	881	940	806	949	684	959	487	842	603	849	602	826	653	838	653	817	652	793	766	798	785	880
ARS 113	655	412	863	386	1151	423	1171	441	1184	467	1183	493	1151	519	1100	551	1005	578	875	596	672	506	778	497	778	477	826	481	825	458	825	435	928	430	982	511
ARS 118	633	458	852	411	1145	418	1168	436	1182	460	1181	485	1160	515	1101	555	1027	589	900	631	650	560	769	533	766	513	821	511	819	485	814	460	909	445	971	523
ARS 120	712	389	894	358	1169	388	1183	406	1191	431	1187	452	1159	477	1106	506	1029	531	913	561	733	481	832	468	829	447	884	450	882	429	880	403	974	394	1011	470
ARS 164	731	466	957	413	1262	417	1278	430	1291	451	1290	475	1269	508	1196	551	1109	585	1000	621	756	553	875	529	873	508	925	508	923	487	921	464	1028	441	1075	519
ARS 165	529	337	744	296	1037	318	1065	343	1072	367	1068	395	1038	422	969	457	878	485	762	515	542	426	666	410	666	390	717	393	719	366	717	343	810	332	854	411
ARS 247	789	438	991	422	1245	468	1258	487	1267	504	1262	538	1235	557	1181	584	1101	603	991	618	794	530	891	520	892	500	943	506	944	483	943	462	1039	461	1065	534
ARS 251	456	684	655	622	918	617	944	635	958	655	956	682	933	706	872	743	794	778	683	819	476	762	598	740	594	718	651	714	644	694	636	672	715	654	758	722
ARS 259	711	516	919	482	1185	543	1193	554	1202	579	1195	604	1170	628	1108	655	1031	675	921	693	722	600	826	594	824	573	868	578	869	558	869	536	960	531	999	607
ARS 294	720	567	943	563	1210	625	1226	650	1234	673	1225	701	1200	724	1145	748	1060	767	931	776	712	658	819	662	823	636	881	648	880	625	882	602	994	607	1015	691
ARS 300	721	417	959	424	1240	515	1258	541	1263	568	1257	595	1222	617	1150	639	1068	646	944	652	722	513	853	528	858	506	908	516	911	497	916	466	1025	478	1043	567
ARS 384	582	543	779	517	1064	570	1075	589	1083	612	1074	643	1052	661	1001	690	906	710	780	728	585	633	700	630	699	607	746	616	746	591	746	565	832	561	871	640
ARS 390	665	411	892	385	1183	428	1203	452	1213	476	1211	499	1180	526	1123	552	1037	576	904	599	670	505	795	496	795	474	844	480	841	456	840	432	946	427	993	507
ARS 434	581	383	792	361	1074	414	1089	433	1096	454	1097	478	1058	509	997	537	915	556	798	573	581	471	696	466	697	443	749	453	749	429	751	406	860	405	895	492
ARS 436	803	325	1008	294	1300	330	1317	350	1327	373	1322	394	1291	421	1232	452	1154	476	1029	504	813	416	926	404	923	383	984	390	982	363	979	341	1073	335	1117	411
ARS 516	632	452	839	438	1116	496	1133	514	1139	536	1133	559	1099	583	1044	607	969	622	841	638	633	537	742	537	745	518	795	526	797	502	798	481	895	478	935	555
ARS 521	503	578	712	504	990	481	1012	497	1023	516	1025	539	998	573	952	611	882	651	769	702	537	666	652	629	645	608	699	602	693	580	684	557	776	529	827	599
ARS 037	472	578	646	457	935	372	952	385	969	403	975	425	960	458	922	510	861	572	755	652	518	657	617	598	605	576	657	558	646	539	631	516	708	469	786	527
ARS 039	709	444	913	442	1197	529	1205	547	1208	573	1195	597	1171	614	1111	639	1027	653	906	663	692	537	806	541	808	521	863	532	866	511	870	488	943	486	987	576
ARS 089	594	512	821	469	1126	498	1150	523	1158	551	1150	574	1121	598	1063	632	985	654	855	689	616	596	755	586	752	563	805	562	803	541	798	513	893	497	929	587
ARS 093	409	733	588	692	859	707	879	730	887	751	879	775	860	799	810	830	742	861	628	897	426	820	529	802	526	781	570	784	567	758	566	738	643	719	686	799
ARS 139	783	567	998	546	1299	646	1310	666	1318	694	1307	721	1272	741	1209	766	1121	777	974	782	782	644	899	654	904	630	948	645	955	617	959	589	1053	596	1086	698
ARS 174	455	629	673	536	960	494	993	515	1011	539	1011	565	986	599	934	650	865	696	746	762	499	723	614	679	608	654	652	650	649	627	641	601	721	564	791	639
ARS 182	575	517	675	396	914	269	937	280	952	293	958	319	950	353	927	403	881	479	804	571	586	628	679	547	660	528	698	501	684	485	664	466	722	407	791	456
ARS 264	506	488	720	538	965	674	974	699	974	731	967	752	934	771	872	782	779	779	649	759	469	578	583	616	591	597	634	618	644	590	654	566	728	589	743	686
ARS 265	634	449	821	422	1087	465	1107	489	1116	518	1104	545	1075	565	1030	589	956	614	835	634	639	534	742	529	742	509	790	518	790	492	785	469	865	459	902	540
ARS 272	711	471	887	483	1157	582	1169	607	1170	634	1162	654	1125	669	1071	681	991	685	868	688	698	549	813	568	818	552	863	569	866	544	871	523	942	533	958	614
ARS 306	555	527	749	460	1055	449	1072	464	1086	493	1082	516	1054	546	1019	584	943	629	816	680	577	619	706	591	698	568	752	564	746	535	740	514	815	492	872	566
ARS 353	517	695	740	735	992	869	1002	902	1003	926	992	946	957	964	905	976	812	976	679	959	499	790	609	819	614	796	670	822	677	798	683	775	768	790	773	883
ARS 362	713	471	900	474	1129	553	1138	572	1141	596	1129	617	1101	634	1057	652	987	666	880	671	709	555	815	565	818	547	863	561	866	535	869	513	934	515	947	592
ARS 404	775	378	975	331	1248	343	1272	366	1287	395	1283	413	1254	440	1206	475	1122	506	1017	540	787	471	890	448	885	428	949	433	946	407	945	382	1029	369	1079	445
ARS 449	641	425	826	491	1078	673	1077	700	1069	720	1057	743	1021	750	959	751	874	739	745	704	596	511	704	562	718	538	761	571	772	546	785	524	868	558	871	662
ARS 454	628	365	848	332	1141	380	1156	402	1163	430	1159	448	1132	471	1082	500	1001	523	865	549	642	453	761	445	760	424	815	429	814	404	809	378	892	372	949	456
ARS 531	447	637	623	537	914	471	935	486	952	506	951	532	935	565	901	609	834	661	722	731	484	721	590	673	584	653	633	637	625	617	616	592	693	558	760	616
ARS 533	493	761	695	787	989	932	996	959	997	978	975	1001	943	1013	882	1017	801	1020	650	1002	475	853	595	883	602	856	647	878	655	851	659	831	768	854	770	945
ARS 537	627	411	843	338	1123	335	1140	353	1150	376	1145	404	1119	429	1079	459	1003	497	882	539	650	487	755	460	751	438	811	436	805	415	799	393	889	369	946	440
ARS 545	573	560	783	571	1083	687	1091	711	1092	738	1080	761	1049	776	989	790	903	796	761	791	559	644	680	663	682	641	741	663	749	637	754	615	834	626	869	717
ARS 036	464	489	653	389	898	330	925	342	940	362	944	381	927	412	887	459	827	508	721	577	493	571	593	525	583	504	637	489	628	470	617	452	684	417	745	469
