Code	Biome	State	Latitude	Locality	Family	Temp	Well	Sex	Wing.length..mm.
APR 068	Amazon	Amazonas	-3.028	APR	2	A	3	F	2.667
APR 069	Amazon	Amazonas	-3.028	APR	2	B	1	M	2.666
APR 072	Amazon	Amazonas	-3.028	APR	2	B	1	M	2.693
APR 074	Amazon	Amazonas	-3.028	APR	2	B	2	F	2.61
APR 080	Amazon	Amazonas	-3.028	APR	2	B	3	M	2.468
APR 081	Amazon	Amazonas	-3.028	APR	2	B	3	F	2.455
APR 082	Amazon	Amazonas	-3.028	APR	2	B	3	M	2.641
APR 087	Amazon	Amazonas	-3.028	APR	2	C	1	F	2.631
APR 097	Amazon	Amazonas	-3.028	APR	2	C	3	M	2.78
APR 100	Amazon	Amazonas	-3.028	APR	3	A	1	F	2.764
APR 102	Amazon	Amazonas	-3.028	APR	3	A	1	F	2.705
APR 105	Amazon	Amazonas	-3.028	APR	3	A	2	M	2.731
APR 106	Amazon	Amazonas	-3.028	APR	3	A	2	M	2.712
APR 112	Amazon	Amazonas	-3.028	APR	3	A	3	M	2.763
APR 116	Amazon	Amazonas	-3.028	APR	3	B	1	M	2.55
APR 122	Amazon	Amazonas	-3.028	APR	3	B	2	F	2.66
APR 128	Amazon	Amazonas	-3.028	APR	3	B	3	M	2.78
APR 130	Amazon	Amazonas	-3.028	APR	3	C	1	F	2.526
APR 132	Amazon	Amazonas	-3.028	APR	3	C	1	F	2.619
APR 142	Amazon	Amazonas	-3.028	APR	3	C	3	M	2.632
APR 143	Amazon	Amazonas	-3.028	APR	3	C	3	M	2.858
APR 144	Amazon	Amazonas	-3.028	APR	4	A	1	F	2.821
APR 146	Amazon	Amazonas	-3.028	APR	4	A	1	F	2.646
APR 153	Amazon	Amazonas	-3.028	APR	4	A	2	M	2.836
APR 157	Amazon	Amazonas	-3.028	APR	4	A	3	M	2.852
APR 159	Amazon	Amazonas	-3.028	APR	4	B	1	M	2.646
APR 163	Amazon	Amazonas	-3.028	APR	4	B	1	M	2.546
APR 172	Amazon	Amazonas	-3.028	APR	4	B	3	F	2.806
APR 175	Amazon	Amazonas	-3.028	APR	4	C	1	F	2.402
APR 178	Amazon	Amazonas	-3.028	APR	4	C	1	M	2.483
APR 186	Amazon	Amazonas	-3.028	APR	4	C	3	M	2.491
APR 189	Amazon	Amazonas	-3.028	APR	7	A	1	M	2.692
APR 192	Amazon	Amazonas	-3.028	APR	7	A	1	M	2.828
APR 197	Amazon	Amazonas	-3.028	APR	7	A	2	M	2.863
APR 203	Amazon	Amazonas	-3.028	APR	7	A	3	F	2.814
APR 208	Amazon	Amazonas	-3.028	APR	7	B	1	F	2.755
APR 209	Amazon	Amazonas	-3.028	APR	7	B	2	M	2.672
APR 231	Amazon	Amazonas	-3.028	APR	7	C	3	M	2.52
APR 235	Amazon	Amazonas	-3.028	APR	8	A	1	M	2.565
APR 239	Amazon	Amazonas	-3.028	APR	8	A	2	F	2.789
APR 243	Amazon	Amazonas	-3.028	APR	8	A	2	M	2.861
APR 244	Amazon	Amazonas	-3.028	APR	8	A	3	M	2.764
APR 248	Amazon	Amazonas	-3.028	APR	8	A	3	M	2.828
APR 253	Amazon	Amazonas	-3.028	APR	8	B	1	F	2.607
APR 254	Amazon	Amazonas	-3.028	APR	8	B	2	M	2.487
APR 256	Amazon	Amazonas	-3.028	APR	8	B	2	F	2.576
APR 259	Amazon	Amazonas	-3.028	APR	8	B	3	F	2.388
APR 261	Amazon	Amazonas	-3.028	APR	8	B	3	M	2.3
APR 262	Amazon	Amazonas	-3.028	APR	8	B	3	F	2.534
APR 263	Amazon	Amazonas	-3.028	APR	8	B	3	M	2.568
APR 265	Amazon	Amazonas	-3.028	APR	8	C	1	F	2.444
APR 266	Amazon	Amazonas	-3.028	APR	8	C	1	M	2.519
APR 280	Amazon	Amazonas	-3.028	APR	10	A	1	F	2.691
APR 285	Amazon	Amazonas	-3.028	APR	10	A	2	M	2.753
APR 291	Amazon	Amazonas	-3.028	APR	10	A	3	M	2.583
APR 293	Amazon	Amazonas	-3.028	APR	10	A	3	M	2.808
APR 295	Amazon	Amazonas	-3.028	APR	10	B	1	F	2.511
APR 297	Amazon	Amazonas	-3.028	APR	10	B	1	F	2.775
APR 308	Amazon	Amazonas	-3.028	APR	10	B	3	M	2.86
APR 312	Amazon	Amazonas	-3.028	APR	10	C	1	M	2.694
APR 315	Amazon	Amazonas	-3.028	APR	10	C	2	F	2.256
APR 331	Amazon	Amazonas	-3.028	APR	14	A	2	F	2.668
APR 332	Amazon	Amazonas	-3.028	APR	14	A	2	F	2.625
APR 333	Amazon	Amazonas	-3.028	APR	14	A	2	M	2.935
APR 353	Amazon	Amazonas	-3.028	APR	14	B	3	F	2.811
APR 359	Amazon	Amazonas	-3.028	APR	14	C	2	F	2.516
APR 363	Amazon	Amazonas	-3.028	APR	14	C	2	F	2.47
APR 370	Amazon	Amazonas	-3.028	APR	19	A	1	M	2.701
APR 378	Amazon	Amazonas	-3.028	APR	19	A	2	F	2.758
APR 382	Amazon	Amazonas	-3.028	APR	19	A	3	M	2.813
APR 388	Amazon	Amazonas	-3.028	APR	19	B	1	F	2.759
APR 392	Amazon	Amazonas	-3.028	APR	19	B	2	F	2.488
APR 399	Amazon	Amazonas	-3.028	APR	19	C	1	F	2.45
APR 400	Amazon	Amazonas	-3.028	APR	19	C	1	M	2.447
APR 402	Amazon	Amazonas	-3.028	APR	19	C	1	M	2.461
APR 407	Amazon	Amazonas	-3.028	APR	19	C	2	M	2.418
APR 415	Amazon	Amazonas	-3.028	APR	18	A	1	F	2.682
APR 418	Amazon	Amazonas	-3.028	APR	18	A	1	M	2.892
APR 419	Amazon	Amazonas	-3.028	APR	18	A	2	F	2.65
APR 421	Amazon	Amazonas	-3.028	APR	18	A	2	M	2.706
APR 426	Amazon	Amazonas	-3.028	APR	18	A	3	M	2.586
APR 433	Amazon	Amazonas	-3.028	APR	18	B	1	F	2.659
APR 439	Amazon	Amazonas	-3.028	APR	18	B	3	M	2.602
APR 447	Amazon	Amazonas	-3.028	APR	18	C	1	F	2.415
APR 450	Amazon	Amazonas	-3.028	APR	18	C	2	F	2.4563
APR 452	Amazon	Amazonas	-3.028	APR	18	C	2	M	2.648
APR 457	Amazon	Amazonas	-3.028	APR	18	C	3	F	2.433
APR 464	Amazon	Amazonas	-3.028	APR	33	A	2	M	2.803
APR 472	Amazon	Amazonas	-3.028	APR	33	A	3	F	2.72
APR 474	Amazon	Amazonas	-3.028	APR	33	B	1	F	2.566
APR 475	Amazon	Amazonas	-3.028	APR	33	B	1	M	2.535
APR 477	Amazon	Amazonas	-3.028	APR	33	B	1	M	2.604
APR 478	Amazon	Amazonas	-3.028	APR	33	B	1	M	2.477
APR 480	Amazon	Amazonas	-3.028	APR	33	B	2	M	2.601
APR 483	Amazon	Amazonas	-3.028	APR	33	B	2	F	2.68
APR 492	Amazon	Amazonas	-3.028	APR	33	C	1	F	2.55
APR 496	Amazon	Amazonas	-3.028	APR	33	C	2	M	2.458
APR 500	Amazon	Amazonas	-3.028	APR	33	C	3	M	2.384
APR 501	Amazon	Amazonas	-3.028	APR	33	C	3	F	2.402
APR 504	Amazon	Amazonas	-3.028	APR	36	A	1	F	2.792
APR 506	Amazon	Amazonas	-3.028	APR	36	A	1	M	2.719
APR 509	Amazon	Amazonas	-3.028	APR	36	A	2	F	2.926
APR 515	Amazon	Amazonas	-3.028	APR	36	A	3	M	2.845
APR 523	Amazon	Amazonas	-3.028	APR	36	B	1	M	2.526
APR 527	Amazon	Amazonas	-3.028	APR	36	B	2	M	2.771
APR 531	Amazon	Amazonas	-3.028	APR	36	B	3	F	2.51
APR 534	Amazon	Amazonas	-3.028	APR	36	C	1	M	2.592
APR 542	Amazon	Amazonas	-3.028	APR	36	C	2	M	2.801
APR 544	Amazon	Amazonas	-3.028	APR	36	C	3	M	2.646
APR 546	Amazon	Amazonas	-3.028	APR	36	C	3	M	2.46
APR 562	Amazon	Amazonas	-3.028	APR	38	A	3	F	2.705
APR 567	Amazon	Amazonas	-3.028	APR	38	B	1	F	2.459
APR 569	Amazon	Amazonas	-3.028	APR	38	B	2	F	2.397
APR 571	Amazon	Amazonas	-3.028	APR	38	B	2	M	2.572
APR 573	Amazon	Amazonas	-3.028	APR	38	B	2	F	2.723
APR 575	Amazon	Amazonas	-3.028	APR	38	B	3	M	2.529
APR 585	Amazon	Amazonas	-3.028	APR	38	C	2	F	2.626
APR 589	Amazon	Amazonas	-3.028	APR	38	C	3	M	2.514
APR 591	Amazon	Amazonas	-3.028	APR	38	C	3	F	2.426
APR 593	Amazon	Amazonas	-3.028	APR	38	C	3	F	2.554
APR 605	Amazon	Amazonas	-3.028	APR	40	A	3	F	2.685
APR 606	Amazon	Amazonas	-3.028	APR	40	A	3	M	2.827
APR 624	Amazon	Amazonas	-3.028	APR	40	C	1	F	2.327
APR 627	Amazon	Amazonas	-3.028	APR	40	C	1	M	2.673
APR 631	Amazon	Amazonas	-3.028	APR	40	C	2	M	2.506
APR 639	Amazon	Amazonas	-3.028	APR	44	A	1	F	2.766
APR 641	Amazon	Amazonas	-3.028	APR	44	A	1	F	2.646
APR 643	Amazon	Amazonas	-3.028	APR	44	A	1	F	2.979
APR 657	Amazon	Amazonas	-3.028	APR	44	B	1	F	2.66
APR 664	Amazon	Amazonas	-3.028	APR	44	C	1	M	2.643
APR 670	Amazon	Amazonas	-3.028	APR	44	C	2	F	2.547
APR 675	Amazon	Amazonas	-3.028	APR	6	A	1	F	2.759
APR 677	Amazon	Amazonas	-3.028	APR	6	A	1	F	2.82
APR 677	Amazon	Amazonas	-3.028	APR	6	A	1	F	2.82
APR 678	Amazon	Amazonas	-3.028	APR	6	A	1	F	2.898
