Code	Info	Biome	Locality	Temp	Sex
ARS 024	Y	Amazon	ARS	A	F
ARS 029	Y	Amazon	ARS	A	F
ARS 076	Y	Amazon	ARS	A	F
ARS 116	Y	Amazon	ARS	A	F
ARS 119	Y	Amazon	ARS	A	F
ARS 124	Y	Amazon	ARS	A	F
ARS 156	Y	Amazon	ARS	A	F
ARS 163	Y	Amazon	ARS	A	F
ARS 166	Y	Amazon	ARS	A	F
ARS 246	Y	Amazon	ARS	A	F
ARS 254	Y-RIGHT SIDE	Amazon	ARS	A	F
ARS 255	Y	Amazon	ARS	A	F
ARS 303	Y	Amazon	ARS	A	F
ARS 343	Y	Amazon	ARS	A	F
ARS 391	Y	Amazon	ARS	A	F
ARS 393	Y	Amazon	ARS	A	F
ARS 438	Y	Amazon	ARS	A	F
ARS 523	Y	Amazon	ARS	A	F
ARS 524	Y	Amazon	ARS	A	F
ARS 525	Y	Amazon	ARS	A	F
ARS 023	Y	Amazon	ARS	A	M
ARS 032	Y	Amazon	ARS	A	M
ARS 074	Y	Amazon	ARS	A	M
ARS 078	Y	Amazon	ARS	A	M
ARS 113	Y	Amazon	ARS	A	M
ARS 118	Y	Amazon	ARS	A	M
ARS 120	Y	Amazon	ARS	A	M
ARS 164	Y	Amazon	ARS	A	M
ARS 165	Y	Amazon	ARS	A	M
ARS 247	Y	Amazon	ARS	A	M
ARS 251	Y	Amazon	ARS	A	M
ARS 259	Y	Amazon	ARS	A	M
ARS 294	Y	Amazon	ARS	A	M
ARS 300	Y	Amazon	ARS	A	M
ARS 384	Y	Amazon	ARS	A	M
ARS 390	Y	Amazon	ARS	A	M
ARS 434	Y	Amazon	ARS	A	M
ARS 436	Y	Amazon	ARS	A	M
ARS 516	Y	Amazon	ARS	A	M
ARS 521	Y	Amazon	ARS	A	M
ARS 037	Y	Amazon	ARS	B	F
ARS 039	Y	Amazon	ARS	B	F
ARS 089	Y	Amazon	ARS	B	F
ARS 093	Y	Amazon	ARS	B	F
ARS 139	Y	Amazon	ARS	B	F
ARS 174	Y	Amazon	ARS	B	F
ARS 182	Y	Amazon	ARS	B	F
ARS 264	Y	Amazon	ARS	B	F
ARS 265	Y	Amazon	ARS	B	F
ARS 272	Y	Amazon	ARS	B	F
ARS 306	Y	Amazon	ARS	B	F
ARS 353	Y	Amazon	ARS	B	F
ARS 362	Y	Amazon	ARS	B	F
ARS 404	Y	Amazon	ARS	B	F
ARS 449	Y	Amazon	ARS	B	F
ARS 454	Y	Amazon	ARS	B	F
ARS 531	Y	Amazon	ARS	B	F
ARS 533	Y	Amazon	ARS	B	F
ARS 537	Y	Amazon	ARS	B	F
ARS 545	Y	Amazon	ARS	B	F
ARS 036	Y	Amazon	ARS	B	M
ARS 038	Y	Amazon	ARS	B	M
ARS 040	Y	Amazon	ARS	B	M
ARS 042	Y	Amazon	ARS	B	M
ARS 045	Y	Amazon	ARS	B	M
ARS 048	Y	Amazon	ARS	B	M
ARS 082	Y	Amazon	ARS	B	M
ARS 128	Y	Amazon	ARS	B	M
ARS 136	Y	Amazon	ARS	B	M
ARS 178	Y	Amazon	ARS	B	M
ARS 180	Y	Amazon	ARS	B	M
ARS 181	Y	Amazon	ARS	B	M
ARS 261	Y	Amazon	ARS	B	M
ARS 268	Y	Amazon	ARS	B	M
ARS 269	Y	Amazon	ARS	B	M
ARS 313	Y	Amazon	ARS	B	M
ARS 351	Y	Amazon	ARS	B	M
ARS 356	Y	Amazon	ARS	B	M
ARS 364	Y	Amazon	ARS	B	M
ARS 400	Y	Amazon	ARS	B	M
ARS 057	Y	Amazon	ARS	C	F
ARS 100	Y	Amazon	ARS	C	F
ARS 108	Y	Amazon	ARS	C	F
ARS 142	Y	Amazon	ARS	C	F
ARS 188	Y	Amazon	ARS	C	F
ARS 196	Y	Amazon	ARS	C	F
ARS 276	Y	Amazon	ARS	C	F
ARS 282	Y	Amazon	ARS	C	F
ARS 325	Y	Amazon	ARS	C	F
ARS 369	Y	Amazon	ARS	C	F
ARS 372	Y	Amazon	ARS	C	F
ARS 373	Y	Amazon	ARS	C	F
ARS 378	Y	Amazon	ARS	C	F
ARS 417	Y	Amazon	ARS	C	F
ARS 470	Y	Amazon	ARS	C	F
ARS 459	Y	Amazon	ARS	C	F
ARS 462	Y	Amazon	ARS	C	F
ARS 556	Y	Amazon	ARS	C	F
ARS 559	Y	Amazon	ARS	C	F
ARS 560	Y	Amazon	ARS	C	F
ARS 56	Y	Amazon	ARS	C	M
ARS 59	Y	Amazon	ARS	C	M
ARS 61	Y	Amazon	ARS	C	M
ARS 103	Y	Amazon	ARS	C	M
ARS 104	Y	Amazon	ARS	C	M
ARS 147	Y	Amazon	ARS	C	M
ARS 186	Y	Amazon	ARS	C	M
ARS 278	Y	Amazon	ARS	C	M
ARS 287	Y	Amazon	ARS	C	M
ARS 322	Y	Amazon	ARS	C	M
ARS 335	Y	Amazon	ARS	C	M
ARS 326	Y	Amazon	ARS	C	M
ARS 379	Y	Amazon	ARS	C	M
ARS 371	Y	Amazon	ARS	C	M
ARS 413	Y	Amazon	ARS	C	M
ARS 416	Y	Amazon	ARS	C	M
ARS 421	Y	Amazon	ARS	C	M
ARS 332	Y	Amazon	ARS	C	M
ARS 422	Y	Amazon	ARS	C	M
ARS 456	Y	Amazon	ARS	C	M
APR 102		Amazon	APR	A	F
APR 144		Amazon	APR	A	F
APR 146		Amazon	APR	A	F
APR 203		Amazon	APR	A	F
APR 239		Amazon	APR	A	F
APR 280		Amazon	APR	A	F
APR 331		Amazon	APR	A	F
APR 332		Amazon	APR	A	F
APR 378		Amazon	APR	A	F
APR 415		Amazon	APR	A	F
APR 419		Amazon	APR	A	F
APR 472		Amazon	APR	A	F
APR 504		Amazon	APR	A	F
APR 509		Amazon	APR	A	F
APR 562		Amazon	APR	A	F
APR 605		Amazon	APR	A	F
APR 639		Amazon	APR	A	F
APR 641		Amazon	APR	A	F
APR 643		Amazon	APR	A	F
APR 675		Amazon	APR	A	F
APR 677		Amazon	APR	A	F
APR 678		Amazon	APR	A	F
APR 105		Amazon	APR	A	M
APR 106		Amazon	APR	A	M
APR 112		Amazon	APR	A	M
APR 153		Amazon	APR	A	M
APR 157		Amazon	APR	A	M
APR 189		Amazon	APR	A	M
APR 192		Amazon	APR	A	M
APR 197		Amazon	APR	A	M
APR 235		Amazon	APR	A	M
APR 243		Amazon	APR	A	M
APR 244		Amazon	APR	A	M
APR 248		Amazon	APR	A	M
APR 285		Amazon	APR	A	M
APR 291		Amazon	APR	A	M
APR 293		Amazon	APR	A	M
APR 333		Amazon	APR	A	M
APR 370		Amazon	APR	A	M
