ID,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18
ARS 024,1.505819453,1.492753775,2.178701899,1.146513293,3.129230013,1.022389347,3.178226308,1.071385641,3.230489022,1.139980454,3.240288281,1.215108105,3.191291987,1.313100695,3.005106067,1.502553034,2.818920148,1.62667698,2.423683372,1.835727837,1.639742658,1.757333765,2.008848078,1.613611301,1.98271672,1.554815748,2.185234738,1.509085873,2.155836961,1.424158962,2.123172765,1.345764891,2.328957202,1.251038721,2.583737934,1.463355998
ARS 029,2.328957202,1.783465122,3.07043446,1.760600185,3.945834923,2.038245854,3.985031959,2.129705604,4.001364057,2.234231033,3.965433441,2.306092265,3.854375173,2.377953497,3.606127281,2.430216211,3.367678647,2.446548309,2.998573228,2.52494238,2.322424363,2.093774988,2.691529782,2.110107086,2.70786188,2.038245854,2.884248541,2.07744289,2.89078138,1.995782399,2.894047799,1.907589069,3.129230013,1.920654747,3.263153219,2.230964613
ARS 076,1.874924872,1.89452339,2.5282088,1.701804632,3.335014451,1.754067346,3.423207781,1.832461417,3.455871977,1.907589069,3.449339138,1.999048819,3.357879388,2.07417647,3.194558406,2.178701899,2.962642612,2.276694488,2.587004353,2.377953497,1.914121908,2.093774988,2.237497452,2.061110792,2.227698193,1.995782399,2.413884113,2.015380917,2.407351273,1.936986845,2.400818434,1.848793515,2.649066327,1.812862899,2.779723112,2.064377211
ARS 116,2.466146827,1.603812042,3.145562112,1.639742658,4.011163316,1.943519685,4.043827512,2.018647336,4.06342603,2.103574247,4.037294673,2.188501158,3.942568503,2.250563131,3.730251227,2.315891524,3.452605558,2.358354979,3.014905326,2.358354979,2.410617693,1.914121908,2.750325335,1.940253265,2.763391014,1.878191292,2.936511255,1.936986845,2.952843353,1.842260676,2.959376192,1.770399444,3.233755442,1.80306364,3.384010745,2.103574247
ARS 119,2.211366095,1.375162668,2.988773969,1.345764891,3.994831218,1.580947105,4.056893191,1.678939694,4.06342603,1.750800926,4.027495414,1.825928578,3.929502825,1.907589069,3.749849745,2.008848078,3.42974062,2.087242149,2.985507549,2.139504863,2.204833256,1.701804632,2.636000648,1.721403149,2.629467809,1.643009078,2.825452987,1.669140435,2.828719407,1.587479944,2.831985826,1.502553034,3.125963594,1.492753775,3.243554701,1.799797221
ARS 124,2.237497452,1.391494766,2.903847058,1.652808337,3.606127281,2.191767577,3.628992218,2.296293006,3.6093937,2.384486336,3.566930245,2.443281889,3.442806299,2.472679666,3.24682112,2.462880407,2.962642612,2.410617693,2.538008059,2.263628809,2.031713015,1.62341056,2.400818434,1.80306364,2.43674905,1.737735248,2.590270773,1.838994256,2.61966855,1.773665864,2.662132005,1.701804632,2.926711996,1.819395738,2.926711996,2.129705604
ARS 156,1.378429087,1.936986845,2.038245854,1.741001667,3.024704585,1.727935989,3.090032978,1.80306364,3.119430755,1.881457712,3.099832237,1.966384622,3.027971005,2.048045113,2.874449282,2.162369801,2.593537193,2.286493747,2.244030291,2.426949791,1.479688096,2.227698193,1.835727837,2.146037702,1.812862899,2.07417647,2.018647336,2.070910051,1.999048819,1.995782399,1.963118203,1.910855488,2.230964613,1.835727837,2.384486336,2.090508568
ARS 163,2.087242149,1.597279203,2.750325335,1.675673274,3.720451968,2.106840667,3.746583325,2.195033997,3.753116164,2.302825845,3.707386289,2.371420657,3.602860861,2.413884113,3.374211486,2.459613988,3.090032978,2.469413247,2.645799907,2.446548309,2.041512274,1.89778981,2.43674905,2.002315238,2.446548309,1.927187587,2.639267068,2.012114497,2.658865586,1.914121908,2.655599166,1.822662158,2.939777674,1.868392033,2.985507549,2.178701899
ARS 166,1.760600185,1.502553034,2.479212505,1.528684391,3.367678647,1.796530801,3.419941361,1.891256971,3.442806299,1.98598314,3.403609263,2.067643631,3.305616674,2.132972024,3.116164335,2.188501158,2.822186567,2.227698193,2.387752756,2.244030291,1.734468828,1.773665864,2.126439184,1.845527096,2.126439184,1.770399444,2.312625104,1.835727837,2.328957202,1.734468828,2.335490041,1.656074757,2.655599166,1.678939694,2.688263362,1.979450301
ARS 246,2.08070931,1.316367114,2.724193978,1.362096989,3.635525057,1.672406855,3.671455673,1.741001667,3.671455673,1.812862899,3.642057897,1.884724131,3.527733209,1.936986845,3.305616674,2.002315238,3.014905326,2.025180176,2.61966855,2.012114497,2.031713015,1.590746364,2.43348263,1.649541917,2.43674905,1.587479944,2.587004353,1.643009078,2.606602871,1.558082167,2.62293497,1.482954516,2.929978415,1.512352293,3.005106067,1.793264381
ARS 254,1.610344882,1.692005373,2.237497452,1.384961927,3.223956183,1.231440204,3.279485317,1.270637239,3.321948772,1.35229773,3.318682352,1.433958221,3.25008754,1.53195081,3.112897915,1.692005373,2.874449282,1.878191292,2.489011764,2.090508568,1.731202408,1.98271672,2.087242149,1.838994256,2.061110792,1.773665864,2.230964613,1.741001667,2.201566836,1.662607596,2.152570542,1.580947105,2.456347568,1.450290319,2.632734228,1.701804632
ARS 255,2.397552014,1.53195081,3.080233719,1.479688096,4.007896896,1.688738953,4.06342603,1.770399444,4.056893191,1.848793515,4.027495414,1.920654747,3.922969986,2.008848078,3.759649004,2.106840667,3.478736915,2.175435479,3.090032978,2.221165354,2.407351273,1.855326355,2.773190273,1.835727837,2.773190273,1.763866605,2.943044094,1.80633006,2.956109773,1.71813673,2.952843353,1.629943399,3.201091245,1.603812042,3.357879388,1.914121908
ARS 303,1.407826864,1.98271672,2.116639926,2.031713015,3.031237424,2.387752756,3.076967299,2.495544604,3.07370088,2.577205095,3.024704585,2.658865586,2.933244835,2.720927559,2.720927559,2.789522371,2.459613988,2.812387309,2.018647336,2.79605521,1.35883057,2.276694488,1.754067346,2.34855572,1.773665864,2.283227327,1.956585363,2.338756461,1.966384622,2.270161649,1.98598314,2.16890264,2.244030291,2.201566836,2.319157943,2.515143121
ARS 343,2.152570542,1.845527096,2.877715701,1.561348587,3.854375173,1.53195081,3.916437146,1.587479944,3.952367762,1.669140435,3.939302084,1.750800926,3.864174432,1.855326355,3.70085345,1.98598314,3.452605558,2.132972024,3.083500138,2.302825845,2.250563131,2.149304122,2.668664844,2.031713015,2.649066327,1.950052524,2.825452987,1.933720426,2.79605521,1.848793515,2.760124594,1.770399444,2.985507549,1.692005373,3.207624085,1.923921167
ARS 391,2.299559425,1.525417971,3.027971005,1.437224641,4.017696155,1.607078462,4.076491709,1.685472533,4.099356646,1.737735248,4.073225289,1.842260676,3.994831218,1.923921167,3.811911718,2.028446595,3.501601852,2.113373506,3.06716804,2.188501158,2.342022881,1.842260676,2.714394719,1.822662158,2.70786188,1.737735248,2.894047799,1.773665864,2.894047799,1.678939694,2.89078138,1.597279203,3.230489022,1.590746364,3.406875683,1.884724131
