"","ID","Biome","State","Latitude","Locality","Family","Temp_let","Temp_num","Sex","Sex1","Wing.length..mm.","sLL","dLL","dPL","Emtime","Preadult.death","Death_stat","AdRate","LarvRate","Puplen","Puprate","D.pread.rate","AL","time"
"1","RPV 095","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"M",1,2.892,17,NA,NA,20,NA,1,0.05,0.0588235294117647,3,0.333333333333333,NA,6,20
"2","RPV 096","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"F",0,2.904,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,5,22
"3","RPV 097","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"F",0,NA,20,NA,NA,24,NA,1,0.0416666666666667,0.05,4,0.25,NA,0,24
"4","RPV 098","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"",NA,NA,NA,NA,21,NA,21,0,NA,NA,NA,NA,0.0476190476190476,NA,21
"5","RPV 099","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"",NA,NA,NA,9,NA,NA,9,0,NA,NA,NA,NA,0.111111111111111,NA,9
"6","RPV 100","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"M",1,2.922,17,NA,NA,20,NA,1,0.05,0.0588235294117647,3,0.333333333333333,NA,5,20
"7","RPV 101","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"M",1,2.919,18,NA,NA,22,NA,1,0.0454545454545455,0.0555555555555556,4,0.25,NA,5,22
"8","RPV 102","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"F",0,2.967,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,5,22
"9","RPV 103","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"F",0,2.865,21,NA,NA,24,NA,1,0.0416666666666667,0.0476190476190476,3,0.333333333333333,NA,4,24
"10","RPV 104","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"",NA,NA,NA,16,NA,NA,16,0,NA,NA,NA,NA,0.0625,NA,16
"11","RPV 105","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"M",1,2.854,17,NA,NA,20,NA,1,0.05,0.0588235294117647,3,0.333333333333333,NA,5,20
"12","RPV 106","Amazon","Rondonia",-8.742,"RPV",11,"A",20,"M",1,2.88,19,NA,NA,22,NA,1,0.0454545454545455,0.0526315789473684,3,0.333333333333333,NA,5,22
