"","ID","Biome","State","Latitude","Lat_group","Locality","Family","Temp_let","Temp_num","Sex","Sex1","Wing.length..mm.","sLL","dLL","dPL","Emtime","Preadult.death","Death_stat","AdRate","LarvRate","Puplen","Puprate","D.pread.rate","AL","time","Lat_grouple","growth"
"1","RPV 095","Amazon","Rondonia",-8.742,"2","RPV",11,"A","20","M",1,2.892,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,6,20,"Mid latitude",0.0624675473115599
"2","RPV 096","Amazon","Rondonia",-8.742,"2","RPV",11,"A","20","F",0,2.904,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,5,22,"Mid latitude",0.0561099524717131
"3","RPV 097","Amazon","Rondonia",-8.742,"2","RPV",11,"A","20","F",0,NA,20,NA,NA,24,NA,1,0.041666667,0.05,4,0.25,NA,0,24,"Mid latitude",NA
"6","RPV 100","Amazon","Rondonia",-8.742,"2","RPV",11,"A","20","M",1,2.922,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,5,20,"Mid latitude",0.0630746066663828
"7","RPV 101","Amazon","Rondonia",-8.742,"2","RPV",11,"A","20","M",1,2.919,18,NA,NA,22,NA,1,0.045454545,0.055555556,4,0.25,NA,5,22,"Mid latitude",0.0595133939928877
"8","RPV 102","Amazon","Rondonia",-8.742,"2","RPV",11,"A","20","F",0,2.967,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,5,22,"Mid latitude",0.0572395442794045
"9","RPV 103","Amazon","Rondonia",-8.742,"2","RPV",11,"A","20","F",0,2.865,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,4,24,"Mid latitude",0.0501223023888906
"11","RPV 105","Amazon","Rondonia",-8.742,"2","RPV",11,"A","20","M",1,2.854,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,5,20,"Mid latitude",0.0616895011208614
"12","RPV 106","Amazon","Rondonia",-8.742,"2","RPV",11,"A","20","M",1,2.88,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,5,22,"Mid latitude",0.0556731733762029
"14","RPV 108","Amazon","Rondonia",-8.742,"2","RPV",11,"A","20","M",1,2.944,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,4,24,"Mid latitude",0.051417580993649
"15","RPV 109","Amazon","Rondonia",-8.742,"2","RPV",11,"A","20","F",0,2.843,23,NA,NA,26,NA,1,0.038461538,0.043478261,3,0.333333333,NA,2,26,"Mid latitude",0.0454286883769071
"16","RPV 110","Amazon","Rondonia",-8.742,"2","RPV",11,"B","24","M",1,2.704,13,NA,NA,14,NA,1,0.071428571,0.076923077,1,1,NA,4,14,"Mid latitude",0.0765178583215937
"17","RPV 111","Amazon","Rondonia",-8.742,"2","RPV",11,"B","24","M",1,2.664,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,2,17,"Mid latitude",0.0653219168452095
"21","RPV 115","Amazon","Rondonia",-8.742,"2","RPV",11,"B","24","F",0,2.665,14,NA,NA,16,NA,1,0.0625,0.071428571,2,0.5,NA,3,16,"Mid latitude",0.0700145755441291
"22","RPV 116","Amazon","Rondonia",-8.742,"2","RPV",11,"B","24","M",1,2.612,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,2,17,"Mid latitude",0.0640077474276123
"23","RPV 117","Amazon","Rondonia",-8.742,"2","RPV",11,"B","24","F",0,2.627,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0536579172613002
"24","RPV 118","Amazon","Rondonia",-8.742,"2","RPV",11,"B","24","F",0,2.579,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,2,22,"Mid latitude",0.0498632487841688
