ID,Temp_let,AdRate
RPV 095,A,0.05
RPV 096,A,0.045454545
RPV 097,A,0.041666667
RPV 100,A,0.05
RPV 101,A,0.045454545
RPV 102,A,0.045454545
RPV 103,A,0.041666667
RPV 105,A,0.05
RPV 106,A,0.045454545
RPV 108,A,0.041666667
RPV 109,A,0.038461538
RPV 110,B,0.071428571
RPV 111,B,0.058823529
RPV 115,B,0.0625
RPV 116,B,0.058823529
RPV 117,B,0.05
RPV 118,B,0.045454545
RPV 119,B,0.047619048
RPV 120,B,0.0625
RPV 121,B,0.058823529
RPV 122,B,0.058823529
RPV 123,B,0.052631579
RPV 124,B,0.05
RPV 125,C,0.071428571
RPV 126,C,0.058823529
RPV 127,C,0.052631579
RPV 130,C,0.055555556
RPV 135,C,0.058823529
RPV 140,A,0.043478261
RPV 141,A,0.043478261
RPV 142,A,0.041666667
RPV 143,A,0.04
RPV 144,A,0.038461538
RPV 145,A,0.047619048
RPV 146,A,0.045454545
RPV 147,A,0.04
RPV 148,A,0.038461538
RPV 150,A,0.043478261
RPV 151,A,0.043478261
RPV 152,A,0.041666667
RPV 153,A,0.038461538
RPV 154,A,0.038461538
RPV 155,B,0.058823529
RPV 156,B,0.058823529
RPV 157,B,0.055555556
RPV 159,B,0.047619048
RPV 160,B,0.058823529
RPV 161,B,0.05
RPV 162,B,0.05
RPV 165,B,0.055555556
RPV 166,B,0.05
RPV 167,B,0.05
RPV 168,B,0.045454545
RPV 171,C,0.055555556
RPV 172,C,0.055555556
RPV 173,C,0.05
RPV 174,C,0.045454545
RPV 176,C,0.058823529
RPV 177,C,0.05
RPV 180,C,0.0625
RPV 181,C,0.058823529
RPV 182,C,0.05
RPV 183,C,0.052631579
RPV 184,C,0.05
RPV 185,A,0.043478261
RPV 186,A,0.041666667
RPV 187,A,0.041666667
RPV 188,A,0.04
RPV 190,A,0.047619048
RPV 191,A,0.043478261
RPV 195,A,0.047619048
RPV 196,A,0.041666667
RPV 200,B,0.052631579
RPV 205,B,0.058823529
RPV 210,B,0.0625
RPV 211,B,0.052631579
RPV 212,B,0.05
RPV 213,B,0.047619048
RPV 220,C,0.0625
RPV 222,C,0.058823529
RPV 230,A,0.045454545
RPV 231,A,0.043478261
RPV 232,A,0.043478261
RPV 233,A,0.041666667
RPV 234,A,0.04
RPV 235,A,0.045454545
RPV 236,A,0.045454545
RPV 237,A,0.043478261
RPV 238,A,0.041666667
RPV 239,A,0.04
RPV 240,A,0.045454545
RPV 241,A,0.043478261
RPV 242,A,0.041666667
RPV 243,A,0.04
RPV 244,A,0.037037037
RPV 245,B,0.066666667
RPV 246,B,0.058823529
RPV 247,B,0.05
