Ref,pop,Temp,pop_Temp,pop_Temp_Rep,Rep,Date,EG,age,Pup,DeadLarv,DeadPup,CombDeath,EG_male,EG_fem,tot_EG,Lsurv,Psurv,CombSurv,Hatch_date
1,NB,16,NB_16,NB_16_2,2,9/7/2011,,7,,1,,1,,,,1,,1,8/31/2011
2,NB,16,NB_16,NB_16_1,1,9/14/2011,,14,5,,,,,,,,,,8/31/2011
3,NB,16,NB_16,NB_16_2,2,9/14/2011,,14,5,,,,,,,,,,8/31/2011
4,NB,16,NB_16,NB_16_3,3,9/14/2011,,14,14,,,,,,,,,,8/31/2011
5,NB,16,NB_16,NB_16_1,1,9/15/2011,,15,42,,,,,,,,,,8/31/2011
6,NB,16,NB_16,NB_16_2,2,9/15/2011,,15,38,,,,,,,,,,8/31/2011
7,NB,16,NB_16,NB_16_3,3,9/15/2011,,15,35,,,,,,,,,,8/31/2011
8,NB,16,NB_16,NB_16_1,1,9/16/2011,,16,38,,,,,,,,,,8/31/2011
9,NB,16,NB_16,NB_16_2,2,9/16/2011,,16,54,,,,,,,,,,8/31/2011
10,NB,16,NB_16,NB_16_3,3,9/16/2011,,16,44,1,,1,,,,1,,1,8/31/2011
11,NB,16,NB_16,NB_16_1,1,9/17/2011,,17,28,,,,,,,,,,8/31/2011
12,NB,16,NB_16,NB_16_2,2,9/17/2011,,17,40,,1,1,,,,,1,1,8/31/2011
13,NB,16,NB_16,NB_16_3,3,9/17/2011,,17,40,,,,,,,,,,8/31/2011
14,NB,16,NB_16,NB_16_1,1,9/18/2011,1,18,27,,,,3,,3,,,,8/31/2011
15,NB,16,NB_16,NB_16_2,2,9/18/2011,1,18,19,,,,3,,3,,,,8/31/2011
16,NB,16,NB_16,NB_16_3,3,9/18/2011,1,18,24,,1,1,6,,6,,1,1,8/31/2011
17,NB,16,NB_16,NB_16_1,1,9/19/2011,1,19,18,,1,1,31,1,32,,1,1,8/31/2011
18,NB,16,NB_16,NB_16_2,2,9/19/2011,1,19,13,,,,27,1,28,,,,8/31/2011
19,NB,16,NB_16,NB_16_3,3,9/19/2011,1,19,11,,,,28,4,32,,,,8/31/2011
20,NB,16,NB_16,NB_16_1,1,9/21/2011,1,21,8,,,,27,41,68,,,,8/31/2011
21,NB,16,NB_16,NB_16_2,2,9/21/2011,1,21,4,,1,1,20,28,48,,1,1,8/31/2011
22,NB,16,NB_16,NB_16_3,3,9/21/2011,1,21,10,,,,4,12,16,,,,8/31/2011
23,NB,16,NB_16,NB_16_1,1,9/22/2011,2,22,3,1,,1,8,19,27,1,,1,8/31/2011
24,NB,16,NB_16,NB_16_2,2,9/22/2011,2,22,,1,,1,4,16,20,1,,1,8/31/2011
25,NB,16,NB_16,NB_16_3,3,9/22/2011,2,22,1,,,,7,9,16,,,,8/31/2011
26,NB,16,NB_16,NB_16_1,1,9/23/2011,2,23,1,1,1,2,5,10,15,1,1,1,8/31/2011
27,NB,16,NB_16,NB_16_2,2,9/23/2011,2,23,3,1,,1,6,16,22,1,,1,8/31/2011
28,NB,16,NB_16,NB_16_3,3,9/23/2011,2,23,3,1,,1,5,3,8,0,,0,8/31/2011
29,NB,16,NB_16,NB_16_1,1,9/24/2011,2,24,2,,,,2,12,14,,,,8/31/2011
30,NB,16,NB_16,NB_16_2,2,9/24/2011,2,24,1,1,3,4,4,7,11,0,1,?,8/31/2011
31,NB,16,NB_16,NB_16_3,3,9/24/2011,2,24,,,,,1,5,6,,,,8/31/2011
32,NB,16,NB_16,NB_16_1,1,9/25/2011,2,25,1,1,1,2,1,7,8,1,1,1,8/31/2011
33,NB,16,NB_16,NB_16_2,2,9/25/2011,2,25,,,1,1,,4,4,,1,1,8/31/2011
34,NB,16,NB_16,NB_16_3,3,9/25/2011,2,25,,,,,5,7,12,,,,8/31/2011
35,NB,16,NB_16,NB_16_1,1,9/26/2011,2,26,,,,,1,2,3,,,,8/31/2011
36,NB,16,NB_16,NB_16_2,2,9/26/2011,2,26,,,,,,1,1,,,,8/31/2011
37,NB,16,NB_16,NB_16_3,3,9/26/2011,2,26,,,,,,1,1,,,,8/31/2011
38,NB,16,NB_16,NB_16_1,1,9/27/2011,2,27,1,1,,1,,1,1,1,,1,8/31/2011
39,NB,16,NB_16,NB_16_2,2,9/27/2011,2,27,,,,,1,,1,,,,8/31/2011
40,NB,16,NB_16,NB_16_3,3,9/27/2011,2,27,,,,,,1,1,,,,8/31/2011
41,NB,16,NB_16,NB_16_1,1,9/28/2011,2,28,,1,1,2,,2,2,1,1,1,8/31/2011
42,NB,16,NB_16,NB_16_2,2,9/28/2011,2,28,,,,,,1,1,,,,8/31/2011
43,NB,16,NB_16,NB_16_3,3,9/28/2011,2,28,,,,,,2,2,,,,8/31/2011
44,NB,16,NB_16,NB_16_1,1,9/29/2011,2,29,,,,,,1,1,,,,8/31/2011
45,NB,16,NB_16,NB_16_1,1,9/30/2011,,30,,,1,1,,,,,0,0,8/31/2011
46,NB,20,NB_20,NB_20_2,2,9/7/2011,,7,,5,,5,,,,1,,1,8/31/2011
47,NB,20,NB_20,NB_20_1,1,9/9/2011,,9,8,,,,,,,,,,8/31/2011
48,NB,20,NB_20,NB_20_2,2,9/9/2011,,9,8,1,,1,,,,1,,1,8/31/2011
49,NB,20,NB_20,NB_20_3,3,9/9/2011,,9,21,,,,,,,,,,8/31/2011
50,NB,20,NB_20,NB_20_1,1,9/10/2011,,10,82,1,1,2,,,,1,1,1,8/31/2011
51,NB,20,NB_20,NB_20_2,2,9/10/2011,,10,78,,,,,,,,,,8/31/2011
52,NB,20,NB_20,NB_20_3,3,9/10/2011,,10,86,,,,,,,,,,8/31/2011
53,NB,20,NB_20,NB_20_1,1,9/11/2011,1,11,54,,1,1,1,,1,,1,1,8/31/2011
54,NB,20,NB_20,NB_20_2,2,9/11/2011,1,11,48,,,,1,,1,,,,8/31/2011
55,NB,20,NB_20,NB_20_3,3,9/11/2011,1,11,45,1,,1,3,,3,1,,1,8/31/2011
56,NB,20,NB_20,NB_20_1,1,9/12/2011,1,12,18,,2,2,21,3,24,,1,1,8/31/2011
57,NB,20,NB_20,NB_20_2,2,9/12/2011,1,12,10,1,,1,17,6,23,1,,1,8/31/2011
58,NB,20,NB_20,NB_20_3,3,9/12/2011,1,12,15,,2,2,32,4,36,,1,1,8/31/2011
59,NB,20,NB_20,NB_20_1,1,9/13/2011,1,13,10,,2,2,39,23,62,,1,1,8/31/2011
